kind	source_path	analysis_set	effect	family	name	mean	stat	p	q	is_down_minus_passive	is_sensory_roi	is_pain_signature	negative
signature	<PROJECT_ROOT>/derivatives/roi_signature_analysis/tables/roi_stats.tsv	fd_bad_run_exclude	down_minus_passive_FE	exploratory_context	expl_amygdala_L	0.0051359200151637	0.870165189668535	0.3913561084666646	0.7782344890750537	True	False	False	False
signature	<PROJECT_ROOT>/derivatives/roi_signature_analysis/tables/roi_stats.tsv	fd_bad_run_exclude	down_minus_passive_FE	exploratory_context	expl_amygdala_R	0.0009083314585344	0.1098611618054509	0.913276221021038	0.913276221021038	True	False	False	False
signature	<PROJECT_ROOT>/derivatives/roi_signature_analysis/tables/roi_stats.tsv	fd_bad_run_exclude	down_minus_passive_FE	exploratory_context	expl_hippocampus_L	0.0025671670225468	0.4975004059725066	0.6225875912600429	0.7782344890750537	True	False	False	False
signature	<PROJECT_ROOT>/derivatives/roi_signature_analysis/tables/roi_stats.tsv	fd_bad_run_exclude	down_minus_passive_FE	exploratory_context	expl_hippocampus_R	0.0042981169438765	0.677823488527487	0.5032562355032886	0.7782344890750537	True	False	False	False
signature	<PROJECT_ROOT>/derivatives/roi_signature_analysis/tables/roi_stats.tsv	fd_bad_run_exclude	down_minus_passive_FE	exploratory_context	expl_hypothalamus	-0.013143782922998	-1.070006240900407	0.2934418472320277	0.7782344890750537	True	True	False	True
signature	<PROJECT_ROOT>/derivatives/roi_signature_analysis/tables/roi_stats.tsv	fd_bad_run_exclude	down_minus_passive_FE	secondary_subcortical	reg_caudate_L	0.0046115192798121	0.6790028884733637	0.5025195489366117	0.6700260652488156	True	False	False	False
signature	<PROJECT_ROOT>/derivatives/roi_signature_analysis/tables/roi_stats.tsv	fd_bad_run_exclude	down_minus_passive_FE	secondary_subcortical	reg_caudate_R	0.0001241927035152	0.0164742481013734	0.9869688673715054	0.9869688673715054	True	False	False	False
signature	<PROJECT_ROOT>/derivatives/roi_signature_analysis/tables/roi_stats.tsv	fd_bad_run_exclude	down_minus_passive_FE	secondary_subcortical	reg_putamen_L	0.0214187992930722	1.8005360980544425	0.0821860417341831	0.1643720834683663	True	False	False	False
signature	<PROJECT_ROOT>/derivatives/roi_signature_analysis/tables/roi_stats.tsv	fd_bad_run_exclude	down_minus_passive_FE	secondary_subcortical	reg_putamen_R	0.0146273009246215	1.891294888878732	0.0686117248129532	0.1643720834683663	True	False	False	False
signature	<PROJECT_ROOT>/derivatives/roi_signature_analysis/tables/roi_stats.tsv	high_motion_subject_exclude	down_minus_passive_FE	targeted_regulatory_value	reg_NAc_L	-0.0080949755636258	-0.6319712101913213	0.5331428943314851	0.7652716501813733	True	False	False	True
signature	<PROJECT_ROOT>/derivatives/roi_signature_analysis/tables/roi_stats.tsv	high_motion_subject_exclude	down_minus_passive_FE	targeted_regulatory_value	reg_NAc_R	-0.0095680171193984	-0.64473491537808	0.5249716248178338	0.7652716501813733	True	False	False	True
signature	<PROJECT_ROOT>/derivatives/roi_signature_analysis/tables/roi_stats.tsv	high_motion_subject_exclude	down_minus_passive_FE	targeted_regulatory_value	reg_PAG_sphere	-0.0008009095338191	-0.0387890442227128	0.9693666775134512	0.9693666775134512	True	False	False	True
signature	<PROJECT_ROOT>/derivatives/roi_signature_analysis/tables/roi_stats.tsv	high_motion_subject_exclude	down_minus_passive_FE	targeted_regulatory_value	reg_SMA_preSMA	0.0023524205809315	0.2917537407803416	0.7728821947414732	0.8431442124452435	True	False	False	False
signature	<PROJECT_ROOT>/derivatives/roi_signature_analysis/tables/roi_stats.tsv	high_motion_subject_exclude	down_minus_passive_FE	targeted_regulatory_value	reg_anterior_insula_L	-0.0323120512319012	-3.928231997827045	0.0005955897190419	0.007147076628503	True	True	False	True
signature	<PROJECT_ROOT>/derivatives/roi_signature_analysis/tables/roi_stats.tsv	high_motion_subject_exclude	down_minus_passive_FE	targeted_regulatory_value	reg_anterior_insula_R	-0.0171470388640255	-0.9345418971762744	0.3589640446656077	0.7652716501813733	True	True	False	True
signature	<PROJECT_ROOT>/derivatives/roi_signature_analysis/tables/roi_stats.tsv	high_motion_subject_exclude	down_minus_passive_FE	targeted_regulatory_value	reg_dlPFC_IFJ_L	0.0157630442946146	2.066813867870521	0.049255706599617	0.2955342395977025	True	False	False	False
signature	<PROJECT_ROOT>/derivatives/roi_signature_analysis/tables/roi_stats.tsv	high_motion_subject_exclude	down_minus_passive_FE	targeted_regulatory_value	reg_dlPFC_IFJ_R	-0.0068014327866526	-0.5242436520622433	0.6047265599532365	0.7652716501813733	True	False	False	True
signature	<PROJECT_ROOT>/derivatives/roi_signature_analysis/tables/roi_stats.tsv	high_motion_subject_exclude	down_minus_passive_FE	targeted_regulatory_value	reg_mOFC	-0.012030753145854	-1.381389447841995	0.1793819261050957	0.7175277044203829	True	False	False	True
signature	<PROJECT_ROOT>/derivatives/roi_signature_analysis/tables/roi_stats.tsv	high_motion_subject_exclude	down_minus_passive_FE	targeted_regulatory_value	reg_pgACC_rACC	-0.0030682909687479	-0.4766854474003436	0.6377263751511445	0.7652716501813733	True	False	False	True
signature	<PROJECT_ROOT>/derivatives/roi_signature_analysis/tables/roi_stats.tsv	high_motion_subject_exclude	down_minus_passive_FE	targeted_regulatory_value	reg_vmPFC	-0.0104371433576139	-0.7396592955409108	0.4663961084887166	0.7652716501813733	True	False	False	True
signature	<PROJECT_ROOT>/derivatives/roi_signature_analysis/tables/roi_stats.tsv	high_motion_subject_exclude	down_minus_passive_FE	targeted_regulatory_value	reg_vmPFC_mOFC	-0.01130335066969	-1.201813305860386	0.2406970948368207	0.7220912845104622	True	False	False	True
signature	<PROJECT_ROOT>/derivatives/roi_signature_analysis/tables/roi_stats.tsv	high_motion_subject_exclude	down_minus_passive_FE	targeted_sensory	sensory_S1_L	0.0082550360821187	0.9150367248278256	0.3689143691709932	0.5072572576101156	True	True	False	False
