subject	measure	contrast	direct_col	direct_value	z_score
sub-30	signature_weighted_mean	down_minus_passive	down_minus_passive_FE	-0.0147238338401088	-1.582350241123344
sub-19	signature_weighted_mean	down_minus_passive	down_minus_passive_FE	-0.0146444797011319	-1.5696461733544333
sub-25	signature_weighted_mean	down_minus_passive	down_minus_passive_FE	-0.0133805908474718	-1.3673060074061643
sub-29	signature_weighted_mean	down_minus_passive	down_minus_passive_FE	0.0035921494550151	1.3499163808258183
sub-31	signature_weighted_mean	down_minus_passive	down_minus_passive_FE	-0.0128438068250808	-1.2813704697562815
sub-06	signature_weighted_mean	down_minus_passive	down_minus_passive_FE	-0.0125447106302421	-1.2334871661549398
sub-21	signature_weighted_mean	down_minus_passive	down_minus_passive_FE	0.0026025610248798	1.1914898810634325
sub-06	signature_weighted_mean	regulation_mean_minus_passive	regulation_mean_minus_passive_FE	0.6021108246992485	5.563494490364235
sub-02	signature_weighted_mean	regulation_mean_minus_passive	regulation_mean_minus_passive_FE	-0.0175555825180359	-0.2904271432394454
sub-19	signature_weighted_mean	regulation_mean_minus_passive	regulation_mean_minus_passive_FE	-0.0146442444641161	-0.26292404702819844
sub-01	signature_weighted_mean	regulation_mean_minus_passive	regulation_mean_minus_passive_FE	-0.013162567044595	-0.2489268004465949
sub-28	signature_weighted_mean	regulation_mean_minus_passive	regulation_mean_minus_passive_FE	-0.0127738250913374	-0.24525439719290998
sub-25	signature_weighted_mean	regulation_mean_minus_passive	regulation_mean_minus_passive_FE	-0.0115149580365801	-0.23336201606680082
sub-30	signature_weighted_mean	regulation_mean_minus_passive	regulation_mean_minus_passive_FE	-0.0113086078706132	-0.23141264833186762
sub-31	signature_weighted_mean	regulation_mean_minus_passive	regulation_mean_minus_passive_FE	-0.0090027967431087	-0.20962989960595577
sub-07	signature_weighted_mean	regulation_mean_minus_passive	regulation_mean_minus_passive_FE	-0.0089526004879347	-0.20915570100382636
sub-15	signature_weighted_mean	regulation_mean_minus_passive	regulation_mean_minus_passive_FE	-0.0082389700073623	-0.20241411091605366
sub-06	signature_weighted_mean	up_minus_down	up_minus_down_FE	0.9545907465040098	5.5600418539693734
sub-02	signature_weighted_mean	up_minus_down	up_minus_down_FE	-0.0303476563765677	-0.3443416801490753
sub-28	signature_weighted_mean	up_minus_down	up_minus_down_FE	-0.0239113159314125	-0.305757924623642
sub-33	signature_weighted_mean	up_minus_down	up_minus_down_FE	-0.0193393554043474	-0.2783505168347959
sub-18	signature_weighted_mean	up_minus_down	up_minus_down_FE	-0.0139455432240448	-0.24601637722731876
sub-13	signature_weighted_mean	up_minus_down	up_minus_down_FE	-0.0118759842112187	-0.23361004793557882
sub-21	signature_weighted_mean	up_minus_down	up_minus_down_FE	-0.0116347115760994	-0.23216369741267767
sub-17	signature_weighted_mean	up_minus_down	up_minus_down_FE	-0.0071469301037595	-0.20526091552041922
sub-29	signature_weighted_mean	up_minus_down	up_minus_down_FE	-0.0055153568451435	-0.1954801675521137
sub-10	signature_weighted_mean	up_minus_down	up_minus_down_FE	-0.0046402297609026	-0.19023406695197334
