measure	contrast	direct_col	participant_id	n_all	direct_mean_all	direct_mean_without_participant	participant_value	participant_z	direct_positive_fraction_all	direct_positive_fraction_without_participant	direct_vs_paired_n	direct_vs_paired_a_mean	direct_vs_paired_b_mean	direct_vs_paired_mean_difference	direct_vs_paired_paired_t	direct_vs_paired_paired_p	direct_vs_paired_pearson_r	direct_vs_paired_pearson_p	direct_vs_paired_same_sign_fraction
signature_dot	up_minus_passive	up_minus_passive_FE	sub-06	33	1.1200154893326038	-0.566909046843648	55.101600646972656	74.78951959177411	0.21212121212121213	0.1875	33	1.1200154893326038	-0.65767403110636	1.7776895204389638	0.9804293039093763	0.3342289869358729	-0.6802054887855788	1.332124308666757e-05	0.8787878787878788
signature_dot	down_minus_passive	down_minus_passive_FE	sub-06	33	-0.4512939676642418	-0.4288430705200881	-1.1697226762771606	-1.2838716141850977	0.21212121212121213	0.21875	33	-0.4512939676642418	-0.45290478149598296	0.0016108138317411597	0.02572185560433407	0.9796389298528356	0.8499060412498494	3.916590808153391e-10	0.8787878787878788
signature_dot	regulation_mean_minus_passive	regulation_mean_minus_passive_FE	sub-06	33	1.2296646690052566	-0.48638950649183244	56.14339828491211	112.75379159123055	0.21212121212121213	0.1875	33	1.2296646690052566	-0.5552894063011715	1.7849540753064281	0.9895604171262233	0.32981290855740025	-0.6889026499512174	9.306648312886156e-06	0.9090909090909091
signature_dot	up_minus_down	up_minus_down_FE	sub-06	33	2.526325732921109	-0.17629344621673226	89.01013946533203	92.20777619794713	0.3939393939393939	0.375	33	2.526325732921109	-0.204769249610377	2.731094982531486	0.982508011336422	0.33322016708432595	-0.39878971645441885	0.02151416785480763	0.7878787878787878
signature_weighted_mean	up_minus_passive	up_minus_passive_FE	sub-06	33	0.012011625062945605	-0.006079825663424866	0.5909380483068007	74.78951959177432	0.21212121212121213	0.1875	33	0.012011625062945605	-0.007053236272645538	0.019064861335591148	0.9804293039093759	0.3342289869358731	-0.6802054887855802	1.3321243086666852e-05	0.8787878787878788
signature_weighted_mean	down_minus_passive	down_minus_passive_FE	sub-06	33	-0.004839909790874467	-0.004599134764644229	-0.0125447106302421	-1.2838716141851085	0.21212121212121213	0.21875	33	-0.004839909790874467	-0.004857184991063537	1.727520018906844e-05	0.025721855604329633	0.9796389298528391	0.8499060412498487	3.9165908081536414e-10	0.8787878787878788
signature_weighted_mean	regulation_mean_minus_passive	regulation_mean_minus_passive_FE	sub-06	33	0.013187559545309131	-0.005216292490751475	0.6021108246992485	112.75379159123112	0.21212121212121213	0.1875	33	0.013187559545309131	-0.005955210631854529	0.019142770177163655	0.9895604171262221	0.32981290855740086	-0.6889026499512192	9.306648312885463e-06	0.9090909090909091
signature_weighted_mean	up_minus_down	up_minus_down_FE	sub-06	33	0.027093623061232624	-0.0018906620463541564	0.9545907465040098	92.20777619794741	0.3939393939393939	0.375	33	0.027093623061232624	-0.002196051281582	0.02928967434281463	0.9825080113364222	0.3332201670843259	-0.3987897164544197	0.021514167854807316	0.7878787878787878
