reg_condition	comparator	metric	n_subjects	mean	sd	se	t	p
down	nearest_passive	matched_diff_raw	33	-31.840495867768595	23.720335986502107	4.1291804870118725	-7.711093270909629	8.619178303313363e-09
down	nearest_passive	matched_diff_z	33	-0.6825349596173684	0.4777063611319922	0.08315800358098328	-8.207688138552808	2.2442684548904767e-09
down	passive_after	matched_diff_raw	33	-11.931404958677687	22.685132533729607	3.9489746965159904	-3.021393114826552	0.004918214548641722
down	passive_after	matched_diff_z	33	-0.24794918576516287	0.46030809615826246	0.08012935439666029	-3.09436145632414	0.004076362129555314
down	passive_before	matched_diff_raw	33	-31.840495867768595	23.720335986502107	4.1291804870118725	-7.711093270909629	8.619178303313363e-09
down	passive_before	matched_diff_z	33	-0.6825349596173684	0.4777063611319922	0.08315800358098328	-8.207688138552808	2.2442684548904767e-09
up	nearest_passive	matched_diff_raw	33	4.748760330578511	25.718962561073127	4.477096716243961	1.0606785226124087	0.29677633195454867
up	nearest_passive	matched_diff_z	33	0.116877478475122	0.5109565782840046	0.08894612344282356	1.314025546602414	0.1981798849015091
up	passive_after	matched_diff_raw	33	17.933333333333337	22.49965859092064	3.9166878273109442	4.5786986668390455	6.731228374933567e-05
up	passive_after	matched_diff_z	33	0.36864070716186714	0.4281895280550336	0.07453822934859676	4.945659568029531	2.3270280241904527e-05
up	passive_before	matched_diff_raw	33	4.748760330578511	25.718962561073127	4.477096716243961	1.0606785226124087	0.29677633195454867
up	passive_before	matched_diff_z	33	0.116877478475122	0.5109565782840046	0.08894612344282356	1.314025546602414	0.1981798849015091
