set_name	measure	signature	passive_temperature_mean	passive_temperature_p	up_minus_down_mean	up_minus_down_p	up_minus_passive_mean	up_minus_passive_p	down_minus_passive_mean	down_minus_passive_p	regulation_mean_minus_passive_mean	regulation_mean_minus_passive_p	original_like_pattern	down_specific_divergence	broad_self_regulation_effect_on_NPS	interpretation
fd_bad_run_exclude	signature_dot	NPS	0.6865393636804639	1.460737043218692e-11	-0.12474324726141416	0.46587103783399475	1.5064579535807883	0.4552551676114178	-0.387492057432731	0.0009999598914844183	-0.4016182810927813	6.213846203191042e-05	True	True	True	Original-like on canonical up-vs-down test; also shows down-specific NPS reduction
fd_bad_run_exclude	signature_weighted_mean	NPS	0.007362803020158973	1.4607370432188964e-11	-0.001337811065569504	0.4658710378339994	0.01615603380832458	0.4552551676114168	-0.004155665125242855	0.0009999598914844456	-0.004307162049862126	6.213846203190994e-05	True	True	True	Original-like on canonical up-vs-down test; also shows down-specific NPS reduction
high_motion_subject_exclude	signature_dot	NPS	0.6820652367403874	2.2797268727440902e-10	-0.12474324726141416	0.46587103783399475	-0.473964800628332	0.0009027158554936741	-0.3928706625906321	0.0014914837433542601	-0.4074342283778466	6.383946483805905e-05	True	True	True	Original-like on canonical up-vs-down test; also shows down-specific NPS reduction
high_motion_subject_exclude	signature_weighted_mean	NPS	0.007314820170100128	2.2797268727443846e-10	-0.001337811065569504	0.4658710378339994	-0.0050830435225263275	0.0009027158554936859	-0.004213348067250048	0.00149148374335428	-0.004369535274910727	6.383946483805764e-05	True	True	True	Original-like on canonical up-vs-down test; also shows down-specific NPS reduction
main	signature_dot	NPS	0.6536476128932202	4.7374827935653454e-11	2.526325732921109	0.35779816243423734	1.1200154893326038	0.5126790932336703	-0.4512939676642418	9.71580248063801e-05	1.2296646690052566	0.4793875749412805	True	True	False	Original-like on canonical up-vs-down test; also shows down-specific NPS reduction
main	signature_weighted_mean	NPS	0.007010054882402733	4.7374827935658715e-11	0.027093623061232624	0.3577981624342371	0.012011625062945605	0.5126790932336696	-0.004839909790874467	9.715802480638218e-05	0.013187559545309131	0.4793875749412798	True	True	False	Original-like on canonical up-vs-down test; also shows down-specific NPS reduction
