set_name	effect	family	signature	measure	n	mean	sd	se	t	p	dz	ci_lo_boot	ci_hi_boot	q_fdr_signature_family
fd_bad_run_exclude	down_minus_passive_FE	signature	Ceko_MPA2_General	signature_weighted_mean	30	-0.0014209602438441278	0.005087561042295754	0.0009288573151832929	-1.5297938882719866	0.13690385612078626	-0.2793008736467016	-0.0033007212135467926	0.0002944208567388033	0.22817309353464377
fd_bad_run_exclude	down_minus_passive_FE	signature	Ceko_MPA2_Mechanical	signature_weighted_mean	30	0.0011084377298481065	0.004508215686543642	0.0008230838085395305	1.346688779864233	0.18851167937976543	0.24587060755691648	-0.0005192170259258826	0.0026596962097592157	0.26930239911395065
fd_bad_run_exclude	down_minus_passive_FE	signature	Ceko_MPA2_Thermal	signature_weighted_mean	30	-0.0024017765939826656	0.004953162377883258	0.0009043195884508627	-2.6558935852501095	0.012718703157420057	-0.484897608991585	-0.004083503037879754	-0.0006528447998435716	0.06359351578710028
fd_bad_run_exclude	down_minus_passive_FE	signature	Coll_painvalue	signature_weighted_mean	30	-0.00038062433621346715	0.004824489578297088	0.0008808272568273004	-0.4321214327363786	0.6688493369228816	-0.07889421876372196	-0.0021297460711615468	0.001370797895206478	0.7431659299143129
fd_bad_run_exclude	down_minus_passive_FE	signature	Coll_shockintensity	signature_weighted_mean	30	-0.0007519986929545042	0.007383073912284668	0.0013479587084954104	-0.5578796206553568	0.5812081552763508	-0.10185441753512131	-0.003319562656312624	0.0018922451428114418	0.7265101940954385
fd_bad_run_exclude	down_minus_passive_FE	signature	Geuter_cPDM	signature_weighted_mean	30	-0.0034649399418237798	0.011787672217483775	0.0021521246579976018	-1.6100089411398957	0.11822894067233455	-0.29394607161577607	-0.007524320345298209	0.0007133777802175644	0.22817309353464377
fd_bad_run_exclude	down_minus_passive_FE	signature	Krishnan_VPS	signature_weighted_mean	30	0.002184310723056256	0.0055967444089345475	0.0010218210537881233	2.1376646282228364	0.0411019783160128	0.3902823790861808	9.072840095950818e-05	0.004110105034286125	0.10507941304764355
fd_bad_run_exclude	down_minus_passive_FE	signature	Krishnan_VPS_no_occipital	signature_weighted_mean	30	0.0018549600347175848	0.004776212798879742	0.00087201316313044	2.1272156352072304	0.042031765219057424	0.3883746626935602	0.00020092205385779092	0.003498989440566833	0.10507941304764355
fd_bad_run_exclude	down_minus_passive_FE	signature	NPS	signature_weighted_mean	30	-0.00415566512524288	0.006219978774132537	0.0011356075605985737	-3.659420093198787	0.0009999598914844211	-0.668115644144211	-0.006374142654591519	-0.002012390802338029	0.009999598914844211
fd_bad_run_exclude	down_minus_passive_FE	signature	SIIPS1	signature_weighted_mean	30	-0.00040407366842198586	0.011905418014069913	0.002173622000944816	-0.18589877552138584	0.8538183635686043	-0.03394031758855074	-0.004630579075047322	0.0037405586467214812	0.8538183635686043
fd_bad_run_exclude	regulation_mean_minus_passive_FE	signature	Ceko_MPA2_General	signature_weighted_mean	26	-0.0010665964288680224	0.0036346433552887124	0.0007128122074449038	-1.4963217769393549	0.14708870818126987	-0.2934528438164462	-0.0024374752940764825	0.00025901074711751667	0.24514784696878314
