effect	signature	family	behavior	n	pearson_r	pearson_p	spearman_rho	spearman_p	pearson_q_fdr	spearman_q_fdr
down_minus_passive_FE	Ceko_MPA2_General	signature	mean_reg_success_z	33	0.10167289401982767	0.5734294277040113	0.1229946524064171	0.49530014797909305	0.8937481936770869	0.890382579902315
down_minus_passive_FE	Ceko_MPA2_General	signature	reg_success_z_up	33	0.12736081169207283	0.47999784457644457	0.13335561497326204	0.4593937749927751	0.8937481936770869	0.8750357618910002
down_minus_passive_FE	Ceko_MPA2_General	signature	reg_success_z_down	33	0.026955958543912296	0.8816275922549479	-0.017045454545454548	0.9249901786454771	0.989728470761695	0.9502122593929216
down_minus_passive_FE	Ceko_MPA2_General	signature	success_asymmetry_z_up_minus_down	33	0.08529293290905963	0.6369697951506444	0.08422459893048129	0.6412103483753364	0.8937481936770869	0.8999443485969634
down_minus_passive_FE	Ceko_MPA2_General	signature	task_separation_rating_z_up_minus_down	33	0.11702195374421197	0.5166269425928802	0.14538770053475936	0.4195005333060412	0.8937481936770869	0.8526564988822657
down_minus_passive_FE	Ceko_MPA2_General	signature	passive_sensory_slope_z	33	0.1074314821628488	0.5517919141413428	0.2212566844919786	0.21593108048691717	0.8937481936770869	0.8273397369127232
down_minus_passive_FE	Ceko_MPA2_General	signature	passive_withinrun_slope_z	33	0.14066607279088797	0.43491925944557186	0.08689839572192513	0.6306184434927522	0.8937481936770869	0.8999443485969634
down_minus_passive_FE	Ceko_MPA2_General	signature	passive_acrossrun_slope_z	33	0.1268440253269416	0.48179616406199977	0.11163101604278076	0.5362570253519456	0.8937481936770869	0.8999443485969634
down_minus_passive_FE	Ceko_MPA2_Mechanical	signature	mean_reg_success_z	33	-0.09485411648792791	0.5995334479065847	-0.019050802139037436	0.916194787986969	0.8937481936770869	0.9502122593929216
down_minus_passive_FE	Ceko_MPA2_Mechanical	signature	reg_success_z_up	33	0.005937300057913486	0.9738402164596532	0.04779411764705883	0.7916869072056375	0.9900997422671012	0.9502122593929216
down_minus_passive_FE	Ceko_MPA2_Mechanical	signature	reg_success_z_down	33	-0.1610441217934605	0.3706157752651474	-0.16510695187165778	0.35850390731731974	0.8937481936770869	0.8526564988822657
down_minus_passive_FE	Ceko_MPA2_Mechanical	signature	success_asymmetry_z_up_minus_down	33	0.12782213855455435	0.47839545818860313	0.22894385026737968	0.19999254527896296	0.8937481936770869	0.8273397369127232
down_minus_passive_FE	Ceko_MPA2_Mechanical	signature	task_separation_rating_z_up_minus_down	33	-0.10197561088188063	0.5722825326859792	-0.0411096256684492	0.8203095538402494	0.8937481936770869	0.9502122593929216
down_minus_passive_FE	Ceko_MPA2_Mechanical	signature	passive_sensory_slope_z	33	-0.10647645189610497	0.5553538438003888	-0.12132352941176472	0.501221832595384	0.8937481936770869	0.890382579902315
down_minus_passive_FE	Ceko_MPA2_Mechanical	signature	passive_withinrun_slope_z	33	0.06712986902040188	0.7105022911382924	0.1410427807486631	0.43367780657980803	0.9077350034278633	0.8526564988822657
down_minus_passive_FE	Ceko_MPA2_Mechanical	signature	passive_acrossrun_slope_z	33	0.1114035362027723	0.5370931239710971	0.2897727272727273	0.10189316081216639	0.8937481936770869	0.8273397369127232
down_minus_passive_FE	Ceko_MPA2_Thermal	signature	mean_reg_success_z	33	0.06607967026837881	0.7148413151994423	0.10060160427807488	0.5774964897113983	0.9077350034278633	0.8999443485969634
down_minus_passive_FE	Ceko_MPA2_Thermal	signature	reg_success_z_up	33	0.09679562924592008	0.5920488808783523	0.14204545454545453	0.43038297329925623	0.8937481936770869	0.8526564988822657
down_minus_passive_FE	Ceko_MPA2_Thermal	signature	reg_success_z_down	33	0.002246663116569285	0.9900997422671012	-0.0046791443850267385	0.9793823278219826	0.9900997422671012	0.9793823278219826
down_minus_passive_FE	Ceko_MPA2_Thermal	signature	success_asymmetry_z_up_minus_down	33	0.07874199824427648	0.663145590004191	0.0427807486631016	0.8131309995317153	0.8937481936770869	0.9502122593929216
down_minus_passive_FE	Ceko_MPA2_Thermal	signature	task_separation_rating_z_up_minus_down	33	0.09420343017589668	0.6020509351586019	0.1463903743315508	0.4162660637821015	0.8937481936770869	0.8526564988822657
down_minus_passive_FE	Ceko_MPA2_Thermal	signature	passive_sensory_slope_z	33	0.15287160280860496	0.39569895559975726	0.16143048128342247	0.3694537061719527	0.8937481936770869	0.8526564988822657
down_minus_passive_FE	Ceko_MPA2_Thermal	signature	passive_withinrun_slope_z	33	0.022562123561080057	0.9008183197794792	-0.059826203208556146	0.7408558160803717	0.989728470761695	0.9502122593929216
down_minus_passive_FE	Ceko_MPA2_Thermal	signature	passive_acrossrun_slope_z	33	0.006804472811619475	0.9700210483963551	-0.03643048128342246	0.8404840126193108	0.9900997422671012	0.9502122593929216
down_minus_passive_FE	Coll_painvalue	signature	mean_reg_success_z	33	-0.0986248767478725	0.5850346578032357	-0.09258021390374332	0.608350760958039	0.8937481936770869	0.8999443485969634
down_minus_passive_FE	Coll_painvalue	signature	reg_success_z_up	33	-0.2163569687508485	0.22653210555674133	-0.23195187165775402	0.193983977201724	0.8937481936770869	0.8273397369127232
down_minus_passive_FE	Coll_painvalue	signature	reg_success_z_down	33	0.07495373628511087	0.6784654011681612	0.032754010695187165	0.8564062242139914	0.8937481936770869	0.9502122593929216
down_minus_passive_FE	Coll_painvalue	signature	success_asymmetry_z_up_minus_down	33	-0.2370300522798434	0.1841282221540644	-0.2159090909090909	0.22751842765099892	0.8937481936770869	0.8273397369127232
down_minus_passive_FE	Coll_painvalue	signature	task_separation_rating_z_up_minus_down	33	-0.07542824730029878	0.6765393778921494	-0.10227272727272728	0.5711578644496516	0.8937481936770869	0.8999443485969634
down_minus_passive_FE	Coll_painvalue	signature	passive_sensory_slope_z	33	-0.04925975121207024	0.7854452949395925	-0.06316844919786097	0.7269148990369839	0.9520549029570818	0.9502122593929216
down_minus_passive_FE	Coll_painvalue	signature	passive_withinrun_slope_z	33	-0.08741583995085483	0.6285768766249095	0.052807486631016046	0.7703916380336323	0.8937481936770869	0.9502122593929216
down_minus_passive_FE	Coll_painvalue	signature	passive_acrossrun_slope_z	33	-0.5317881772942054	0.0014476260581088851	-0.4919786096256684	0.003636909524348105	0.1158100846487108	0.2909527619478484
down_minus_passive_FE	Coll_shockintensity	signature	mean_reg_success_z	33	-0.19561636832018287	0.2752800197584032	-0.2600267379679145	0.14390067609593132	0.8937481936770869	0.8273397369127232
down_minus_passive_FE	Coll_shockintensity	signature	reg_success_z_up	33	-0.15950256330681611	0.37527381801517157	-0.18282085561497327	0.3085135398160817	0.8937481936770869	0.8526564988822657
down_minus_passive_FE	Coll_shockintensity	signature	reg_success_z_down	33	-0.14503696825789414	0.4206352479779116	-0.21758021390374332	0.22385304871533357	0.8937481936770869	0.8273397369127232
down_minus_passive_FE	Coll_shockintensity	signature	success_asymmetry_z_up_minus_down	33	-0.021905660638038196	0.9036905240229789	-0.08790106951871658	0.6266648621266663	0.989728470761695	0.8999443485969634
down_minus_passive_FE	Coll_shockintensity	signature	task_separation_rating_z_up_minus_down	33	-0.1753411407745117	0.3290600581839775	-0.2252673796791444	0.20751023027697468	0.8937481936770869	0.8273397369127232
down_minus_passive_FE	Coll_shockintensity	signature	passive_sensory_slope_z	33	0.019209571058285954	0.9154988354545679	0.1019385026737968	0.572423067803052	0.989728470761695	0.8999443485969634
down_minus_passive_FE	Coll_shockintensity	signature	passive_withinrun_slope_z	33	-0.08114462286201683	0.6534977973760803	-0.008021390374331552	0.9646626688942839	0.8937481936770869	0.9768735887537051
down_minus_passive_FE	Coll_shockintensity	signature	passive_acrossrun_slope_z	33	-0.3087457588243253	0.08042620649719327	-0.3011363636363637	0.08857156467173205	0.8937481936770869	0.8273397369127232
down_minus_passive_FE	Geuter_cPDM	signature	mean_reg_success_z	33	-0.27103520826920335	0.1270937364069388	-0.22493315508021391	0.20820318712465566	0.8937481936770869	0.8273397369127232
down_minus_passive_FE	Geuter_cPDM	signature	reg_success_z_up	33	-0.13273429479874937	0.461507110374479	-0.1400401069518717	0.4369864556771611	0.8937481936770869	0.8526564988822657
down_minus_passive_FE	Geuter_cPDM	signature	reg_success_z_down	33	-0.29709982102913207	0.09314139074437168	-0.3295454545454546	0.06109638028097804	0.8937481936770869	0.8273397369127232
down_minus_passive_FE	Geuter_cPDM	signature	success_asymmetry_z_up_minus_down	33	0.11637785190510562	0.5189535468108857	0.10929144385026739	0.5448856929339969	0.8937481936770869	0.8999443485969634
down_minus_passive_FE	Geuter_cPDM	signature	task_separation_rating_z_up_minus_down	33	-0.2627689591308591	0.13957021384651197	-0.170120320855615	0.34388901895534485	0.8937481936770869	0.8526564988822657
