set_name	subject	down_minus_passive_FE	regulation_mean_minus_passive_FE	stim_down_FE	stim_down_temp_FE	stim_passive_FE	stim_passive_temp_FE	stim_up_FE	stim_up_temp_FE	up_minus_down_FE	up_minus_passive_FE	cond_passive	cond_up	cond_down	temp_passive	temp_up	temp_down	paired_up_minus_down	paired_up_minus_passive	paired_down_minus_passive	paired_regulation_mean_minus_passive	temp_up_minus_down	temp_up_minus_passive	temp_down_minus_passive	temp_regulation_mean_minus_passive	measure
fd_bad_run_exclude	sub-01	-0.0154271874035528	-0.0134146874301448	0.0041853599977286	-0.0102433280952527	0.0197631796345128	0.0087604041752402	0.0064837432607663	-0.0052742254800798	0.0027751952702468	-0.0106162094484113	0.0197631796345128	0.0064837432607663	0.0041853599977286	0.0087604041752402	-0.0052742254800798	-0.0102433280952527	0.0022983832630377003	-0.013279436373746498	-0.015577819636784198	-0.01442862800526535	0.004969102615172899	-0.01403462965532	-0.0190037322704929	-0.01651918096290645	signature_weighted_mean
fd_bad_run_exclude	sub-02	-0.0036345116144083		0.028325625468633	0.0051699758497497	0.0301774470540798	0.0155925679749063					0.0301774470540798		0.028325625468633	0.0155925679749063		0.0051699758497497			-0.0018518215854467987				-0.0104225921251566		signature_weighted_mean
fd_bad_run_exclude	sub-03	-0.0047011382495305	-0.0055232308928631	0.0083057351306068	0.0059140011261511	0.0151243095179924	0.0054161648106534	0.0105116632148873	0.0061358385813006	0.0029947420410317	-0.0056256740563272	0.0151243095179924	0.0105116632148873	0.0083057351306068	0.0054161648106534	0.0061358385813006	0.0059140011261511	0.0022059280842805003	-0.0046126463031051	-0.0068185743873856	-0.005715610345245351	0.0002218374551494996	0.0007196737706472002	0.0004978363154977006	0.0006087550430724509	signature_weighted_mean
fd_bad_run_exclude	sub-04	-0.0130334244798357		0.008247477533024	0.001563666149152	0.0175399188010914	0.0127971186697514					0.0175399188010914		0.008247477533024	0.0127971186697514		0.001563666149152			-0.0092924412680674				-0.0112334525205994		signature_weighted_mean
fd_bad_run_exclude	sub-05	0.0017249164890695	0.0038390307031148	0.0185919805573947	0.0045929151591724	0.0201367666987189	0.0074054018887364	0.0217052171724494	0.0010179861084462	-0.0004749440143573	0.0005668785394477	0.0201367666987189	0.0217052171724494	0.0185919805573947	0.0074054018887364	0.0010179861084462	0.0045929151591724	0.0031132366150547	0.0015684504737305018	-0.0015447861413241983	1.183216620315175e-05	-0.0035749290507261994	-0.0063874157802902	-0.0028124867295640007	-0.0045999512549271	signature_weighted_mean
fd_bad_run_exclude	sub-06					0.0323266133413671	0.0092962267941752	-0.019684489017336	-0.0169404095955101		0.5909379664852301	0.0323266133413671	-0.019684489017336		0.0092962267941752	-0.0169404095955101			-0.0520111023587031				-0.0262366363896853			signature_weighted_mean
fd_bad_run_exclude	sub-07	-0.0043468294340786	-0.0047008263047922	0.0084691705219627	-0.0004846500981838	0.0139452670762436	0.0098985741854908	0.0062191732118468	0.0054139671344024	-0.0018967050317954	-0.0091554387186709	0.0139452670762436	0.0062191732118468	0.0084691705219627	0.0098985741854908	0.0054139671344024	-0.0004846500981838	-0.0022499973101159	-0.0077260938643968005	-0.0054760965542809	-0.0066010952093388505	0.0058986172325862	-0.0044846070510884	-0.0103832242836746	-0.0074339156673815	signature_weighted_mean
fd_bad_run_exclude	sub-08	-0.0021202629772386	-0.0063100712238363	0.0087481002565433	-0.0053656444653516	0.013104306250857	0.0087171141720197	0.0071698580420294	0.0028439576708172	-0.0026910385886073	-0.0086984556577406	0.013104306250857	0.0071698580420294	0.0087481002565433	0.0087171141720197	0.0028439576708172	-0.0053656444653516	-0.0015782422145139002	-0.0059344482088275995	-0.004356205994313699	-0.005145327101570649	0.0082096021361688	-0.0058731565012025005	-0.0140827586373713	-0.009977957569286901	signature_weighted_mean
fd_bad_run_exclude	sub-09	-0.0056337366771981	-0.0059901616669459	-0.0011216295080566	0.0057138527795523	0.0073020855356972	0.0085872537508235	-3.788344717074714e-05	0.0030583394549505	0.0006882713070171	-0.0078821499728434	0.0073020855356972	-3.788344717074714e-05	-0.0011216295080566	0.0085872537508235	0.0030583394549505	0.0057138527795523	0.0010837460608858528	-0.007339968982867947	-0.0084237150437538	-0.007881842013310873	-0.0026555133246017994	-0.005528914295873	-0.0028734009712712005	-0.0042011576335721	signature_weighted_mean
fd_bad_run_exclude	sub-10					0.0068986770658882	-0.0015645887193234					0.0068986770658882			-0.0015645887193234											signature_weighted_mean
