set_name	effect	family	roi	measure	n	mean	sd	se	t	p	dz	ci_lo_boot	ci_hi_boot	q_fdr_family	q_fdr_effect_all_rois
fd_bad_run_exclude	down_minus_passive_FE	targeted_regulatory_value	reg_NAc_L	roi_mean_beta	30	-0.004878453739608327	0.06392318936891189	0.011670724255009155	-0.41800779737508237	0.6790205246345719	-0.07631743327846048	-0.027142451408629614	0.017694669970078392	0.854157625320682	0.9053606995127624
fd_bad_run_exclude	down_minus_passive_FE	targeted_regulatory_value	reg_NAc_R	roi_mean_beta	30	-0.002472827568029364	0.07302962965560926	0.013333325176208475	-0.18546218106506482	0.854157625320682	-0.033860606711147836	-0.028869533771649	0.02199492500668081	0.854157625320682	0.9119703242355615
fd_bad_run_exclude	down_minus_passive_FE	targeted_regulatory_value	reg_PAG_sphere	roi_mean_beta	30	0.004510948406338381	0.10390589920319218	0.01897053495048214	0.2377870955201363	0.8137182678506003	0.043413785366671426	-0.03263517837272957	0.040090182558948674	0.854157625320682	0.9119703242355615
fd_bad_run_exclude	down_minus_passive_FE	targeted_regulatory_value	reg_SMA_preSMA	roi_mean_beta	30	0.0021536911682536203	0.03905163104340826	0.007129819743281237	0.30206810912479864	0.764755941164864	0.05514983909019477	-0.012137077294755726	0.015219153198413524	0.854157625320682	0.9119703242355615
fd_bad_run_exclude	down_minus_passive_FE	targeted_regulatory_value	reg_anterior_insula_L	roi_mean_beta	30	-0.03219964279172321	0.03955071054468889	0.007220938776894513	-4.459204514343107	0.00011364590563453647	-0.8141356336781963	-0.04594009586299459	-0.018223807066679004	0.0013637508676144377	0.0018183344901525835
fd_bad_run_exclude	down_minus_passive_FE	targeted_regulatory_value	reg_anterior_insula_R	roi_mean_beta	30	-0.019391036248998718	0.08845025931497823	0.016148734081331672	-1.2007774820823398	0.23955396898757728	-0.21923097116025103	-0.051231886769334475	0.013176909071238087	0.8348303600419835	0.6388105839668727
fd_bad_run_exclude	down_minus_passive_FE	targeted_regulatory_value	reg_dlPFC_IFJ_L	roi_mean_beta	30	0.019268777648297448	0.03937952389129791	0.0071896845130258276	2.6800588556267613	0.012008255371749939	0.4893095635560861	0.005282530787129266	0.03317413899659489	0.07204953223049963	0.064044028649333
fd_bad_run_exclude	down_minus_passive_FE	targeted_regulatory_value	reg_dlPFC_IFJ_R	roi_mean_beta	30	-0.00288197947666049	0.06353798911800469	0.011600396632816314	-0.2484380118958752	0.8055464510515772	-0.04535836775236921	-0.026172908352843176	0.019264871076835915	0.854157625320682	0.9119703242355615
fd_bad_run_exclude	down_minus_passive_FE	targeted_regulatory_value	reg_mOFC	roi_mean_beta	30	-0.007600417034700513	0.04596291427271726	0.0083916416519478	-0.9057127734876959	0.37255177396085615	-0.16535977221992604	-0.02420703151457322	0.008046502264721004	0.8348303600419835	0.7366703218196039
fd_bad_run_exclude	down_minus_passive_FE	targeted_regulatory_value	reg_pgACC_rACC	roi_mean_beta	30	-0.0036809699726291	0.03408649736729102	0.006223314504801916	-0.5914806281747227	0.5587813348936241	-0.1079890941262071	-0.0158112885573064	0.00853200367797399	0.854157625320682	0.8514763198379034
fd_bad_run_exclude	down_minus_passive_FE	targeted_regulatory_value	reg_vmPFC	roi_mean_beta	30	-0.011556299682706595	0.07694128064018496	0.014047491669988277	-0.8226593013324945	0.41741518002099176	-0.15019635216041569	-0.039042013187427074	0.01568758161816123	0.8348303600419835	0.7420714311484298
fd_bad_run_exclude	down_minus_passive_FE	targeted_regulatory_value	reg_vmPFC_mOFC	roi_mean_beta	30	-0.009406074710811178	0.05014285087927322	0.009154790174731899	-1.0274484211307047	0.31270340122666895	-0.1875855589754515	-0.027217617639883732	0.008363343521486963	0.8348303600419835	0.7147506313752433
fd_bad_run_exclude	down_minus_passive_FE	targeted_sensory	sensory_S1_L	roi_mean_beta	30	0.007518679633115729	0.04717862419404744	0.008613598901046257	0.8728848091826596	0.3898963590720246	0.15936623336431174	-0.009143256116076371	0.02402288047072943	0.5361074937240338	0.7366703218196039
fd_bad_run_exclude	down_minus_passive_FE	targeted_sensory	sensory_S1_R	roi_mean_beta	30	0.0044646983073713875	0.04675254939214634	0.00853580864098433	0.5230551076244053	0.6049097667385728	0.09549636042139305	-0.01104921758514441	0.02150585197668986	0.7393341593471444	0.8662088226226684
fd_bad_run_exclude	down_minus_passive_FE	targeted_sensory	sensory_S2_operculum_L	roi_mean_beta	30	-0.026162305342343945	0.04601761761155285	0.008401629069498167	-3.113956248952399	0.0041298780463653855	-0.5685280268784673	-0.042453668243251745	-0.009617417779906353	0.01135716462750481	0.02643121949673847
fd_bad_run_exclude	down_minus_passive_FE	targeted_sensory	sensory_S2_operculum_R	roi_mean_beta	30	-0.04009946353423099	0.04838753642709631	0.008834315067741193	-4.539057439852419	9.114226871418955e-05	-0.8287147165396062	-0.05687687038249957	-0.022032858607514454	0.0010025649558560849	0.0018183344901525835
fd_bad_run_exclude	down_minus_passive_FE	targeted_sensory	sensory_dACC_MCC	roi_mean_beta	30	-0.0021403096344632406	0.03534222279295457	0.0064525775520248175	-0.3316983976103645	0.7425023335161056	-0.06055956488650478	-0.014646123759545542	0.010262023058506502	0.8167525668677162	0.9119703242355615
fd_bad_run_exclude	down_minus_passive_FE	targeted_sensory	sensory_insula_all_L	roi_mean_beta	30	-0.025349943528029446	0.03489154093729132	0.0063702946791564675	-3.9793988825939524	0.00042307029846295525	-0.7265355111025199	-0.03737540081958286	-0.0127325018241148	0.002326886641546254	0.004512749850271522
fd_bad_run_exclude	down_minus_passive_FE	targeted_sensory	sensory_insula_all_R	roi_mean_beta	30	-0.02425674380113681	0.061014871555313335	0.011139740498041811	-2.1774963075127967	0.03772359042497409	-0.3975546155029883	-0.04562011485376085	-0.0029638559033628564	0.06915991577911917	0.15089436169989637
fd_bad_run_exclude	down_minus_passive_FE	targeted_sensory	sensory_posterior_insula_L	roi_mean_beta	30	-0.03009344613722836	0.04310649312976152	0.007870132887370616	-3.8237532412597512	0.0006442054648437693	-0.6981186348571531	-0.045603237321289875	-0.015254227990323367	0.0023620867044271544	0.005153643718750154
fd_bad_run_exclude	down_minus_passive_FE	targeted_sensory	sensory_posterior_insula_R	roi_mean_beta	30	-0.02782701687538065	0.06554601656219974	0.011967010608574673	-2.3253106214714863	0.02725628608299928	-0.42454169352876336	-0.05070867183501832	-0.004775038394824764	0.059963829382598414	0.12460016495085384
fd_bad_run_exclude	down_minus_passive_FE	targeted_sensory	sensory_thalamus_L	roi_mean_beta	30	0.0011678347053627172	0.03468549667944055	0.006332676316533375	0.18441408450227115	0.8549721789708389	0.033669251334519264	-0.010686200109970135	0.013584201029540657	0.8549721789708389	0.9119703242355615
fd_bad_run_exclude	down_minus_passive_FE	targeted_sensory	sensory_thalamus_R	roi_mean_beta	30	-0.009202164233041306	0.032267779533597565	0.005891263577051638	-1.5620017866602824	0.12913554250109346	-0.2851812044724029	-0.020089307448943147	0.002216762618821423	0.20292728107314686	0.3756670327304537
fd_bad_run_exclude	down_minus_passive_FE	exploratory_context	expl_amygdala_L	roi_mean_beta	30	0.00513592001516372	0.03232787612337147	0.005902235663001072	0.870165189668535	0.3913561084666646	0.1588697010457393	-0.006204012738113913	0.016218988206043526	0.7782344890750537	0.7366703218196039
fd_bad_run_exclude	down_minus_passive_FE	exploratory_context	expl_amygdala_R	roi_mean_beta	30	0.0009083314585344245	0.04528566978127366	0.008267994290311208	0.10986116180545098	0.9132762210210381	0.020057812171523495	-0.015060593915744297	0.01677920327332685	0.9132762210210381	0.9427367442797813
fd_bad_run_exclude	down_minus_passive_FE	exploratory_context	expl_hippocampus_L	roi_mean_beta	30	0.0025671670225468307	0.028263198788424253	0.005160130507890881	0.49750040597250667	0.6225875912600429	0.09083073157303993	-0.00701766051366576	0.013310374221018717	0.7782344890750537	0.8662088226226684
fd_bad_run_exclude	down_minus_passive_FE	exploratory_context	expl_hippocampus_R	roi_mean_beta	30	0.004298116943876569	0.034731396075851635	0.006341056361463449	0.677823488527487	0.5032562355032886	0.12375307155778295	-0.007679324689621959	0.01760134657408343	0.7782344890750537	0.8052099768052617
fd_bad_run_exclude	down_minus_passive_FE	exploratory_context	expl_hypothalamus	roi_mean_beta	30	-0.01314378292299807	0.06728134960987864	0.012283837626907313	-1.070006240900407	0.2934418472320277	-0.19535551827081993	-0.03647338798812901	0.010620741843789173	0.7782344890750537	0.7147506313752433
fd_bad_run_exclude	down_minus_passive_FE	secondary_subcortical	reg_caudate_L	roi_mean_beta	30	0.004611519279812152	0.03719915153236021	0.006791604804775518	0.6790028884733637	0.5025195489366117	0.12396839954267529	-0.008560143990907817	0.0170879517305002	0.6700260652488156	0.8052099768052617
fd_bad_run_exclude	down_minus_passive_FE	secondary_subcortical	reg_caudate_R	roi_mean_beta	30	0.0001241927035152912	0.0412905917006344	0.00753859616239102	0.01647424810137342	0.9869688673715054	0.003007772434352959	-0.015390492404500642	0.014011469091443962	0.9869688673715054	0.9869688673715054
fd_bad_run_exclude	down_minus_passive_FE	secondary_subcortical	reg_putamen_L	roi_mean_beta	30	0.021418799293072274	0.06515592517232979	0.011895789990667902	1.8005360980544423	0.08218604173418316	0.3287314121689172	-0.00022562306277298672	0.04559334796183974	0.16437208346836632	0.2629953335493861
fd_bad_run_exclude	down_minus_passive_FE	secondary_subcortical	reg_putamen_R	roi_mean_beta	30	0.014627300924621523	0.042360938629624166	0.007734013881512378	1.8912948888787318	0.06861172481295327	0.34530162451103596	-0.00047756534302607174	0.02894689463583439	0.16437208346836632	0.24395279933494496
fd_bad_run_exclude	regulation_mean_minus_passive_FE	targeted_regulatory_value	reg_NAc_L	roi_mean_beta	26	-0.011314574915629167	0.051462024211450026	0.010092533294737232	-1.1210837344008735	0.2729059768803454	-0.21986260915698172	-0.03111502135624715	0.007715917066357524	0.47651417743215857	0.4681542795824716
fd_bad_run_exclude	regulation_mean_minus_passive_FE	targeted_regulatory_value	reg_NAc_R	roi_mean_beta	26	-0.016403259906487968	0.07230908654744503	0.014180978589057374	-1.156708601135989	0.2583251731253986	-0.22684922033588545	-0.045828149476325894	0.008745640060190523	0.47651417743215857	0.4681542795824716
fd_bad_run_exclude	regulation_mean_minus_passive_FE	targeted_regulatory_value	reg_PAG_sphere	roi_mean_beta	26	-0.011945364357625995	0.07024236228540706	0.013775660614390173	-0.8671355002131633	0.39411483898417965	-0.17005926294292154	-0.03830951471016026	0.014013703259171532	0.5345065201261193	0.5830980219557665
fd_bad_run_exclude	regulation_mean_minus_passive_FE	targeted_regulatory_value	reg_SMA_preSMA	roi_mean_beta	26	0.0037691151060593817	0.0381183289383965	0.00747561934932432	0.5041876706041823	0.6185442736601905	0.09887933734321604	-0.0103301831758402	0.018085913208331188	0.6747755712656623	0.7330895095231887
fd_bad_run_exclude	regulation_mean_minus_passive_FE	targeted_regulatory_value	reg_anterior_insula_L	roi_mean_beta	26	-0.030233067102157153	0.03823003829994241	0.007497527357569458	-4.032405039727402	0.00045586112641210887	-0.7908196917030735	-0.04471198871660118	-0.015852806585070753	0.005470333516945307	0.005239133096460656
fd_bad_run_exclude	regulation_mean_minus_passive_FE	targeted_regulatory_value	reg_anterior_insula_R	roi_mean_beta	26	-0.025027555064298213	0.0699439406498885	0.013717135316590658	-1.8245467793867851	0.080043801232757	-0.3578230627521572	-0.05142456742290121	0.0011012955673952208	0.320175204931028	0.2005294759099615
fd_bad_run_exclude	regulation_mean_minus_passive_FE	targeted_regulatory_value	reg_dlPFC_IFJ_L	roi_mean_beta	26	0.015670869123333923	0.040107872372644265	0.007865800918338542	1.9922788900998543	0.057367911205072654	0.39071803604377436	-6.188702312871194e-05	0.030798528596418552	0.320175204931028	0.2005294759099615
fd_bad_run_exclude	regulation_mean_minus_passive_FE	targeted_regulatory_value	reg_dlPFC_IFJ_R	roi_mean_beta	26	-0.011828212612621987	0.05438226124683246	0.010665238895803824	-1.109043381792013	0.2779666035020925	-0.21750130173763108	-0.033380784292239694	0.008171160261750065	0.47651417743215857	0.4681542795824716
fd_bad_run_exclude	regulation_mean_minus_passive_FE	targeted_regulatory_value	reg_mOFC	roi_mean_beta	26	-0.008386739498326698	0.03454703566099539	0.006775231114315434	-1.237852902258389	0.22727025298337666	-0.2427629270604995	-0.02194584153834372	0.004016733774019825	0.47651417743215857	0.4681542795824716
fd_bad_run_exclude	regulation_mean_minus_passive_FE	targeted_regulatory_value	reg_pgACC_rACC	roi_mean_beta	26	-0.004125349196748665	0.03002945103571797	0.005889259877446346	-0.7004868663628181	0.4900917614151985	-0.13737677694613348	-0.015790965748041903	0.0068402424379690584	0.5881101136982382	0.6534556818869314
fd_bad_run_exclude	regulation_mean_minus_passive_FE	targeted_regulatory_value	reg_vmPFC	roi_mean_beta	26	-0.002577349212235556	0.0494220142736948	0.00969245443010119	-0.26591295639536455	0.7924869618761027	-0.05214982129142736	-0.020208501462967925	0.016806992064140585	0.7924869618761027	0.8453194260011762
fd_bad_run_exclude	regulation_mean_minus_passive_FE	targeted_regulatory_value	reg_vmPFC_mOFC	roi_mean_beta	26	-0.00573504988838417	0.03421788387144566	0.006710679137475126	-0.8546154228053238	0.40087989009458946	-0.16760387375006516	-0.018539282150315837	0.00697854391540971	0.5345065201261193	0.5830980219557665
fd_bad_run_exclude	regulation_mean_minus_passive_FE	targeted_sensory	sensory_S1_L	roi_mean_beta	26	0.011874544290969005	0.03335129781165876	0.006540727628665092	1.8154775684173385	0.08146509958842187	0.3560444441480765	-0.0004704685541442952	0.024611673383221306	0.11201451193408006	0.2005294759099615
fd_bad_run_exclude	regulation_mean_minus_passive_FE	targeted_sensory	sensory_S1_R	roi_mean_beta	26	0.008362240265481748	0.03539549782645236	0.0069416282350158315	1.2046511254088614	0.2396187791033233	0.23625152290504972	-0.0045347527889624374	0.0218311453491109	0.2928673966818396	0.4681542795824716
fd_bad_run_exclude	regulation_mean_minus_passive_FE	targeted_sensory	sensory_S2_operculum_L	roi_mean_beta	26	-0.022690262439517446	0.03851233471165599	0.007552890238798103	-3.004182732983574	0.005977788854388681	-0.5891687068416057	-0.03758208652165754	-0.008335409467690633	0.013151135479655098	0.03188154055673963
