display	n_subjects	fdr_threshold	z_min	z_max	z_max_abs
Passive heat response	33	2.611255019902183	-6.147575855255127	6.205325603485107	6.205325603485107
Down − passive	33	inf	-4.507881164550781	4.418209552764893	4.507881164550781
Up − passive	33	inf	-2.7019975185394287	1.9351544380187988	2.7019975185394287
Up − down	33	inf	-2.4764699935913086	1.231974959373474	2.4764699935913086
Mean regulation − passive	33	inf	-2.316412925720215	1.6036144495010376	2.316412925720215
