label	estimate	se	z	p	q_fdr_within_all_contrasts
Standardized success	-0.2655476261953364	0.0897607064767919	-2.958395010672014	0.0030924556473574	0.0129883137189014
Raw success	-0.191456339144175	0.1087436604871687	-1.760620695371626	0.078302623454282	0.1827061213933248
Observed rating (raw)	-0.0948034647058355	0.0893260877613467	-1.06131889442111	0.2885450018679747	0.4328175028019621
Observed rating (bounded logit)	-1.3179739181790855	0.7996656613299586	-1.648156200664045	0.0993206220733604	0.1955690195349893
Available-room success	-0.0014154979505788	0.0033332511529696	-0.4246598547840486	0.6710846529906516	0.7829320951557602
