condition	est	se	p	ci_lo	ci_hi
Up-regulation	0.3401938620549408	0.0769209290533618	0.0001054222437507	0.1894288411103516	0.4909588829995299
Down-regulation	-0.2885397631533479	0.0703360975920456	0.0002625136348363	-0.4263985144337573	-0.1506810118729385
