contrast	all_participants	without_influential	influential_participant
Up – passive	0.0120116250629456	-0.0060798256634248	0.5909380483068007
Down – passive	-0.0048399097908744	-0.0045991347646442	-0.0125447106302421
Mean regulation – passive	0.0131875595453091	-0.0052162924907514	0.6021108246992485
Up – down	0.0270936230612326	-0.0018906620463541	0.9545907465040098
