subject	reg_success_z_up	reg_success_z_down	success_asymmetry_z_up_minus_down
sub-01	0.5418265311007924	1.4063103914300563	-0.8644838603292639
sub-02	0.0746330104152226	0.2094378858567206	-0.134804875441498
sub-03	-0.2031053084304102	0.1609273019795902	-0.3640326104100004
sub-04	-0.0066908009338517	0.20475444861388	-0.2114452495477318
sub-05	0.6655551364799273	-0.2222425500853855	0.8877976865653128
sub-06	-0.0449320366459201	0.6198837161309283	-0.6648157527768485
sub-07	0.5492004322807797	0.2028735955266395	0.3463268367541401
sub-08	-0.3165149179145941	-0.0015965925151605	-0.3149183253994335
sub-09	0.2505568109105925	0.4584830402650869	-0.2079262293544943
sub-10	0.27329297786666	0.499040453210779	-0.225747475344119
sub-11	-0.15762799116185	-0.3236595121796008	0.1660315210177508
sub-12	0.4654642471828761	1.2806609695595028	-0.8151967223766267
sub-13	1.258927226482754	-0.1184091876604428	1.377336414143197
sub-14	0.5828464550659599	-0.3570837955427348	0.9399302506086946
sub-15	1.2667153263765825	0.60755334298841	0.6591619833881724
sub-16	0.2967379087955617	-0.0976290318842956	0.3943669406798574
sub-17	0.4523034722388325	0.3338317876633656	0.1184716845754669
sub-18	-0.0921079754005728	0.0619452603599629	-0.1540532357605358
sub-19	0.6518229076295785	0.5581700110788091	0.0936528965507693
sub-20	1.1142562605071902	0.3599545431559834	0.7543017173512068
sub-21	-0.1218025932269152	-0.0980340123062226	-0.0237685809206925
sub-22	0.2546116402714331	0.4958716206325797	-0.2412599803611466
sub-23	0.9863335999017384	0.3711185604061365	0.6152150394956019
sub-24	0.2023231862305035	0.1824271345065747	0.0198960517239288
sub-25	0.4521228981178683	0.498384309759068	-0.0462614116411996
sub-26	0.5117453193434846	0.2639856553732095	0.247759663970275
sub-27	0.2204999341217864	0.3793572158450589	-0.1588572817232724
sub-28	0.2683700204377455	-0.0455267794646041	0.3138967999023497
sub-29	-0.2715952254352865	0.3448709264169423	-0.6164661518522289
sub-30	-0.1126539444315021	0.1719528444108896	-0.2846067888423917
sub-31	0.7232102931319704	0.7846113234136426	-0.0614010302816722
sub-32	0.1493267505006882	0.4218082682975849	-0.2724815177968966
sub-33	0.1172735940295784	0.1192495651226783	-0.0019759710930999
