roi	label	mean	ci_lo_boot	ci_hi_boot	p	q_fdr_effect_all_rois
reg_dlPFC_IFJ_L	Left dlPFC/IFJ	0.017964108063924	0.0051553019978614	0.0301145523516672	0.0098013852837031	0.0448063327254999
sensory_S2_operculum_R	Right S2/operculum	-0.038828252828821	-0.052810560598278	-0.0231947736557093	2.012956664646158e-05	0.0006441461326867
reg_anterior_insula_L	Left anterior insula	-0.0283581160686232	-0.0413523381759384	-0.0146324403143036	0.0003174470027065	0.0050791520433043
sensory_S2_operculum_L	Left S2/operculum	-0.0275846843777055	-0.0429806677460543	-0.0120280191289952	0.0016748649553178	0.0133989196425429
sensory_insula_all_L	Left whole insula	-0.0225467284961434	-0.0340210909176455	-0.0107930452320777	0.0007873013373587	0.0083978809318266
sensory_posterior_insula_L	Left posterior insula	-0.0256227225763723	-0.0411229651816415	-0.0101963434138187	0.0029740013691603	0.019033608762626
sensory_posterior_insula_R	Right posterior insula	-0.0382061228067896	-0.0659440605693927	-0.0128224126991082	0.0094272251506231	0.0448063327254999
