subset	n_trials	n_subjects	max_abs_formula_error_z	mean_abs_formula_error_z	max_abs_formula_error_raw	corr_success_with_observed_rating_z	corr_success_with_expected_pain_z	mean_success_z	sd_success_z	formula_pass_z
all_reg	660	33	3.0531133177191805e-16	4.6432744506180483e-17	5.684341886080802e-14	0.029925859551590783	-0.01958940554542173	0.30467525354517666	0.6560749604661448	True
up	330	33	3.0531133177191805e-16	4.0929617649666415e-17	5.684341886080802e-14	0.5894262989239498	-0.16755762586199	0.3381361341188546	0.6698949255444315	True
down	330	33	3.0531133177191805e-16	5.1935871362694546e-17	2.842170943040401e-14	-0.5793961361140656	0.1315180127732441	0.27121437297149864	0.6412267461784543	True
