model_name	formula	coef	est	se	t	p	ci_lo	ci_hi	n_obs	n_subjects	q_fdr_trial_models
post_residual_prev_condition_subjectFE	post_reg_residual_z ~ C(prev_reg_condition) + post_reg_epoch + temperature_z_subject + trial_in_run_c + C(subject)	C(prev_reg_condition)[T.up]	0.024576661096212135	0.07390910813488491	0.3325254723864272	0.7416610951062159	-0.12028519084816229	0.16943851304058655	726	33	0.7416610951062235
post_residual_prev_condition_subjectFE	post_reg_residual_z ~ C(prev_reg_condition) + post_reg_epoch + temperature_z_subject + trial_in_run_c + C(subject)	post_reg_epoch	0.10716581653087377	0.07500269726341752	1.4288261681376062	0.16274360346345318	-0.03983947010542456	0.2541711031671721	726	33	0.32548720692690714
post_residual_prev_condition_subjectFE	post_reg_residual_z ~ C(prev_reg_condition) + post_reg_epoch + temperature_z_subject + trial_in_run_c + C(subject)	temperature_z_subject	-0.06807618249292642	0.039285400024681665	-1.7328621434465856	0.09274889512688195	-0.1450755665413025	0.008923201555449636	726	33	0.2782466853806625
post_residual_prev_condition_subjectFE	post_reg_residual_z ~ C(prev_reg_condition) + post_reg_epoch + temperature_z_subject + trial_in_run_c + C(subject)	trial_in_run_c	-0.011177133312668733	0.010940626344594829	-1.0216173151906198	0.3146238248661888	-0.0326207609480746	0.01026649432273713	726	33	0.4719357372992898
rating_z_prev_condition_subjectFE	rating_z_subject ~ C(prev_reg_condition) + post_reg_epoch + temperature_z_subject + trial_in_run_c + C(subject)	C(prev_reg_condition)[T.up]	0.024576661096211965	0.07390910813488491	0.33252547238642494	0.7416610951062177	-0.12028519084816246	0.16943851304058638	726	33	0.7416610951062235
rating_z_prev_condition_subjectFE	rating_z_subject ~ C(prev_reg_condition) + post_reg_epoch + temperature_z_subject + trial_in_run_c + C(subject)	post_reg_epoch	-0.06254860618521037	0.07500269726341752	-0.8339514239805664	0.41049062557307103	-0.2095538928215087	0.08445668045108796	726	33	0.547320834097428
rating_z_prev_condition_subjectFE	rating_z_subject ~ C(prev_reg_condition) + post_reg_epoch + temperature_z_subject + trial_in_run_c + C(subject)	temperature_z_subject	0.6597033909482364	0.03928540002468165	16.79258428153379	1.9934358364365755e-17	0.5827040068998603	0.7367027749966124	726	33	2.3921230037238906e-16
rating_z_prev_condition_subjectFE	rating_z_subject ~ C(prev_reg_condition) + post_reg_epoch + temperature_z_subject + trial_in_run_c + C(subject)	trial_in_run_c	-0.06088136399307841	0.010940626344594829	-5.564705536548792	3.840801810719655e-06	-0.08232499162848428	-0.039437736357672545	726	33	2.304481086431793e-05
post_residual_prev_code_subjectFE	post_reg_residual_z ~ prev_reg_code + post_reg_epoch + temperature_z_subject + trial_in_run_c + C(subject)	prev_reg_code	0.012288330548105705	0.03695455406744247	0.3325254723864173	0.7416610951062235	-0.060142595424081534	0.08471925652029294	726	33	0.7416610951062235
post_residual_prev_code_subjectFE	post_reg_residual_z ~ prev_reg_code + post_reg_epoch + temperature_z_subject + trial_in_run_c + C(subject)	post_reg_epoch	0.10716581653087379	0.0750026972634176	1.4288261681376049	0.16274360346345357	-0.03983947010542471	0.2541711031671723	726	33	0.32548720692690714
post_residual_prev_code_subjectFE	post_reg_residual_z ~ prev_reg_code + post_reg_epoch + temperature_z_subject + trial_in_run_c + C(subject)	temperature_z_subject	-0.06807618249292526	0.03928540002468169	-1.7328621434465548	0.0927488951268875	-0.14507556654130138	0.008923201555450858	726	33	0.2782466853806625
post_residual_prev_code_subjectFE	post_reg_residual_z ~ prev_reg_code + post_reg_epoch + temperature_z_subject + trial_in_run_c + C(subject)	trial_in_run_c	-0.011177133312668633	0.010940626344594827	-1.0216173151906107	0.31462382486619317	-0.03262076094807449	0.010266494322737227	726	33	0.4719357372992898
