subject	up_first	n_trials	run3_condition	run7_condition	order_label	up_first_from_runs	pe_z_all_passive_down	pe_z_all_passive_up	rating_raw_down	rating_raw_up	rating_z_subject_down	rating_z_subject_up	reg_success_z_down	reg_success_z_up	mean_reg_success_z	success_asymmetry_z_up_minus_down	task_separation_rating_z_up_minus_down	task_separation_pe_z_up_minus_down	first_reg_run3_success_z	second_reg_run7_success_z	first_minus_second_reg_success_z
sub-01	1	97	up	down	up_first	1	-1.4063103914300563	0.5418265311007924	13.4	122.4	-1.4840063163924704	0.5704637489741022	1.4063103914300563	0.5418265311007924	0.9740684612654243	-0.8644838603292639	2.054470065366573	1.9481369225308487	0.5418265311007924	1.4063103914300563	-0.8644838603292639
sub-02	0	97	down	up	down_first	0	-0.2094378858567206	0.0746330104152226	87.8	93.7	-0.24795705459283157	-0.07021930115661221	0.2094378858567206	0.0746330104152226	0.1420354481359716	-0.134804875441498	0.17773775343621936	0.2840708962719432	0.2094378858567206	0.0746330104152226	0.134804875441498
sub-03	0	97	down	up	down_first	0	-0.16092730197959026	-0.2031053084304102	68.5	59.5	-0.17581474546121761	-0.32432589474776147	0.16092730197959026	-0.2031053084304102	-0.021089003225409964	-0.36403261041000046	-0.14851114928654385	-0.04217800645081993	0.16092730197959026	-0.2031053084304102	0.36403261041000046
sub-04	0	97	down	up	down_first	0	-0.20475444861388006	-0.006690800933851748	53.6	58.3	-0.23537254785450196	-0.1436420430101974	0.20475444861388006	-0.006690800933851748	0.09903182384001416	-0.2114452495477318	0.09173050484430456	0.19806364768002832	0.20475444861388006	-0.006690800933851748	0.2114452495477318
sub-05	1	97	up	down	up_first	1	0.22224255008538552	0.6655551364799273	93.1	115.8	-0.028032706023234	0.5216130232070315	-0.22224255008538552	0.6655551364799273	0.22165629319727087	0.8877976865653128	0.5496457292302656	0.44331258639454174	0.6655551364799273	-0.22224255008538552	0.8877976865653128
sub-06	1	97	up	down	up_first	1	-0.6198837161309283	-0.04493203664592012	84.4	99.1	-0.710095731070252	-0.02881090874951995	0.6198837161309283	-0.04493203664592012	0.28747583974250407	-0.6648157527768485	0.6812848223207321	0.5749516794850081	-0.04493203664592012	0.6198837161309283	-0.6648157527768485
sub-07	1	97	up	down	up_first	1	-0.20287359552663958	0.5492004322807797	153.0	172.6	-0.3973271145413243	0.46108005610181896	0.20287359552663958	0.5492004322807797	0.3760370139037097	0.34632683675414017	0.8584071706431433	0.7520740278074194	0.5492004322807797	0.20287359552663958	0.34632683675414017
sub-08	0	97	down	up	down_first	0	0.001596592515160583	-0.31651491791459413	93.6	67.9	-0.01835417931807077	-0.4427988325835493	-0.001596592515160583	-0.31651491791459413	-0.15905575521487736	-0.31491832539943354	-0.42444465326547853	-0.3181115104297547	-0.001596592515160583	-0.31651491791459413	0.31491832539943354
sub-09	1	97	up	down	up_first	1	-0.4584830402650869	0.25055681091059256	12.0	56.4	-0.595797067928366	0.2195759260830374	0.4584830402650869	0.25055681091059256	0.35451992558783973	-0.20792622935449434	0.8153729940114034	0.7090398511756795	0.25055681091059256	0.4584830402650869	-0.20792622935449434
sub-10	0	97	down	up	down_first	0	-0.49904045321077906	0.27329297786666	23.3	61.3	-0.51800223178518	0.14799805645653522	0.49904045321077906	0.27329297786666	0.3861667155387195	-0.22574747534411904	0.6660002882417152	0.772333431077439	0.49904045321077906	0.27329297786666	0.22574747534411904
sub-11	1	97	up	down	up_first	1	0.3236595121796008	-0.15762799116185003	119.1	96.4	0.1579750035156742	-0.2169793569900528	-0.3236595121796008	-0.15762799116185003	-0.24064375167072544	0.1660315210177508	-0.374954360505727	-0.4812875033414509	-0.15762799116185003	-0.3236595121796008	0.1660315210177508
sub-12	0	97	down	up	down_first	0	-1.2806609695595028	0.46546424718287616	51.2	131.4	-1.2448204323807932	0.39497164152586184	1.2806609695595028	0.46546424718287616	0.8730626083711894	-0.8151967223766267	1.639792073906655	1.7461252167423789	1.2806609695595028	0.46546424718287616	0.8151967223766267
sub-13	1	97	up	down	up_first	1	0.11840918766044288	1.258927226482754	70.2	129.7	-0.08393202851218524	0.7561888569510075	-0.11840918766044288	1.258927226482754	0.5702590194111555	1.377336414143197	0.8401208854631927	1.140518038822311	1.258927226482754	-0.11840918766044288	1.377336414143197
sub-14	1	97	up	down	up_first	1	0.3570837955427348	0.5828464550659599	72.3	88.1	0.1116159126941764	0.4437117150531254	-0.3570837955427348	0.5828464550659599	0.11288132976161255	0.9399302506086946	0.332095802358949	0.2257626595232251	0.5828464550659599	-0.3570837955427348	0.9399302506086946
sub-15	0	97	down	up	down_first	0	-0.60755334298841	1.2667153263765825	22.5	128.2	-0.7279247652121165	1.040010761317152	0.60755334298841	1.2667153263765825	0.9371343346824963	0.6591619833881724	1.7679355265292687	1.8742686693649926	0.60755334298841	1.2667153263765825	-0.6591619833881724
sub-16	0	97	down	up	down_first	0	0.09762903188429568	0.2967379087955617	98.4	100.6	0.05512634995678876	0.1479020840323309	-0.09762903188429568	0.2967379087955617	0.09955443845563303	0.3943669406798574	0.09277573407554215	0.19910887691126605	-0.09762903188429568	0.2967379087955617	-0.3943669406798574
sub-17	1	97	up	down	up_first	1	-0.3338317876633656	0.4523034722388325	96.5	138.6	-0.491396332628797	0.401072070109125	0.3338317876633656	0.4523034722388325	0.393067629951099	0.11847168457546692	0.8924684027379219	0.786135259902198	0.4523034722388325	0.3338317876633656	0.11847168457546692
sub-18	0	97	down	up	down_first	0	-0.06194526035996297	-0.09210797540057289	67.2	59.4	-0.10654831306074901	-0.24304417093708283	0.06194526035996297	-0.09210797540057289	-0.015081357520304959	-0.15405323576053587	-0.13649585787633384	-0.030162715040609918	0.06194526035996297	-0.09210797540057289	0.15405323576053587
sub-19	0	97	down	up	down_first	0	-0.5581700110788091	0.6518229076295785	115.1	130.9	-0.6202415274429888	0.48341824842967507	0.5581700110788091	0.6518229076295785	0.6049964593541939	0.09365289655076936	1.1036597758726638	1.2099929187083878	0.5581700110788091	0.6518229076295785	-0.09365289655076936
sub-20	1	97	up	down	up_first	1	-0.3599545431559834	1.1142562605071902	46.0	130.6	-0.5862854638130492	0.9942584826858483	0.3599545431559834	1.1142562605071902	0.7371054018315868	0.7543017173512068	1.5805439464988975	1.4742108036631736	1.1142562605071902	0.3599545431559834	0.7543017173512068
sub-21	0	97	down	up	down_first	0	0.09803401230622269	-0.12180259322691525	33.0	37.3	-0.3156290272541531	-0.2298083836637311	-0.09803401230622269	-0.12180259322691525	-0.10991830276656897	-0.02376858092069256	0.08582064359042199	-0.21983660553313794	-0.09803401230622269	-0.12180259322691525	0.02376858092069256
sub-22	1	97	up	down	up_first	1	-0.4958716206325797	0.2546116402714331	46.2	79.9	-0.6297491791199155	0.22706722461982123	0.4958716206325797	0.2546116402714331	0.3752416304520064	-0.2412599803611466	0.8568164037397367	0.7504832609040128	0.2546116402714331	0.4958716206325797	-0.2412599803611466
sub-23	1	97	up	down	up_first	1	-0.37111856040613656	0.9863335999017384	50.3	111.8	-0.593292512693137	0.8704927904504618	0.37111856040613656	0.9863335999017384	0.6787260801539374	0.6152150394956019	1.4637853031435988	1.3574521603078749	0.9863335999017384	0.37111856040613656	0.6152150394956019
sub-24	1	97	up	down	up_first	1	-0.18242713450657472	0.20232318623050355	103.5	112.5	-0.3512962462785963	0.13978721729420576	0.18242713450657472	0.20232318623050355	0.19237516036853913	0.01989605172392883	0.4910834635728021	0.38475032073707827	0.20232318623050355	0.18242713450657472	0.01989605172392883
sub-25	0	97	down	up	down_first	0	-0.498384309759068	0.4521228981178683	37.0	83.5	-0.5257255179471821	0.31844854709403014	0.498384309759068	0.4521228981178683	0.47525360393846816	-0.04626141164119968	0.8441740650412123	0.9505072078769363	0.498384309759068	0.4521228981178683	0.04626141164119968
sub-26	1	97	up	down	up_first	1	-0.26398565537320956	0.5117453193434846	82.1	130.5	-0.46111654675575087	0.4209475707966671	0.26398565537320956	0.5117453193434846	0.387865487358347	0.247759663970275	0.882064117552418	0.775730974716694	0.5117453193434846	0.26398565537320956	0.247759663970275
sub-27	1	97	up	down	up_first	1	-0.3793572158450589	0.22049993412178645	36.3	64.5	-0.5217298979033094	0.1844603948992599	0.3793572158450589	0.22049993412178645	0.2999285749834227	-0.15885728172327243	0.7061902928025693	0.5998571499668454	0.22049993412178645	0.3793572158450589	-0.15885728172327243
sub-28	0	97	down	up	down_first	0	0.04552677946460419	0.26837002043774555	66.1	72.1	0.01515432032474664	0.13166441846216412	-0.04552677946460419	0.26837002043774555	0.11142162048657067	0.31389679990234975	0.11651009813741747	0.22284324097314134	-0.04552677946460419	0.26837002043774555	-0.31389679990234975
sub-29	1	97	up	down	up_first	1	-0.34487092641694234	-0.2715952254352865	23.0	32.4	-0.44813568730482417	-0.2685268434874445	0.34487092641694234	-0.2715952254352865	0.036637850490827906	-0.6164661518522289	0.17960884381737968	0.07327570098165581	-0.2715952254352865	0.34487092641694234	-0.6164661518522289
sub-30	0	97	down	up	down_first	0	-0.17195284441088965	-0.11265394443150215	74.8	72.0	-0.18484665252155158	-0.23188089537788792	0.17195284441088965	-0.11265394443150215	0.029649449989693752	-0.28460678884239177	-0.04703424285633634	0.059298899979387504	0.17195284441088965	-0.11265394443150215	0.28460678884239177
sub-31	0	97	down	up	down_first	0	-0.7846113234136426	0.7232102931319704	46.3	112.6	-0.8387661498751365	0.5627223238347524	0.7846113234136426	0.7232102931319704	0.7539108082728065	-0.06140103028167221	1.401488473709889	1.507821616545613	0.7846113234136426	0.7232102931319704	0.06140103028167221
sub-32	0	97	down	up	down_first	0	-0.4218082682975849	0.14932675050068828	100.4	114.9	-0.4359521043510807	0.028849771611468594	0.4218082682975849	0.14932675050068828	0.28556750939913655	-0.2724815177968966	0.4648018759625493	0.5711350187982731	0.4218082682975849	0.14932675050068828	0.2724815177968966
sub-33	0	97	down	up	down_first	0	-0.11924956512267833	0.11727359402957842	120.7	129.9	-0.1609285152384215	-0.03073849892188866	0.11924956512267833	0.11727359402957842	0.11826157957612837	-0.0019759710930999097	0.13019001631653285	0.23652315915225675	0.11924956512267833	0.11727359402957842	0.0019759710930999097
