subject	Group	is_up_c
sub-01	0.2328811185176106	-0.5975574007146088
sub-02	-0.07617410701167653	-0.005709753300322898
sub-03	-0.18520937773748766	-0.20844246500099284
sub-04	0.06374215291682682	-0.11584275439326486
sub-05	-0.1385306571253922	0.3635690207392109
sub-06	-0.2609429718873647	-0.5423281299281892
sub-07	-0.069499910787859	0.09818558754611428
sub-08	-0.3747780085372062	-0.18711947444342933
sub-09	-0.059361186982444795	-0.2877769669563125
sub-10	0.20934860392079893	-0.08411545590499962
sub-11	-0.349332954816049	-0.16998732544132644
sub-12	0.24191984344913348	-0.36301498965934437
sub-13	0.22856238223396075	0.7575485733045728
sub-14	-0.02623052044518548	0.34231129386345827
sub-15	0.502938452703716	0.6077841625374634
sub-16	-0.12517120732421635	0.30292203511004867
sub-17	0.09485531907363612	-0.09090928986938417
sub-18	-0.17923782164172794	-0.011593164623782456
sub-19	0.09257080324689175	0.1976065381701319
sub-20	0.3014158493344773	0.3926997117673568
sub-21	-0.24654701475505575	0.028612183829307875
sub-22	0.012102019664867495	-0.2416612936476494
sub-23	0.28016678857370614	0.3065568463271502
sub-24	-0.10472825649622379	-0.1453825531523272
sub-25	0.09569088908574394	0.08746184430157362
sub-26	0.044089586621073186	0.01936069325637095
sub-27	-0.09131483886334313	-0.22088853070249911
sub-28	-0.08862337904057181	0.2706985187970808
sub-29	-0.20955793667560282	-0.553677481338607
sub-30	-0.1610876810537023	-0.09705900665626573
sub-31	0.45331130826051014	0.10704092626235029
sub-32	-0.050372010951343575	-0.08275187290432227
sub-33	-0.056895275470507586	0.12345997282543186
