model_name	outcome	coef	est	se	stat	p	ci_lo	ci_hi	n_obs	cluster	q_bh_time_terms
H1_within_run_passive_rating_z	rating_z_subject	temperature_z_subject	0.7070728373147819	0.023714360304583813	29.816230681883916	6.417724327084422e-25	0.6605926911177976	0.7535529835117661	2541	subject	
H1_within_run_passive_rating_z	rating_z_subject	trial_in_run_c	-0.05333066957614644	0.005474985315598527	-9.740787692015264	4.2935410666958625e-11	-0.06406164079471956	-0.04259969835757332	2541	subject	3.1065427001121466e-10
H2_within_run_all_rating_z	rating_z_subject	temperature_z_subject	0.6977696601309266	0.020293069487273933	34.384628730932384	7.666463614069976e-27	0.6579952439358696	0.7375440763259835	3201	subject	
H2_within_run_all_rating_z	rating_z_subject	is_up	0.3401938620549405	0.07692092905336177	4.42264369712618	0.00010542224375077906	0.18942884111035144	0.4909588829995296	3201	subject	
H2_within_run_all_rating_z	rating_z_subject	is_down	-0.28853976315334806	0.07033609759204544	-4.10229985784682	0.000262513634836311	-0.4263985144337571	-0.150681011872939	3201	subject	
H2_within_run_all_rating_z	rating_z_subject	trial_in_run_c	-0.05164843971734577	0.005434763603902627	-9.503346140070887	7.766356750280367e-11	-0.06230057638099492	-0.04099630305369662	3201	subject	3.1065427001121466e-10
H3_within_run_reg_success_z	reg_success_z	trial_in_run_c	-0.03492222664991031	0.016079833375015274	-2.1718027690617867	0.03739187885247106	-0.06643870006494024	-0.0034057532348803696	660	subject	0.0598270061639537
H3_within_run_reg_success_z	reg_success_z	is_up	0.04232003789170204	0.08950006912800954	0.4728492201628675	0.6395301813009723	-0.13310009759919664	0.21774017338260074	660	subject	
H3_within_run_reg_success_z	reg_success_z	is_up:trial_in_run_c	0.01903513884386966	0.023241545802131756	0.819013460030861	0.4188367529140178	-0.026518290928308576	0.06458856861604789	660	subject	0.558449003885357
H3_within_run_reg_success_z	reg_success_z	temperature_z_subject	-0.025067174281353306	0.02920752787750797	-0.8582436139916158	0.3971409950041994	-0.08231392892126893	0.03217958035856231	660	subject	
H4_across_run_passive_rating_z	rating_z_subject	temperature_z_subject	0.7070577707552825	0.02375331659858083	29.766696697737213	6.7562801040260375e-25	0.6605012702220641	0.753614271288501	2541	subject	
H4_across_run_passive_rating_z	rating_z_subject	run_centered_subject	-0.0265832857089309	0.011688916033667219	-2.274230188014346	0.02979711592698648	-0.04949356113491865	-0.0036730102829431524	2541	subject	0.05959423185397296
H4_across_run_passive_rating_z	rating_z_subject	I(run_centered_subject ** 2)	-0.00098376053770455	0.00526692555073688	-0.1867807942656252	0.853011666257961	-0.011306934617148835	0.009339413541739736	2541	subject	0.8771953965644979
H5_across_run_all_rating_z_sensitivity	rating_z_subject	temperature_z_subject	0.6977574967510418	0.020334950254312274	34.313213852248	8.179912649628475e-27	0.6579009942525897	0.7376139992494939	3201	subject	
H5_across_run_all_rating_z_sensitivity	rating_z_subject	is_up	0.3350887035327087	0.0853766726013686	3.924827395151228	0.00043239483800828804	0.16775042523402625	0.5024269818313911	3201	subject	
H5_across_run_all_rating_z_sensitivity	rating_z_subject	is_down	-0.29362851991485744	0.08021275201106731	-3.6606214417670673	0.0008991415783726487	-0.45084551385654936	-0.13641152597316553	3201	subject	
H5_across_run_all_rating_z_sensitivity	rating_z_subject	run_centered_subject	-0.02943111795204271	0.011987594413336685	-2.455131274653353	0.019701689026652196	-0.05292680300218261	-0.00593543290190281	3201	subject	0.05253783740440585
H5_across_run_all_rating_z_sensitivity	rating_z_subject	I(run_centered_subject ** 2)	-0.0008177018582333794	0.005249528978868439	-0.15576671002769452	0.8771953965644979	-0.01110677865681552	0.009471374940348762	3201	subject	0.8771953965644979
