contrast	estimate	se	z	p	model	q_fdr
down_state_dependence_slope	-0.015398703322871654	0.03115472764810641	-0.4942653807409416	0.6211187710013881	cluster_OLS_subject_FE	0.6211187710013881
up_state_dependence_slope	-0.21497746782894697	0.08040571176402954	-2.6736591606806686	0.007502866378890038	cluster_OLS_subject_FE	0.015005732757780076
up_minus_down_state_dependence	-0.1995787645060753	0.06759579406074097	-2.952532288129283	0.003151791065935355	cluster_OLS_subject_FE	0.01260716426374142
up_minus_down_mean_success	0.07141083262264605	0.08212992865093331	0.8694861154227309	0.384581299179255	cluster_OLS_subject_FE	0.51277506557234
