subject	Group	is_up_c	expected_pain_c
sub-01	0.2675310598251996	-0.5289920787949407	-0.08037260910949479
sub-02	-0.08263559046748369	-0.022487044957420137	-0.012028854930246233
sub-03	-0.20332303543789357	-0.21194326223740345	0.026519074429335685
sub-04	0.021092715192016925	-0.08950225136916368	0.04964682636517926
sub-05	-0.12092867779690225	0.35591102330999946	0.033810187920905635
sub-06	-0.2245567031690094	-0.5206130627015845	-0.01802295880197523
sub-07	-0.04522670289409698	0.10215562024884094	-0.003930811673177681
sub-08	-0.38691890863556877	-0.19987915062535472	0.04037776742632299
sub-09	-0.06209971952320936	-0.27811837569998893	0.0494226827383473
sub-10	0.1758587628302831	-0.08394352334600229	0.009220009925075635
sub-11	-0.3350658596327295	-0.15198417981475815	0.05336063372649971
sub-12	0.24888125622293095	-0.3302263039448213	-0.08629546952552203
sub-13	0.2521766655260449	0.7003538329033984	-0.08786881820728318
sub-14	-0.016181245284198332	0.3525002467183928	0.03271635899186836
sub-15	0.4745091308126028	0.5906116732479182	-0.039604476364845875
sub-16	-0.1489977242327181	0.2887586826605425	0.04434831446345221
sub-17	0.13227183735271222	-0.09382677106719907	-0.060839485006289204
sub-18	-0.1996809030066037	-0.014787419621118576	0.042050140240105754
sub-19	0.05573760113961103	0.17592066628568298	0.04450954648145449
sub-20	0.32466494853060285	0.39560758947291647	-0.05912439370158563
sub-21	-0.26964835125722886	0.006745162101574952	0.09056710813296664
sub-22	0.0446583107916687	-0.23260869055237082	-0.04680635910046754
sub-23	0.3117050972682226	0.30358196271315036	-0.08367739795716289
sub-24	-0.0959310795156814	-0.13346661643213198	0.03611619458870479
sub-25	0.06929245581165488	0.07782090340276387	0.013127089764004366
sub-26	0.07293629881482261	0.022666108538759902	-0.037052608756688844
sub-27	-0.07757259994677097	-0.21150819307547672	0.018903525092374075
sub-28	-0.10102614431310197	0.2529429358641089	0.011394169127868684
sub-29	-0.19323392930993458	-0.5354395038404942	0.021129405398787802
sub-30	-0.18539533186381188	-0.09889059598733749	0.04307219110764362
sub-31	0.41433133079493356	0.10120860190229015	-0.009616868806114238
sub-32	-0.04971649045589745	-0.0949871496393395	-0.033322680415621135
sub-33	-0.06750847417046138	0.10641916433657046	-0.0017274335644231996
