ROI	Nearest passive: estimate / p / q	Adjacent mean: estimate / p / q	Following passive: estimate / p / q
Left S2/operculum	−314.7 / 0.009 / 0.224	−255.8 / 0.013 / 0.268	−184.1 / 0.114 / 0.829
Right posterior insula	−284.2 / 0.021 / 0.224	−238.5 / 0.017 / 0.268	−185.7 / 0.130 / 0.829
