analysis_set	effect	family	roi	mean	stat	p	q_family	q_all_roi_within_analysis_set
fd_bad_run_exclude	down_minus_passive_FE	targeted_sensory	sensory_S2_operculum_R	-0.0400994635342309	-4.539057439852419	9.114226871418956e-05		0.001818334490152
fd_bad_run_exclude	down_minus_passive_FE	targeted_regulatory_value	reg_anterior_insula_L	-0.0321996427917232	-4.459204514343107	0.0001136459056345		0.001818334490152
fd_bad_run_exclude	down_minus_passive_FE	targeted_sensory	sensory_insula_all_L	-0.0253499435280294	-3.979398882593952	0.0004230702984629		0.0045127498502709334
fd_bad_run_exclude	down_minus_passive_FE	targeted_sensory	sensory_posterior_insula_L	-0.0300934461372283	-3.8237532412597512	0.0006442054648437		0.0051536437187496
fd_bad_run_exclude	down_minus_passive_FE	targeted_sensory	sensory_S2_operculum_L	-0.0261623053423439	-3.113956248952399	0.0041298780463653		0.026431219496737917
fd_bad_run_exclude	down_minus_passive_FE	targeted_regulatory_value	reg_dlPFC_IFJ_L	0.0192687776482974	2.6800588556267613	0.0120082553717499		0.0640440286493328
fd_bad_run_exclude	down_minus_passive_FE	targeted_sensory	sensory_posterior_insula_R	-0.0278270168753806	-2.3253106214714863	0.0272562860829992		0.12460016495085348
fd_bad_run_exclude	down_minus_passive_FE	targeted_sensory	sensory_insula_all_R	-0.0242567438011368	-2.1774963075127967	0.037723590424974		0.150894361699896
fd_bad_run_exclude	down_minus_passive_FE	secondary_subcortical	reg_putamen_R	0.0146273009246215	1.891294888878732	0.0686117248129532		0.24395279933494474
fd_bad_run_exclude	down_minus_passive_FE	secondary_subcortical	reg_putamen_L	0.0214187992930722	1.8005360980544425	0.0821860417341831		0.2629953335493859
fd_bad_run_exclude	down_minus_passive_FE	targeted_sensory	sensory_thalamus_R	-0.0092021642330413	-1.5620017866602824	0.1291355425010934		0.37566703273045354
fd_bad_run_exclude	down_minus_passive_FE	targeted_regulatory_value	reg_anterior_insula_R	-0.0193910362489987	-1.2007774820823398	0.2395539689875772		0.6388105839668725
fd_bad_run_exclude	down_minus_passive_FE	exploratory_context	expl_hypothalamus	-0.013143782922998	-1.070006240900407	0.2934418472320277		0.7147506313752432
fd_bad_run_exclude	down_minus_passive_FE	targeted_regulatory_value	reg_vmPFC_mOFC	-0.0094060747108111	-1.027448421130705	0.3127034012266689		0.7147506313752432
fd_bad_run_exclude	down_minus_passive_FE	targeted_regulatory_value	reg_mOFC	-0.0076004170347005	-0.905712773487696	0.3725517739608561		0.7366703218196039
fd_bad_run_exclude	down_minus_passive_FE	targeted_sensory	sensory_S1_L	0.0075186796331157	0.8728848091826596	0.3898963590720246		0.7366703218196039
fd_bad_run_exclude	down_minus_passive_FE	exploratory_context	expl_amygdala_L	0.0051359200151637	0.870165189668535	0.3913561084666646		0.7366703218196039
fd_bad_run_exclude	down_minus_passive_FE	targeted_regulatory_value	reg_vmPFC	-0.0115562996827065	-0.8226593013324945	0.4174151800209917		0.7420714311484297
fd_bad_run_exclude	down_minus_passive_FE	secondary_subcortical	reg_caudate_L	0.0046115192798121	0.6790028884733637	0.5025195489366117		0.8052099768052617
fd_bad_run_exclude	down_minus_passive_FE	exploratory_context	expl_hippocampus_R	0.0042981169438765	0.677823488527487	0.5032562355032886		0.8052099768052617
fd_bad_run_exclude	down_minus_passive_FE	targeted_regulatory_value	reg_pgACC_rACC	-0.0036809699726291	-0.5914806281747227	0.5587813348936241		0.8514763198379034
fd_bad_run_exclude	down_minus_passive_FE	targeted_sensory	sensory_S1_R	0.0044646983073713	0.5230551076244053	0.6049097667385728		0.8662088226226684
fd_bad_run_exclude	down_minus_passive_FE	exploratory_context	expl_hippocampus_L	0.0025671670225468	0.4975004059725066	0.6225875912600429		0.8662088226226684
fd_bad_run_exclude	down_minus_passive_FE	targeted_regulatory_value	reg_NAc_L	-0.0048784537396083	-0.4180077973750823	0.6790205246345719		0.9053606995127624
fd_bad_run_exclude	down_minus_passive_FE	targeted_sensory	sensory_dACC_MCC	-0.0021403096344632	-0.3316983976103645	0.7425023335161056		0.9119703242355615
fd_bad_run_exclude	down_minus_passive_FE	targeted_regulatory_value	reg_SMA_preSMA	0.0021536911682536	0.3020681091247986	0.764755941164864		0.9119703242355615
fd_bad_run_exclude	down_minus_passive_FE	targeted_regulatory_value	reg_dlPFC_IFJ_R	-0.0028819794766604	-0.2484380118958752	0.8055464510515772		0.9119703242355615
fd_bad_run_exclude	down_minus_passive_FE	targeted_regulatory_value	reg_PAG_sphere	0.0045109484063383	0.2377870955201363	0.8137182678506003		0.9119703242355615
fd_bad_run_exclude	down_minus_passive_FE	targeted_regulatory_value	reg_NAc_R	-0.0024728275680293	-0.1854621810650648	0.854157625320682		0.9119703242355615
fd_bad_run_exclude	down_minus_passive_FE	targeted_sensory	sensory_thalamus_L	0.0011678347053627	0.1844140845022711	0.8549721789708389		0.9119703242355615
fd_bad_run_exclude	down_minus_passive_FE	exploratory_context	expl_amygdala_R	0.0009083314585344	0.1098611618054509	0.913276221021038		0.9427367442797812
fd_bad_run_exclude	down_minus_passive_FE	secondary_subcortical	reg_caudate_R	0.0001241927035152	0.0164742481013734	0.9869688673715054		0.9869688673715054
high_motion_subject_exclude	down_minus_passive_FE	targeted_regulatory_value	reg_anterior_insula_L	-0.0323120512319012	-3.928231997827045	0.0005955897190419		0.008894826739754667
high_motion_subject_exclude	down_minus_passive_FE	targeted_sensory	sensory_S2_operculum_R	-0.0361392096293946	-3.893173358254851	0.0006515246779238		0.008894826739754667
