priority	family	best_model_id	best_outcome	best_predictor_target	best_predictor_quantity	best_std_beta	best_p_hc3	best_q_hc3	best_partial_r	best_partial_p	best_perm_p	boot_ci_lo	boot_ci_hi	loo_same_sign_pct	n_complete
primary	primary_control_value_EC_behavior	primary_ec_dlpfc_vmPFC_ec_up_to_reg_success_z_up	reg_success_z_up	dlPFC_IFJ_L_to_vmPFC_control_value	ec_up	-0.48221727938393744	0.0013535142498729614	0.002707028499745923	-0.5829114311336702	0.00037113555993777917	0.00029997000299970003	-0.6935887446469133	-0.2192209316351164	100.0	33
secondary	secondary_control_activity_behavior	secondary_roi_control_dlPFC_IFJ_L_regulation_mean_minus_passive_to_reg_success_z_up	reg_success_z_up	control_dlPFC_IFJ_L	regulation_mean_minus_passive	0.1609756184924369	0.3818775691517491	0.8435226385724532	0.20007814952454817	0.2642601371565893	0.2753724627537246	-0.14407544440904999	0.4704599512846488	100.0	33
secondary	secondary_sensory_FC_behavior	secondary_fc_sensory_thalamus_insula_down_to_reg_success_z_down	reg_success_z_down	sensory_thalamus_S1_S2_insula	down_minus_passive	-0.050643273159917436	0.8478822533846875	0.8478822533846875	-0.05971918529825538	0.7413035671016395	0.7639236076392361	-0.43657962680880036	0.34001773434660426	90.9090909090909	33
