subject	roi	roi_safe	beta_down	beta_passive	beta_up	up_minus_down	up_minus_passive	down_minus_passive	regulation_mean_minus_passive
sub-01	expl_amygdala_L	expl_amygdala_L	-582.3460794836199	0.5226716019427037	-312.9335586164628	269.41252086715707	-313.4562302184055	-582.8687510855625	-448.162490651984
sub-01	expl_amygdala_R	expl_amygdala_R	-453.7396729599859	-23.23096527218012	563.111124708758	1016.8507976687439	586.3420899809381	-430.5087076878058	77.91669114656617
sub-01	expl_hippocampus_L	expl_hippocampus_L	411.1853424587254	-155.20216558286165	71.91778272931	-339.26755972941544	227.11994831217166	566.3875080415871	396.75372817687935
sub-01	expl_hippocampus_R	expl_hippocampus_R	453.0754619325684	-144.1967155533505	-110.35401059582868	-563.429472528397	33.8427049575218	597.2721774859189	315.5574412217203
sub-01	expl_hypothalamus	expl_hypothalamus	599.7895396992027	547.0395577753046	68.94665969446729	-530.8428800047354	-478.09289808083736	52.749981923898076	-212.67145807846964
sub-01	reg_NAc_L	reg_NAc_L	116.54765049494344	180.88696474978096	-85.43943577083154	-201.98708626577496	-266.3264005206125	-64.33931425483752	-165.332857387725
sub-01	reg_NAc_R	reg_NAc_R	-24.41780601577066	91.53448736260344	-671.7654134308386	-647.347607415068	-763.299900793442	-115.9522933783741	-439.6260970859081
sub-01	reg_PAG_sphere	reg_PAG_sphere	-409.36141406402595	-87.91951552864326	21.69802548144971	431.05943954547564	109.61754101009296	-321.4418985353827	-105.91217876264487
sub-01	reg_SMA_preSMA	reg_SMA_preSMA	214.2953605467998	-83.22366975080769	405.7067573833761	191.4113968365763	488.9304271341838	297.5190302976075	393.22472871589565
sub-01	reg_anterior_insula_L	reg_anterior_insula_L	27.80705258744008	399.5537877256168	275.82124005913806	248.014187471698	-123.73254766647875	-371.74673513817675	-247.73964140232775
sub-01	reg_anterior_insula_R	reg_anterior_insula_R	559.6248459805249	930.2859651147467	1215.474535632788	655.8496896522631	285.1885705180414	-370.66111913422174	-42.736274308090174
sub-01	reg_caudate_L	reg_caudate_L	-376.01655157815696	38.59143202714496	-245.35384976152812	130.66270181662884	-283.94528178867307	-414.6079836053019	-349.27663269698746
sub-01	reg_caudate_R	reg_caudate_R	-95.46931720876228	64.69567425428012	-257.120200196302	-161.65088298753972	-321.8158744505821	-160.16499146304238	-240.99043295681224
