subject	pathway	source_roi	target_roi	source_safe	target_safe	quantity	ec_beta	target_pathway	target_family
sub-06	NAc_vmPFC	reg_NAc_L	reg_mOFC	reg_NAc_L	reg_mOFC	ec_passive	0.2540181145110758	NAc_to_vmPFC_value	value_regulation
sub-06	NAc_vmPFC	reg_NAc_L	reg_vmPFC	reg_NAc_L	reg_vmPFC	ec_passive	0.1569095246923899	NAc_to_vmPFC_value	value_regulation
sub-06	NAc_vmPFC	reg_NAc_L	reg_vmPFC_mOFC	reg_NAc_L	reg_vmPFC_mOFC	ec_passive	0.2458819257829425	NAc_to_vmPFC_value	value_regulation
sub-06	NAc_vmPFC	reg_NAc_R	reg_mOFC	reg_NAc_R	reg_mOFC	ec_passive	0.0573822143287493	NAc_to_vmPFC_value	value_regulation
sub-06	NAc_vmPFC	reg_NAc_R	reg_vmPFC	reg_NAc_R	reg_vmPFC	ec_passive	0.0709649725104211	NAc_to_vmPFC_value	value_regulation
sub-06	NAc_vmPFC	reg_NAc_R	reg_vmPFC_mOFC	reg_NAc_R	reg_vmPFC_mOFC	ec_passive	0.0827301095542122	NAc_to_vmPFC_value	value_regulation
sub-07	NAc_vmPFC	reg_NAc_L	reg_mOFC	reg_NAc_L	reg_mOFC	ec_passive	-0.1657500611969551	NAc_to_vmPFC_value	value_regulation
sub-07	NAc_vmPFC	reg_NAc_L	reg_vmPFC	reg_NAc_L	reg_vmPFC	ec_passive	-0.0828365413360055	NAc_to_vmPFC_value	value_regulation
sub-07	NAc_vmPFC	reg_NAc_L	reg_vmPFC_mOFC	reg_NAc_L	reg_vmPFC_mOFC	ec_passive	-0.1686362143861539	NAc_to_vmPFC_value	value_regulation
sub-07	NAc_vmPFC	reg_NAc_R	reg_mOFC	reg_NAc_R	reg_mOFC	ec_passive	-0.0260714808768561	NAc_to_vmPFC_value	value_regulation
sub-07	NAc_vmPFC	reg_NAc_R	reg_vmPFC	reg_NAc_R	reg_vmPFC	ec_passive	-0.2415709009651777	NAc_to_vmPFC_value	value_regulation
sub-07	NAc_vmPFC	reg_NAc_R	reg_vmPFC_mOFC	reg_NAc_R	reg_vmPFC_mOFC	ec_passive	-0.202090603785823	NAc_to_vmPFC_value	value_regulation
sub-08	NAc_vmPFC	reg_NAc_L	reg_mOFC	reg_NAc_L	reg_mOFC	ec_passive	0.256595493649707	NAc_to_vmPFC_value	value_regulation
sub-08	NAc_vmPFC	reg_NAc_L	reg_vmPFC	reg_NAc_L	reg_vmPFC	ec_passive	0.0824316808731249	NAc_to_vmPFC_value	value_regulation
sub-08	NAc_vmPFC	reg_NAc_L	reg_vmPFC_mOFC	reg_NAc_L	reg_vmPFC_mOFC	ec_passive	0.1842583850090415	NAc_to_vmPFC_value	value_regulation
sub-08	NAc_vmPFC	reg_NAc_R	reg_mOFC	reg_NAc_R	reg_mOFC	ec_passive	0.0153809214003213	NAc_to_vmPFC_value	value_regulation
sub-08	NAc_vmPFC	reg_NAc_R	reg_vmPFC	reg_NAc_R	reg_vmPFC	ec_passive	0.1029044161710839	NAc_to_vmPFC_value	value_regulation
sub-08	NAc_vmPFC	reg_NAc_R	reg_vmPFC_mOFC	reg_NAc_R	reg_vmPFC_mOFC	ec_passive	0.0773254253526021	NAc_to_vmPFC_value	value_regulation
sub-09	NAc_vmPFC	reg_NAc_L	reg_mOFC	reg_NAc_L	reg_mOFC	ec_passive	-0.0185367831461685	NAc_to_vmPFC_value	value_regulation
sub-09	NAc_vmPFC	reg_NAc_L	reg_vmPFC	reg_NAc_L	reg_vmPFC	ec_passive	0.0970558626098904	NAc_to_vmPFC_value	value_regulation
sub-09	NAc_vmPFC	reg_NAc_L	reg_vmPFC_mOFC	reg_NAc_L	reg_vmPFC_mOFC	ec_passive	0.0036541226595238	NAc_to_vmPFC_value	value_regulation
sub-09	NAc_vmPFC	reg_NAc_R	reg_mOFC	reg_NAc_R	reg_mOFC	ec_passive	0.3642434018209437	NAc_to_vmPFC_value	value_regulation
sub-09	NAc_vmPFC	reg_NAc_R	reg_vmPFC	reg_NAc_R	reg_vmPFC	ec_passive	0.2376499663420662	NAc_to_vmPFC_value	value_regulation
sub-09	NAc_vmPFC	reg_NAc_R	reg_vmPFC_mOFC	reg_NAc_R	reg_vmPFC_mOFC	ec_passive	0.3270636508557774	NAc_to_vmPFC_value	value_regulation
sub-10	NAc_vmPFC	reg_NAc_L	reg_mOFC	reg_NAc_L	reg_mOFC	ec_passive	0.2684566298385764	NAc_to_vmPFC_value	value_regulation
sub-10	NAc_vmPFC	reg_NAc_L	reg_vmPFC	reg_NAc_L	reg_vmPFC	ec_passive	-0.1830033292680961	NAc_to_vmPFC_value	value_regulation
sub-10	NAc_vmPFC	reg_NAc_L	reg_vmPFC_mOFC	reg_NAc_L	reg_vmPFC_mOFC	ec_passive	-0.051549250981273	NAc_to_vmPFC_value	value_regulation
sub-10	NAc_vmPFC	reg_NAc_R	reg_mOFC	reg_NAc_R	reg_mOFC	ec_passive	0.2628767824684933	NAc_to_vmPFC_value	value_regulation
sub-10	NAc_vmPFC	reg_NAc_R	reg_vmPFC	reg_NAc_R	reg_vmPFC	ec_passive	0.0662547112763112	NAc_to_vmPFC_value	value_regulation
sub-10	NAc_vmPFC	reg_NAc_R	reg_vmPFC_mOFC	reg_NAc_R	reg_vmPFC_mOFC	ec_passive	0.1680989421752423	NAc_to_vmPFC_value	value_regulation
sub-11	NAc_vmPFC	reg_NAc_L	reg_mOFC	reg_NAc_L	reg_mOFC	ec_passive	0.0370222434660526	NAc_to_vmPFC_value	value_regulation
sub-11	NAc_vmPFC	reg_NAc_L	reg_vmPFC	reg_NAc_L	reg_vmPFC	ec_passive	0.124463967768666	NAc_to_vmPFC_value	value_regulation
sub-11	NAc_vmPFC	reg_NAc_L	reg_vmPFC_mOFC	reg_NAc_L	reg_vmPFC_mOFC	ec_passive	0.1187715551655854	NAc_to_vmPFC_value	value_regulation
sub-11	NAc_vmPFC	reg_NAc_R	reg_mOFC	reg_NAc_R	reg_mOFC	ec_passive	-0.0194274347683683	NAc_to_vmPFC_value	value_regulation
sub-11	NAc_vmPFC	reg_NAc_R	reg_vmPFC	reg_NAc_R	reg_vmPFC	ec_passive	-0.081579704124902	NAc_to_vmPFC_value	value_regulation
sub-11	NAc_vmPFC	reg_NAc_R	reg_vmPFC_mOFC	reg_NAc_R	reg_vmPFC_mOFC	ec_passive	-0.0242246242859492	NAc_to_vmPFC_value	value_regulation
sub-12	NAc_vmPFC	reg_NAc_L	reg_mOFC	reg_NAc_L	reg_mOFC	ec_passive	-0.1075899790582191	NAc_to_vmPFC_value	value_regulation
sub-12	NAc_vmPFC	reg_NAc_L	reg_vmPFC	reg_NAc_L	reg_vmPFC	ec_passive	-0.0421530776767342	NAc_to_vmPFC_value	value_regulation
sub-12	NAc_vmPFC	reg_NAc_L	reg_vmPFC_mOFC	reg_NAc_L	reg_vmPFC_mOFC	ec_passive	-0.0813970891865128	NAc_to_vmPFC_value	value_regulation
sub-12	NAc_vmPFC	reg_NAc_R	reg_mOFC	reg_NAc_R	reg_mOFC	ec_passive	0.1628344812357331	NAc_to_vmPFC_value	value_regulation
sub-12	NAc_vmPFC	reg_NAc_R	reg_vmPFC	reg_NAc_R	reg_vmPFC	ec_passive	0.0828176005885872	NAc_to_vmPFC_value	value_regulation
sub-12	NAc_vmPFC	reg_NAc_R	reg_vmPFC_mOFC	reg_NAc_R	reg_vmPFC_mOFC	ec_passive	0.1369255591597912	NAc_to_vmPFC_value	value_regulation
sub-13	NAc_vmPFC	reg_NAc_L	reg_mOFC	reg_NAc_L	reg_mOFC	ec_passive	0.0484320602548389	NAc_to_vmPFC_value	value_regulation
sub-13	NAc_vmPFC	reg_NAc_L	reg_vmPFC	reg_NAc_L	reg_vmPFC	ec_passive	-0.0784552442430698	NAc_to_vmPFC_value	value_regulation
sub-13	NAc_vmPFC	reg_NAc_L	reg_vmPFC_mOFC	reg_NAc_L	reg_vmPFC_mOFC	ec_passive	-0.0232998942270841	NAc_to_vmPFC_value	value_regulation
sub-13	NAc_vmPFC	reg_NAc_R	reg_mOFC	reg_NAc_R	reg_mOFC	ec_passive	0.0747665579073741	NAc_to_vmPFC_value	value_regulation
sub-13	NAc_vmPFC	reg_NAc_R	reg_vmPFC	reg_NAc_R	reg_vmPFC	ec_passive	0.0606384113399333	NAc_to_vmPFC_value	value_regulation
sub-13	NAc_vmPFC	reg_NAc_R	reg_vmPFC_mOFC	reg_NAc_R	reg_vmPFC_mOFC	ec_passive	0.0687157301260561	NAc_to_vmPFC_value	value_regulation
sub-14	NAc_vmPFC	reg_NAc_L	reg_mOFC	reg_NAc_L	reg_mOFC	ec_passive	0.0398716350827666	NAc_to_vmPFC_value	value_regulation
sub-14	NAc_vmPFC	reg_NAc_L	reg_vmPFC	reg_NAc_L	reg_vmPFC	ec_passive	0.030389767660278	NAc_to_vmPFC_value	value_regulation
sub-14	NAc_vmPFC	reg_NAc_L	reg_vmPFC_mOFC	reg_NAc_L	reg_vmPFC_mOFC	ec_passive	0.0575247815592408	NAc_to_vmPFC_value	value_regulation
sub-14	NAc_vmPFC	reg_NAc_R	reg_mOFC	reg_NAc_R	reg_mOFC	ec_passive	-0.2065299975951564	NAc_to_vmPFC_value	value_regulation
sub-14	NAc_vmPFC	reg_NAc_R	reg_vmPFC	reg_NAc_R	reg_vmPFC	ec_passive	-0.1974806738782045	NAc_to_vmPFC_value	value_regulation
sub-14	NAc_vmPFC	reg_NAc_R	reg_vmPFC_mOFC	reg_NAc_R	reg_vmPFC_mOFC	ec_passive	-0.2364226574265782	NAc_to_vmPFC_value	value_regulation
sub-15	NAc_vmPFC	reg_NAc_L	reg_mOFC	reg_NAc_L	reg_mOFC	ec_passive	0.0160044720302067	NAc_to_vmPFC_value	value_regulation
sub-15	NAc_vmPFC	reg_NAc_L	reg_vmPFC	reg_NAc_L	reg_vmPFC	ec_passive	0.0734943098998012	NAc_to_vmPFC_value	value_regulation
sub-15	NAc_vmPFC	reg_NAc_L	reg_vmPFC_mOFC	reg_NAc_L	reg_vmPFC_mOFC	ec_passive	0.0617316765921446	NAc_to_vmPFC_value	value_regulation
sub-15	NAc_vmPFC	reg_NAc_R	reg_mOFC	reg_NAc_R	reg_mOFC	ec_passive	-0.1749737598563623	NAc_to_vmPFC_value	value_regulation
sub-15	NAc_vmPFC	reg_NAc_R	reg_vmPFC	reg_NAc_R	reg_vmPFC	ec_passive	0.0294414652732672	NAc_to_vmPFC_value	value_regulation
sub-15	NAc_vmPFC	reg_NAc_R	reg_vmPFC_mOFC	reg_NAc_R	reg_vmPFC_mOFC	ec_passive	-0.0885950764749982	NAc_to_vmPFC_value	value_regulation
sub-16	NAc_vmPFC	reg_NAc_L	reg_mOFC	reg_NAc_L	reg_mOFC	ec_passive	-0.0045662122181782	NAc_to_vmPFC_value	value_regulation
sub-16	NAc_vmPFC	reg_NAc_L	reg_vmPFC	reg_NAc_L	reg_vmPFC	ec_passive	0.0502880322489271	NAc_to_vmPFC_value	value_regulation
sub-16	NAc_vmPFC	reg_NAc_L	reg_vmPFC_mOFC	reg_NAc_L	reg_vmPFC_mOFC	ec_passive	0.0422701874907099	NAc_to_vmPFC_value	value_regulation
sub-16	NAc_vmPFC	reg_NAc_R	reg_mOFC	reg_NAc_R	reg_mOFC	ec_passive	-0.0805121598507875	NAc_to_vmPFC_value	value_regulation
sub-16	NAc_vmPFC	reg_NAc_R	reg_vmPFC	reg_NAc_R	reg_vmPFC	ec_passive	0.1122554923704361	NAc_to_vmPFC_value	value_regulation
sub-16	NAc_vmPFC	reg_NAc_R	reg_vmPFC_mOFC	reg_NAc_R	reg_vmPFC_mOFC	ec_passive	0.0372577103590437	NAc_to_vmPFC_value	value_regulation
sub-17	NAc_vmPFC	reg_NAc_L	reg_mOFC	reg_NAc_L	reg_mOFC	ec_passive	0.2249233067474778	NAc_to_vmPFC_value	value_regulation
sub-17	NAc_vmPFC	reg_NAc_L	reg_vmPFC	reg_NAc_L	reg_vmPFC	ec_passive	-0.1315099014946747	NAc_to_vmPFC_value	value_regulation
