subject	modality	target	family	quantity	score
sub-07	ROI_activity	value_NAc	value	beta_passive	208.1706758720747
sub-07	ROI_activity	value_vmPFC_mOFC	value	beta_passive	236.72802213315276
sub-08	ROI_activity	control_SMA_preSMA	control	beta_passive	-188.57569583630533
sub-08	ROI_activity	control_dlPFC_IFJ_L	control	beta_passive	-50.995337114926805
sub-08	ROI_activity	control_dlPFC_IFJ_R	control	beta_passive	28.655415492592144
sub-08	ROI_activity	descending_PAG	descending	beta_passive	807.9808912479835
sub-08	ROI_activity	descending_pgACC_rACC	descending	beta_passive	-100.50643225737592
sub-08	ROI_activity	salience_aINS	salience	beta_passive	585.4926551081469
sub-08	ROI_activity	salience_dACC_MCC	salience	beta_passive	-68.82084259425561
sub-08	ROI_activity	sensory_S1_S2_thalamus	sensory	beta_passive	-277.3360792120812
sub-08	ROI_activity	value_NAc	value	beta_passive	56.66293156195044
sub-08	ROI_activity	value_vmPFC_mOFC	value	beta_passive	-12.626846922719196
sub-09	ROI_activity	control_SMA_preSMA	control	beta_passive	-275.5823058367588
sub-09	ROI_activity	control_dlPFC_IFJ_L	control	beta_passive	-396.6530711988341
sub-09	ROI_activity	control_dlPFC_IFJ_R	control	beta_passive	-273.46130037286486
sub-09	ROI_activity	descending_PAG	descending	beta_passive	-19.150358738204627
sub-09	ROI_activity	descending_pgACC_rACC	descending	beta_passive	180.07135140016567
sub-09	ROI_activity	salience_aINS	salience	beta_passive	667.7794233490798
sub-09	ROI_activity	salience_dACC_MCC	salience	beta_passive	141.4814052767585
sub-09	ROI_activity	sensory_S1_S2_thalamus	sensory	beta_passive	52.176306952984085
sub-09	ROI_activity	value_NAc	value	beta_passive	637.3949048217436
sub-09	ROI_activity	value_vmPFC_mOFC	value	beta_passive	297.05508354568207
sub-10	ROI_activity	control_SMA_preSMA	control	beta_passive	92.48306205061208
sub-10	ROI_activity	control_dlPFC_IFJ_L	control	beta_passive	-19.92666635146021
sub-10	ROI_activity	control_dlPFC_IFJ_R	control	beta_passive	-238.9072095476868
sub-10	ROI_activity	descending_PAG	descending	beta_passive	1536.2223751523138
sub-10	ROI_activity	descending_pgACC_rACC	descending	beta_passive	310.9724669685413
sub-10	ROI_activity	salience_aINS	salience	beta_passive	516.241879152089
sub-10	ROI_activity	salience_dACC_MCC	salience	beta_passive	366.5632849117817
sub-10	ROI_activity	sensory_S1_S2_thalamus	sensory	beta_passive	252.97167780381048
sub-10	ROI_activity	value_NAc	value	beta_passive	200.48474332892238
sub-10	ROI_activity	value_vmPFC_mOFC	value	beta_passive	45.05396194850544
sub-11	ROI_activity	control_SMA_preSMA	control	beta_passive	492.6437675167769
sub-11	ROI_activity	control_dlPFC_IFJ_L	control	beta_passive	591.8858012322445
sub-11	ROI_activity	control_dlPFC_IFJ_R	control	beta_passive	476.9510206765141
sub-11	ROI_activity	descending_PAG	descending	beta_passive	-465.3866810777863
sub-11	ROI_activity	descending_pgACC_rACC	descending	beta_passive	138.04794531514452
sub-11	ROI_activity	salience_aINS	salience	beta_passive	518.9669155979158
sub-11	ROI_activity	salience_dACC_MCC	salience	beta_passive	500.3145282407983
sub-11	ROI_activity	sensory_S1_S2_thalamus	sensory	beta_passive	154.39900557996265
sub-11	ROI_activity	value_NAc	value	beta_passive	-152.27633831800148
sub-11	ROI_activity	value_vmPFC_mOFC	value	beta_passive	217.5140031681516
sub-12	ROI_activity	control_SMA_preSMA	control	beta_passive	-458.7731154476771
sub-12	ROI_activity	control_dlPFC_IFJ_L	control	beta_passive	-367.97735096893246
sub-12	ROI_activity	control_dlPFC_IFJ_R	control	beta_passive	-307.28316324024775
sub-12	ROI_activity	descending_PAG	descending	beta_passive	715.0463726708316
sub-12	ROI_activity	descending_pgACC_rACC	descending	beta_passive	252.9284624397008
sub-12	ROI_activity	salience_aINS	salience	beta_passive	246.2017974170405
sub-12	ROI_activity	salience_dACC_MCC	salience	beta_passive	-168.84014805273245
sub-12	ROI_activity	sensory_S1_S2_thalamus	sensory	beta_passive	18.862672510506446
sub-12	ROI_activity	value_NAc	value	beta_passive	23.35950816415633
sub-12	ROI_activity	value_vmPFC_mOFC	value	beta_passive	100.12126776288642
sub-13	ROI_activity	control_SMA_preSMA	control	beta_passive	-237.0004896845365
sub-13	ROI_activity	control_dlPFC_IFJ_L	control	beta_passive	-45.63300174960849
sub-13	ROI_activity	control_dlPFC_IFJ_R	control	beta_passive	-124.73600724953285
sub-13	ROI_activity	descending_PAG	descending	beta_passive	940.512344205485
sub-13	ROI_activity	descending_pgACC_rACC	descending	beta_passive	296.46079995691184
sub-13	ROI_activity	salience_aINS	salience	beta_passive	302.3780038275845
sub-13	ROI_activity	salience_dACC_MCC	salience	beta_passive	146.2846242565891
sub-13	ROI_activity	sensory_S1_S2_thalamus	sensory	beta_passive	118.60669406037594
sub-13	ROI_activity	value_NAc	value	beta_passive	181.48725151865358
sub-13	ROI_activity	value_vmPFC_mOFC	value	beta_passive	363.5077680681202
sub-14	ROI_activity	control_SMA_preSMA	control	beta_passive	-129.75703626844282
sub-14	ROI_activity	control_dlPFC_IFJ_L	control	beta_passive	228.1593893930132
sub-14	ROI_activity	control_dlPFC_IFJ_R	control	beta_passive	103.27497164188884
sub-14	ROI_activity	descending_PAG	descending	beta_passive	1429.0585912900435
sub-14	ROI_activity	descending_pgACC_rACC	descending	beta_passive	104.99002503550383
sub-14	ROI_activity	salience_aINS	salience	beta_passive	241.4467254895056
sub-14	ROI_activity	salience_dACC_MCC	salience	beta_passive	176.6171508307271
sub-14	ROI_activity	sensory_S1_S2_thalamus	sensory	beta_passive	-86.74994382104828
sub-14	ROI_activity	value_NAc	value	beta_passive	206.87093404840678
sub-14	ROI_activity	value_vmPFC_mOFC	value	beta_passive	-61.114279259256335
sub-15	ROI_activity	control_SMA_preSMA	control	beta_passive	51.164887478174535
sub-15	ROI_activity	control_dlPFC_IFJ_L	control	beta_passive	409.4034753131885
sub-15	ROI_activity	control_dlPFC_IFJ_R	control	beta_passive	319.1425972806759
sub-15	ROI_activity	descending_PAG	descending	beta_passive	551.8374576550353
sub-15	ROI_activity	descending_pgACC_rACC	descending	beta_passive	309.08898346903635
sub-15	ROI_activity	salience_aINS	salience	beta_passive	711.750867682349
sub-15	ROI_activity	salience_dACC_MCC	salience	beta_passive	415.47406033479183
sub-15	ROI_activity	sensory_S1_S2_thalamus	sensory	beta_passive	520.9813439338985
sub-15	ROI_activity	value_NAc	value	beta_passive	76.80443259357867
sub-15	ROI_activity	value_vmPFC_mOFC	value	beta_passive	212.41833132979164
sub-16	ROI_activity	control_SMA_preSMA	control	beta_passive	23.245336727508768
sub-16	ROI_activity	control_dlPFC_IFJ_L	control	beta_passive	-39.97150446676745
sub-16	ROI_activity	control_dlPFC_IFJ_R	control	beta_passive	-151.27651648995564
sub-16	ROI_activity	descending_PAG	descending	beta_passive	240.83526112659484
sub-16	ROI_activity	descending_pgACC_rACC	descending	beta_passive	-174.32487711516214
sub-16	ROI_activity	salience_aINS	salience	beta_passive	1115.1758068067093
sub-16	ROI_activity	salience_dACC_MCC	salience	beta_passive	-150.32930810334554
sub-16	ROI_activity	sensory_S1_S2_thalamus	sensory	beta_passive	-161.05078108451448
sub-16	ROI_activity	value_NAc	value	beta_passive	-106.41375210228722
sub-16	ROI_activity	value_vmPFC_mOFC	value	beta_passive	-420.098079823677
sub-17	ROI_activity	control_SMA_preSMA	control	beta_passive	134.0870695502545
sub-17	ROI_activity	control_dlPFC_IFJ_L	control	beta_passive	49.744943549728895
sub-17	ROI_activity	control_dlPFC_IFJ_R	control	beta_passive	-21.58228587027769
sub-17	ROI_activity	descending_PAG	descending	beta_passive	-421.09605487030433
sub-17	ROI_activity	descending_pgACC_rACC	descending	beta_passive	228.72930475863333
sub-17	ROI_activity	salience_aINS	salience	beta_passive	1050.9755768186121
sub-17	ROI_activity	salience_dACC_MCC	salience	beta_passive	318.4730532663972
sub-17	ROI_activity	sensory_S1_S2_thalamus	sensory	beta_passive	76.4288566127603
sub-17	ROI_activity	value_NAc	value	beta_passive	185.92515970528444
sub-17	ROI_activity	value_vmPFC_mOFC	value	beta_passive	33.39536571006511
sub-18	ROI_activity	control_SMA_preSMA	control	beta_passive	257.4065641142766
sub-18	ROI_activity	control_dlPFC_IFJ_L	control	beta_passive	212.0575834020247
sub-18	ROI_activity	control_dlPFC_IFJ_R	control	beta_passive	207.71062092034907
sub-18	ROI_activity	descending_PAG	descending	beta_passive	-58.97896199205317
sub-18	ROI_activity	descending_pgACC_rACC	descending	beta_passive	255.8982633063864
sub-18	ROI_activity	salience_aINS	salience	beta_passive	325.63490084087556
sub-18	ROI_activity	salience_dACC_MCC	salience	beta_passive	89.02460944271532
sub-18	ROI_activity	sensory_S1_S2_thalamus	sensory	beta_passive	205.0222565920203
sub-18	ROI_activity	value_NAc	value	beta_passive	69.1953161720892
sub-18	ROI_activity	value_vmPFC_mOFC	value	beta_passive	27.548151403745766
sub-19	ROI_activity	control_SMA_preSMA	control	beta_passive	53.55240104638501
sub-19	ROI_activity	control_dlPFC_IFJ_L	control	beta_passive	-726.6327649041122
sub-19	ROI_activity	control_dlPFC_IFJ_R	control	beta_passive	-153.95484790015618
sub-19	ROI_activity	descending_PAG	descending	beta_passive	-334.1841723842512
sub-19	ROI_activity	descending_pgACC_rACC	descending	beta_passive	233.56112327175435
sub-19	ROI_activity	salience_aINS	salience	beta_passive	1438.9006428405605
sub-19	ROI_activity	salience_dACC_MCC	salience	beta_passive	24.75821045528496
sub-19	ROI_activity	sensory_S1_S2_thalamus	sensory	beta_passive	349.11950058373566
sub-19	ROI_activity	value_NAc	value	beta_passive	319.2385261457385
sub-19	ROI_activity	value_vmPFC_mOFC	value	beta_passive	65.17824742205399
