subject	run	run_label	status	n_trials	n_rois_extracted	out_file	bold	events_file
sub-02	7	run-07	OK	10	32	<PROJECT_ROOT>/derivatives/trialwise_ROI_FC_EC_analysis/per_run/sub-02_run-07_roi_lss.tsv	<PROJECT_ROOT>/derivatives/fmriprep/sub-02/func/sub-02_task-heatpainwithregulationandratings_run-07_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/first_level_inputs_analysis/sub-02/run-07/events_stim.tsv
sub-02	9	run-09	OK	11	32	<PROJECT_ROOT>/derivatives/trialwise_ROI_FC_EC_analysis/per_run/sub-02_run-09_roi_lss.tsv	<PROJECT_ROOT>/derivatives/fmriprep/sub-02/func/sub-02_task-heatpainwithregulationandratings_run-09_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/first_level_inputs_analysis/sub-02/run-09/events_stim.tsv
sub-03	1	run-01	OK	11	32	<PROJECT_ROOT>/derivatives/trialwise_ROI_FC_EC_analysis/per_run/sub-03_run-01_roi_lss.tsv	<PROJECT_ROOT>/derivatives/fmriprep/sub-03/func/sub-03_task-heatpainwithregulationandratings_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/first_level_inputs_analysis/sub-03/run-01/events_stim.tsv
sub-03	2	run-02	OK	11	32	<PROJECT_ROOT>/derivatives/trialwise_ROI_FC_EC_analysis/per_run/sub-03_run-02_roi_lss.tsv	<PROJECT_ROOT>/derivatives/fmriprep/sub-03/func/sub-03_task-heatpainwithregulationandratings_run-02_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/first_level_inputs_analysis/sub-03/run-02/events_stim.tsv
sub-03	3	run-03	OK	10	32	<PROJECT_ROOT>/derivatives/trialwise_ROI_FC_EC_analysis/per_run/sub-03_run-03_roi_lss.tsv	<PROJECT_ROOT>/derivatives/fmriprep/sub-03/func/sub-03_task-heatpainwithregulationandratings_run-03_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/first_level_inputs_analysis/sub-03/run-03/events_stim.tsv
sub-03	4	run-04	OK	11	32	<PROJECT_ROOT>/derivatives/trialwise_ROI_FC_EC_analysis/per_run/sub-03_run-04_roi_lss.tsv	<PROJECT_ROOT>/derivatives/fmriprep/sub-03/func/sub-03_task-heatpainwithregulationandratings_run-04_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/first_level_inputs_analysis/sub-03/run-04/events_stim.tsv
sub-03	5	run-05	OK	11	32	<PROJECT_ROOT>/derivatives/trialwise_ROI_FC_EC_analysis/per_run/sub-03_run-05_roi_lss.tsv	<PROJECT_ROOT>/derivatives/fmriprep/sub-03/func/sub-03_task-heatpainwithregulationandratings_run-05_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/first_level_inputs_analysis/sub-03/run-05/events_stim.tsv
sub-03	6	run-06	OK	11	32	<PROJECT_ROOT>/derivatives/trialwise_ROI_FC_EC_analysis/per_run/sub-03_run-06_roi_lss.tsv	<PROJECT_ROOT>/derivatives/fmriprep/sub-03/func/sub-03_task-heatpainwithregulationandratings_run-06_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/first_level_inputs_analysis/sub-03/run-06/events_stim.tsv
sub-03	7	run-07	OK	10	32	<PROJECT_ROOT>/derivatives/trialwise_ROI_FC_EC_analysis/per_run/sub-03_run-07_roi_lss.tsv	<PROJECT_ROOT>/derivatives/fmriprep/sub-03/func/sub-03_task-heatpainwithregulationandratings_run-07_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/first_level_inputs_analysis/sub-03/run-07/events_stim.tsv
sub-03	8	run-08	OK	11	32	<PROJECT_ROOT>/derivatives/trialwise_ROI_FC_EC_analysis/per_run/sub-03_run-08_roi_lss.tsv	<PROJECT_ROOT>/derivatives/fmriprep/sub-03/func/sub-03_task-heatpainwithregulationandratings_run-08_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/first_level_inputs_analysis/sub-03/run-08/events_stim.tsv
sub-03	9	run-09	OK	11	32	<PROJECT_ROOT>/derivatives/trialwise_ROI_FC_EC_analysis/per_run/sub-03_run-09_roi_lss.tsv	<PROJECT_ROOT>/derivatives/fmriprep/sub-03/func/sub-03_task-heatpainwithregulationandratings_run-09_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/first_level_inputs_analysis/sub-03/run-09/events_stim.tsv
sub-04	1	run-01	OK	11	32	<PROJECT_ROOT>/derivatives/trialwise_ROI_FC_EC_analysis/per_run/sub-04_run-01_roi_lss.tsv	<PROJECT_ROOT>/derivatives/fmriprep/sub-04/func/sub-04_task-heatpainwithregulationandratings_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/first_level_inputs_analysis/sub-04/run-01/events_stim.tsv
sub-04	2	run-02	OK	11	32	<PROJECT_ROOT>/derivatives/trialwise_ROI_FC_EC_analysis/per_run/sub-04_run-02_roi_lss.tsv	<PROJECT_ROOT>/derivatives/fmriprep/sub-04/func/sub-04_task-heatpainwithregulationandratings_run-02_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/first_level_inputs_analysis/sub-04/run-02/events_stim.tsv
sub-04	3	run-03	OK	10	32	<PROJECT_ROOT>/derivatives/trialwise_ROI_FC_EC_analysis/per_run/sub-04_run-03_roi_lss.tsv	<PROJECT_ROOT>/derivatives/fmriprep/sub-04/func/sub-04_task-heatpainwithregulationandratings_run-03_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/first_level_inputs_analysis/sub-04/run-03/events_stim.tsv
sub-04	4	run-04	OK	11	32	<PROJECT_ROOT>/derivatives/trialwise_ROI_FC_EC_analysis/per_run/sub-04_run-04_roi_lss.tsv	<PROJECT_ROOT>/derivatives/fmriprep/sub-04/func/sub-04_task-heatpainwithregulationandratings_run-04_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/first_level_inputs_analysis/sub-04/run-04/events_stim.tsv
sub-04	6	run-06	OK	11	32	<PROJECT_ROOT>/derivatives/trialwise_ROI_FC_EC_analysis/per_run/sub-04_run-06_roi_lss.tsv	<PROJECT_ROOT>/derivatives/fmriprep/sub-04/func/sub-04_task-heatpainwithregulationandratings_run-06_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/first_level_inputs_analysis/sub-04/run-06/events_stim.tsv
sub-04	7	run-07	OK	10	32	<PROJECT_ROOT>/derivatives/trialwise_ROI_FC_EC_analysis/per_run/sub-04_run-07_roi_lss.tsv	<PROJECT_ROOT>/derivatives/fmriprep/sub-04/func/sub-04_task-heatpainwithregulationandratings_run-07_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz	<PROJECT_ROOT>/derivatives/first_level_inputs_analysis/sub-04/run-07/events_stim.tsv
