roi	roi_safe	mask_path	family	priority	source_requested	source_used	source_file	hemi	status	targets	used_labels	used_values	n_vox_source	n_vox_
reg_caudate_L	reg_caudate_L	<PROJECT_ROOT>/derivatives/roi_masks_analysis/masks/reg_caudate_L.nii.gz	secondary_subcortical	P2	Tian_or_HCPex	HCPex_fallback	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex_2mm.nii	L	OK	re:caud	Caud	383	862.0	296
reg_caudate_R	reg_caudate_R	<PROJECT_ROOT>/derivatives/roi_masks_analysis/masks/reg_caudate_R.nii.gz	secondary_subcortical	P2	Tian_or_HCPex	HCPex_fallback	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/HCPex/HCPex-main/HCPex.1/HCPex_2mm.nii	R	OK	re:caud	Caud	416	869.0	303
reg_putamen_L	reg_putamen_L	<PROJECT_ROOT>/derivatives/roi_masks_analysis/masks/reg_putamen_L.nii.gz	secondary_subcortical	P2	Tian_or_HCPex	Tian	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/Tian/Tian2020MSA/3T/Subcortex-Only/Tian_Subcortex_S4_3T_2009cAsym.nii.gz	L	OK	re:put	PUT-VA-lh;PUT-DA-lh;PUT-VP-lh;PUT-DP-lh	40;41;42;43	919.0	311
reg_putamen_R	reg_putamen_R	<PROJECT_ROOT>/derivatives/roi_masks_analysis/masks/reg_putamen_R.nii.gz	secondary_subcortical	P2	Tian_or_HCPex	Tian	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/Tian/Tian2020MSA/3T/Subcortex-Only/Tian_Subcortex_S4_3T_2009cAsym.nii.gz	R	OK	re:put	PUT-VA-rh;PUT-DA-rh;PUT-VP-rh;PUT-DP-rh	13;14;15;16	940.0	312
reg_PAG_sphere	reg_PAG_sphere	<PROJECT_ROOT>/derivatives/roi_masks_analysis/masks/reg_PAG_sphere.nii.gz	targeted_regulatory_value	P1_small	sphere	sphere	MNI_sphere		OK		MNI sphere [0, -32, -10] r=4.0			10
expl_hippocampus_L	expl_hippocampus_L	<PROJECT_ROOT>/derivatives/roi_masks_analysis/masks/expl_hippocampus_L.nii.gz	exploratory_context	P3	Tian_or_HCPex	Tian	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/Tian/Tian2020MSA/3T/Subcortex-Only/Tian_Subcortex_S4_3T_2009cAsym.nii.gz	L	OK	re:hipp|hip|hc	HIP-head-m1-lh;HIP-head-m2-lh;HIP-head-l-lh;HIP-body-lh;HIP-tail-lh	28;29;32;33;34	690.0	225
expl_hippocampus_R	expl_hippocampus_R	<PROJECT_ROOT>/derivatives/roi_masks_analysis/masks/expl_hippocampus_R.nii.gz	exploratory_context	P3	Tian_or_HCPex	Tian	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/Tian/Tian2020MSA/3T/Subcortex-Only/Tian_Subcortex_S4_3T_2009cAsym.nii.gz	R	OK	re:hipp|hip|hc	HIP-head-m1-rh;HIP-head-m2-rh;HIP-head-l-rh;HIP-body-rh;HIP-tail-rh	1;2;5;6;7	699.0	232
expl_amygdala_L	expl_amygdala_L	<PROJECT_ROOT>/derivatives/roi_masks_analysis/masks/expl_amygdala_L.nii.gz	exploratory_context	P3	Tian_or_HCPex	Tian	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/Tian/Tian2020MSA/3T/Subcortex-Only/Tian_Subcortex_S4_3T_2009cAsym.nii.gz	L	OK	re:amyg|amg|amy	lAMY-lh;mAMY-lh	48;49	395.0	144
expl_amygdala_R	expl_amygdala_R	<PROJECT_ROOT>/derivatives/roi_masks_analysis/masks/expl_amygdala_R.nii.gz	exploratory_context	P3	Tian_or_HCPex	Tian	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/Tian/Tian2020MSA/3T/Subcortex-Only/Tian_Subcortex_S4_3T_2009cAsym.nii.gz	R	OK	re:amyg|amg|amy	lAMY-rh;mAMY-rh	21;22	380.0	137
expl_hypothalamus	expl_hypothalamus	<PROJECT_ROOT>/derivatives/roi_masks_analysis/masks/expl_hypothalamus.nii.gz	exploratory_context	P3	hypothalamus_prob	hypothalamus_prob	<PROJECT_ROOT>/derivatives/atlases_external/atlases_for_ds000140/CANlab/Neuroimaging_Pattern_Masks-master/Atlases_and_parcellations/2020_iglesias_hypothalamus/iglesias_hypothal_hcp278_MNI152NLin2009cAsym_probability_maps.nii.gz		OK		Iglesias_hypothalamus_probability_union		2036.0	89
