comparison	n	r	p	spearman_rho	spearman_p	target	family	roi	roi_safe	quantity	behavior_variable	q_fdr_roi_behavior_corr
reg_SMA_preSMA:beta_passive~up_first	33	-0.2802246809818668	0.11421410181553887	-0.2865525233110275	0.10593061466661782	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	up_first	0.9864109618064815
reg_SMA_preSMA:beta_passive~prediction_error_raw_down	33	0.15409532869210413	0.3918823096102454	0.15441176470588236	0.3908988526259167	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	prediction_error_raw_down	0.9864109618064815
reg_SMA_preSMA:beta_passive~prediction_error_raw_up	33	-0.07814895462650259	0.6655352407569595	0.06149732620320855	0.73387493109816	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	prediction_error_raw_up	0.9864109618064815
reg_SMA_preSMA:beta_passive~prediction_error_z_down	33	0.20735276165572977	0.2469213121172409	0.1711229946524064	0.34101007801092376	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	prediction_error_z_down	0.9864109618064815
reg_SMA_preSMA:beta_passive~prediction_error_z_up	33	-0.051708967613943266	0.7750443401857835	0.09157754010695188	0.6122561044810437	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	prediction_error_z_up	0.9864109618064815
reg_SMA_preSMA:beta_passive~rating_raw_down	33	0.1495821417593981	0.4060635801808854	0.14572192513368984	0.41842081934456576	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	rating_raw_down	0.9864109618064815
reg_SMA_preSMA:beta_passive~rating_raw_up	33	-0.017871887332861144	0.9213643557228978	0.04077540106951872	0.821747003322018	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	rating_raw_up	0.9864109618064815
reg_SMA_preSMA:beta_passive~rating_z_subject_down	33	0.23396752410067	0.19002886816647105	0.19084224598930483	0.2873967833049059	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	rating_z_subject_down	0.9864109618064815
reg_SMA_preSMA:beta_passive~rating_z_subject_up	33	-0.09515787494423102	0.5983597688158682	0.03442513368983957	0.8491615782324099	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	rating_z_subject_up	0.9864109618064815
reg_SMA_preSMA:beta_passive~reg_success_raw_down	33	-0.15409532869210413	0.3918823096102454	-0.15441176470588236	0.3908988526259167	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	reg_success_raw_down	0.9864109618064815
reg_SMA_preSMA:beta_passive~reg_success_raw_up	33	-0.07814895462650259	0.6655352407569595	0.06149732620320855	0.73387493109816	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	reg_success_raw_up	0.9864109618064815
reg_SMA_preSMA:beta_passive~reg_success_z_down	33	-0.20735276165572977	0.2469213121172409	-0.1711229946524064	0.34101007801092376	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	reg_success_z_down	0.9864109618064815
reg_SMA_preSMA:beta_passive~reg_success_z_up	33	-0.051708967613943266	0.7750443401857835	0.09157754010695188	0.6122561044810437	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	reg_success_z_up	0.9864109618064815
reg_SMA_preSMA:beta_passive~temperature_raw_down	33	-0.08042182918836081	0.6563944941500538	-0.1299568650156885	0.4710169605991187	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	temperature_raw_down	0.9864109618064815
reg_SMA_preSMA:beta_passive~temperature_raw_up	33	0.07497477213440476	0.678379974986465	0.11139159858487586	0.5371370176961971	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	temperature_raw_up	0.9864109618064815
reg_SMA_preSMA:beta_passive~temperature_z_subject_down	33	-0.07154586925049979	0.6923558846263561	0.023164633029473518	0.8981832618315246	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	temperature_z_subject_down	0.9864109618064815
reg_SMA_preSMA:beta_passive~temperature_z_subject_up	33	0.10842053445529316	0.5481143796853785	0.17551053700111988	0.3285856144475112	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	temperature_z_subject_up	0.9864109618064815
reg_SMA_preSMA:beta_passive~passive_mean_rating_z	33	-0.11949160688051405	0.5077540280932569	-0.2740641711229947	0.1227350928334315	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	passive_mean_rating_z	0.9864109618064815
reg_SMA_preSMA:beta_passive~passive_mean_rating_raw	33	0.06107179083080337	0.7356505874789034	0.07486631016042782	0.6788204790669589	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	passive_mean_rating_raw	0.9864109618064815
reg_SMA_preSMA:beta_passive~passive_sensory_slope_z	33	-0.00018658096258094333	0.9991777831050676	-0.0053475935828877	0.9764377093265237	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	passive_sensory_slope_z	0.9991777831050676
reg_SMA_preSMA:beta_passive~passive_withinrun_slope_z	33	-0.1311353717861227	0.4669692829421122	-0.18783422459893048	0.2952041325210402	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	passive_withinrun_slope_z	0.9864109618064815
reg_SMA_preSMA:beta_passive~passive_acrossrun_slope_z	33	0.10056172158467636	0.5776481499614887	0.03308823529411765	0.854956355062533	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	passive_acrossrun_slope_z	0.9864109618064815
reg_SMA_preSMA:beta_passive~success_asymmetry_z_up_minus_down	33	0.1152431509057109	0.5230647524492723	0.2914438502673797	0.09984436792830936	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	success_asymmetry_z_up_minus_down	0.9864109618064815
reg_SMA_preSMA:beta_passive~success_asymmetry_raw_up_minus_down	33	0.0462562881998218	0.7982496461864985	0.2025401069518717	0.25830508094052596	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	success_asymmetry_raw_up_minus_down	0.9864109618064815
reg_SMA_preSMA:beta_passive~mean_reg_success_z	33	-0.1618033075094392	0.36833438575927674	-0.06584224598930481	0.7158234836979873	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	mean_reg_success_z	0.9864109618064815
reg_SMA_preSMA:beta_passive~mean_reg_success_raw	33	-0.14226126579271026	0.429675618491637	-0.08355614973262032	0.6438693159436282	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	mean_reg_success_raw	0.9864109618064815
reg_SMA_preSMA:beta_passive~task_separation_prediction_error_z_up_minus_down	33	-0.16180330750943914	0.36833438575927674	-0.06584224598930481	0.7158234836979873	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	task_separation_prediction_error_z_up_minus_down	0.9864109618064815
reg_SMA_preSMA:beta_passive~task_separation_rating_z_up_minus_down	33	-0.19181315807520288	0.2849053213631473	-0.11931818181818182	0.5083746131110635	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	task_separation_rating_z_up_minus_down	0.9864109618064815
reg_SMA_preSMA:beta_passive~task_separation_rating_raw_up_minus_down	33	-0.17045177189797106	0.3429357079248907	-0.12934491978609627	0.47312597132579703	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_passive	task_separation_rating_raw_up_minus_down	0.9864109618064815
reg_SMA_preSMA:beta_up~up_first	33	0.0362736305329792	0.8411620889104717	0.1782993478379727	0.32083541859172593	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_up	up_first	0.9992532770788368
reg_SMA_preSMA:beta_up~prediction_error_raw_down	33	0.07256332878022824	0.6881981566676859	0.003342245989304813	0.9852723280032905	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_up	prediction_error_raw_down	0.9992532770788368
reg_SMA_preSMA:beta_up~prediction_error_raw_up	33	-0.07508603368271714	0.6779282093391867	0.058489304812834236	0.746455195029992	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_up	prediction_error_raw_up	0.9992532770788368
reg_SMA_preSMA:beta_up~prediction_error_z_down	33	0.10681459135207362	0.5540914814921422	0.059826203208556146	0.7408558160803717	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_up	prediction_error_z_down	0.9992532770788368
reg_SMA_preSMA:beta_up~prediction_error_z_up	33	-0.10043559163727678	0.5781278963098347	-0.02774064171122995	0.8782069986183596	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_up	prediction_error_z_up	0.9992532770788368
reg_SMA_preSMA:beta_up~rating_raw_down	33	-0.0945645238440561	0.6006533141991238	-0.12132352941176472	0.501221832595384	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_up	rating_raw_down	0.9992532770788368
reg_SMA_preSMA:beta_up~rating_raw_up	33	-0.19876371208961902	0.2674760855113106	-0.1948529411764706	0.2771949906897657	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_up	rating_raw_up	0.9992532770788368
reg_SMA_preSMA:beta_up~rating_z_subject_down	33	0.11804923586872712	0.5129268919683231	0.07286096256684492	0.6869835966376383	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_up	rating_z_subject_down	0.9992532770788368
reg_SMA_preSMA:beta_up~rating_z_subject_up	33	-0.11579701790034266	0.5210560186792075	0.022058823529411766	0.9030202861132655	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_up	rating_z_subject_up	0.9992532770788368
reg_SMA_preSMA:beta_up~reg_success_raw_down	33	-0.07256332878022824	0.6881981566676859	-0.003342245989304813	0.9852723280032905	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_up	reg_success_raw_down	0.9992532770788368
reg_SMA_preSMA:beta_up~reg_success_raw_up	33	-0.07508603368271714	0.6779282093391867	0.058489304812834236	0.746455195029992	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_up	reg_success_raw_up	0.9992532770788368
reg_SMA_preSMA:beta_up~reg_success_z_down	33	-0.10681459135207362	0.5540914814921422	-0.059826203208556146	0.7408558160803717	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_up	reg_success_z_down	0.9992532770788368
reg_SMA_preSMA:beta_up~reg_success_z_up	33	-0.10043559163727678	0.5781278963098347	-0.02774064171122995	0.8782069986183596	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_up	reg_success_z_up	0.9992532770788368
reg_SMA_preSMA:beta_up~temperature_raw_down	33	0.07981105444324064	0.6588460954024247	0.1299568650156885	0.4710169605991187	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_up	temperature_raw_down	0.9992532770788368
reg_SMA_preSMA:beta_up~temperature_raw_up	33	-0.025657480854534058	0.8872925055859043	-0.05569579929243793	0.7581961947014153	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_up	temperature_raw_up	0.9992532770788368
reg_SMA_preSMA:beta_up~temperature_z_subject_down	33	0.04573095931037082	0.8004946384493892	-0.14451965084059598	0.42231203389902205	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_up	temperature_z_subject_down	0.9992532770788368
reg_SMA_preSMA:beta_up~temperature_z_subject_up	33	-0.0773668998166506	0.6686914467144347	-0.26681059959874676	0.13336267175227984	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_up	temperature_z_subject_up	0.9992532770788368
reg_SMA_preSMA:beta_up~passive_mean_rating_z	33	0.0052384141058016385	0.9769186413740307	0.013368983957219253	0.941136987858924	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_up	passive_mean_rating_z	0.9992532770788368
reg_SMA_preSMA:beta_up~passive_mean_rating_raw	33	-0.17673912284223597	0.32515722922582024	-0.1463903743315508	0.4162660637821015	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_up	passive_mean_rating_raw	0.9992532770788368
reg_SMA_preSMA:beta_up~passive_sensory_slope_z	33	0.0038482548425801053	0.983042888339314	0.14538770053475936	0.4195005333060412	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_up	passive_sensory_slope_z	0.9992532770788368
reg_SMA_preSMA:beta_up~passive_withinrun_slope_z	33	-0.15184856226051763	0.39890600818368205	-0.09558823529411765	0.596698617762806	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_up	passive_withinrun_slope_z	0.9992532770788368
reg_SMA_preSMA:beta_up~passive_acrossrun_slope_z	33	0.17208903165065514	0.33825025335458836	0.19184491978609627	0.28482405281700807	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_up	passive_acrossrun_slope_z	0.9992532770788368
reg_SMA_preSMA:beta_up~success_asymmetry_z_up_minus_down	33	-0.001975445586858671	0.9912948547799134	-0.05915775401069519	0.743653894612581	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_up	success_asymmetry_z_up_minus_down	0.9992532770788368
reg_SMA_preSMA:beta_up~success_asymmetry_raw_up_minus_down	33	-0.012013491129023364	0.9470963672793326	-0.012032085561497327	0.9470145977029851	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_up	success_asymmetry_raw_up_minus_down	0.9992532770788368
reg_SMA_preSMA:beta_up~mean_reg_success_z	33	-0.13267957482055096	0.4616934798731362	-0.04478609625668449	0.8045364440478663	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_up	mean_reg_success_z	0.9992532770788368
reg_SMA_preSMA:beta_up~mean_reg_success_raw	33	-0.09308834001453221	0.6063756832618351	0.04679144385026738	0.7959642889922955	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_up	mean_reg_success_raw	0.9992532770788368
reg_SMA_preSMA:beta_up~task_separation_prediction_error_z_up_minus_down	33	-0.13267957482055096	0.4616934798731362	-0.04478609625668449	0.8045364440478663	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_up	task_separation_prediction_error_z_up_minus_down	0.9992532770788368
reg_SMA_preSMA:beta_up~task_separation_rating_z_up_minus_down	33	-0.1381980499044052	0.44310077896544564	-0.053810160427807494	0.7661517238575037	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_up	task_separation_rating_z_up_minus_down	0.9992532770788368
reg_SMA_preSMA:beta_up~task_separation_rating_raw_up_minus_down	33	-0.09889942257353895	0.5839850933838004	0.03342245989304813	0.8535069513307668	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_up	task_separation_rating_raw_up_minus_down	0.9992532770788368
reg_SMA_preSMA:beta_down~up_first	33	-0.3479212438408838	0.047248280119969004	-0.267449021756959	0.13240100250454137	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_down	up_first	0.4982545903560368
reg_SMA_preSMA:beta_down~prediction_error_raw_down	33	0.16071022510402974	0.37162178558867187	0.20287433155080214	0.2575035229850527	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_down	prediction_error_raw_down	0.8886854363208944
reg_SMA_preSMA:beta_down~prediction_error_raw_up	33	-0.20628813898528991	0.24941028654127947	-0.0982620320855615	0.586423057886333	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_down	prediction_error_raw_up	0.8266679242028604
reg_SMA_preSMA:beta_down~prediction_error_z_down	33	0.14238772870388153	0.42926141523836203	0.20020053475935828	0.2639620005574443	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_down	prediction_error_z_down	0.8886854363208944
reg_SMA_preSMA:beta_down~prediction_error_z_up	33	-0.12594230910234921	0.4849422907605167	-0.04712566844919786	0.7945378407598194	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_down	prediction_error_z_up	0.9073627572230674
reg_SMA_preSMA:beta_down~rating_raw_down	33	0.21871155264148065	0.22139452180848876	0.22994652406417115	0.19797551063132637	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_down	rating_raw_down	0.7945345180687589
reg_SMA_preSMA:beta_down~rating_raw_up	33	-0.06716596657615555	0.7103533072410034	-0.06049465240641711	0.7380609923298289	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_down	rating_raw_up	0.9540315397456439
reg_SMA_preSMA:beta_down~rating_z_subject_down	33	0.22184423166249578	0.2146830672547775	0.2911096256684492	0.1002516073993581	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_down	rating_z_subject_down	0.7945345180687589
reg_SMA_preSMA:beta_down~rating_z_subject_up	33	-0.17325450984609486	0.3349388604159839	-0.11998663101604279	0.5059847133181785	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_down	rating_z_subject_up	0.8886854363208944
reg_SMA_preSMA:beta_down~reg_success_raw_down	33	-0.16071022510402974	0.37162178558867187	-0.20287433155080214	0.2575035229850527	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_down	reg_success_raw_down	0.8886854363208944
reg_SMA_preSMA:beta_down~reg_success_raw_up	33	-0.20628813898528991	0.24941028654127947	-0.0982620320855615	0.586423057886333	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_down	reg_success_raw_up	0.8266679242028604
reg_SMA_preSMA:beta_down~reg_success_z_down	33	-0.14238772870388153	0.42926141523836203	-0.20020053475935828	0.2639620005574443	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_down	reg_success_z_down	0.8886854363208944
reg_SMA_preSMA:beta_down~reg_success_z_up	33	-0.12594230910234921	0.4849422907605167	-0.04712566844919786	0.7945378407598194	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_down	reg_success_z_up	0.9073627572230674
reg_SMA_preSMA:beta_down~temperature_raw_down	33	0.10533887927423319	0.5596104725335674	0.18565266430812644	0.30095006213433034	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_down	temperature_raw_down	0.9261253393891258
reg_SMA_preSMA:beta_down~temperature_raw_up	33	0.08849312073081136	0.6243351513557664	0.1670873978773138	0.3526867691090746	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_down	temperature_raw_up	0.9261253393891258
reg_SMA_preSMA:beta_down~temperature_z_subject_down	33	0.09464057442852696	0.6003591365508024	-0.09162130974344003	0.6120854049963178	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_down	temperature_z_subject_down	0.9261253393891258
reg_SMA_preSMA:beta_down~temperature_z_subject_up	33	0.09046215705448199	0.6166127770476285	-0.093547980805523	0.6045914194611638	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_down	temperature_z_subject_up	0.9261253393891258
reg_SMA_preSMA:beta_down~passive_mean_rating_z	33	-0.03303641145996389	0.8551811369224117	-0.1504010695187166	0.40346895918794123	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_down	passive_mean_rating_z	0.9769132539604398
reg_SMA_preSMA:beta_down~passive_mean_rating_raw	33	0.11694298061894885	0.5169119301295307	0.13368983957219252	0.4582590909752243	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_down	passive_mean_rating_raw	0.9261253393891258
reg_SMA_preSMA:beta_down~passive_sensory_slope_z	33	0.1072966525512273	0.5522941340268218	0.11430481283422461	0.5264764662429087	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_down	passive_sensory_slope_z	0.9261253393891258
reg_SMA_preSMA:beta_down~passive_withinrun_slope_z	33	-0.11671368375556739	0.5177398241181979	-0.1467245989304813	0.41519102511589856	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_down	passive_withinrun_slope_z	0.9261253393891258
reg_SMA_preSMA:beta_down~passive_acrossrun_slope_z	33	0.14129097423250433	0.43286094273025055	-0.006016042780748664	0.9734933960724184	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_down	passive_acrossrun_slope_z	0.8886854363208944
reg_SMA_preSMA:beta_down~success_asymmetry_z_up_minus_down	33	0.003968019464762033	0.9825152315881497	0.10160427807486631	0.5736895349853548	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_down	success_asymmetry_z_up_minus_down	0.9980014611578403
reg_SMA_preSMA:beta_down~success_asymmetry_raw_up_minus_down	33	-0.06190750447920768	0.7321646359236581	0.08322192513368984	0.6452004292298033	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_down	success_asymmetry_raw_up_minus_down	0.9568641788759459
reg_SMA_preSMA:beta_down~mean_reg_success_z	33	-0.1715580379573219	0.33976553177310576	-0.21290106951871657	0.23421810769459153	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_down	mean_reg_success_z	0.8886854363208944
reg_SMA_preSMA:beta_down~mean_reg_success_raw	33	-0.23342801345180386	0.19108191541496955	-0.19786096256684493	0.2696995351757362	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_down	mean_reg_success_raw	0.7760598367152688
reg_SMA_preSMA:beta_down~task_separation_prediction_error_z_up_minus_down	33	-0.1715580379573219	0.33976553177310576	-0.21290106951871657	0.23421810769459153	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_down	task_separation_prediction_error_z_up_minus_down	0.8886854363208944
reg_SMA_preSMA:beta_down~task_separation_rating_z_up_minus_down	33	-0.23260567779989616	0.192694838210939	-0.2446524064171123	0.17000487197920242	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_down	task_separation_rating_z_up_minus_down	0.7760598367152688
reg_SMA_preSMA:beta_down~task_separation_rating_raw_up_minus_down	33	-0.28959559423081316	0.10211217603009133	-0.2937834224598931	0.09702871619925696	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	beta_down	task_separation_rating_raw_up_minus_down	0.6368286247037954
reg_SMA_preSMA:up_minus_down~up_first	33	0.3203454450800212	0.06913720495819875	0.34386302797323304	0.05006695552760028	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	up_minus_down	up_first	0.6796538792500895
reg_SMA_preSMA:up_minus_down~prediction_error_raw_down	33	-0.06482105628264502	0.7200529872605603	-0.030080213903743314	0.8680213839757225	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	up_minus_down	prediction_error_raw_down	0.9782624842034805
reg_SMA_preSMA:up_minus_down~prediction_error_raw_up	33	0.10001423647892778	0.5797318478765457	0.10929144385026739	0.5448856929339969	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	up_minus_down	prediction_error_raw_up	0.9392303680681467
reg_SMA_preSMA:up_minus_down~prediction_error_z_down	33	-0.017842839349431327	0.9214917725247297	-0.008355614973262033	0.9631912536997345	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	up_minus_down	prediction_error_z_down	0.9970422171539208
reg_SMA_preSMA:up_minus_down~prediction_error_z_up	33	0.010235593855214258	0.9549170520504997	0.01270053475935829	0.9440754309557142	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	up_minus_down	prediction_error_z_up	0.9979372219601731
reg_SMA_preSMA:up_minus_down~rating_raw_down	33	-0.26818384206852636	0.13130045761320377	-0.18516042780748665	0.302256270273499	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	up_minus_down	rating_raw_down	0.7847103086284506
reg_SMA_preSMA:up_minus_down~rating_raw_up	33	-0.12971625278262827	0.4718456188224529	-0.0768716577540107	0.6706930244559344	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	up_minus_down	rating_raw_up	0.9392303680681467
reg_SMA_preSMA:up_minus_down~rating_z_subject_down	33	-0.07283079296537703	0.6871066754038535	-0.07453208556149733	0.6801785439521929	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	up_minus_down	rating_z_subject_down	0.9710346738462586
reg_SMA_preSMA:up_minus_down~rating_z_subject_up	33	0.034905030726818095	0.8470833400770705	0.10060160427807488	0.5774964897113983	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	up_minus_down	rating_z_subject_up	0.9955278339313592
reg_SMA_preSMA:up_minus_down~reg_success_raw_down	33	0.06482105628264502	0.7200529872605603	0.030080213903743314	0.8680213839757225	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	up_minus_down	reg_success_raw_down	0.9782624842034805
reg_SMA_preSMA:up_minus_down~reg_success_raw_up	33	0.10001423647892778	0.5797318478765457	0.10929144385026739	0.5448856929339969	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	up_minus_down	reg_success_raw_up	0.9392303680681467
reg_SMA_preSMA:up_minus_down~reg_success_z_down	33	0.017842839349431327	0.9214917725247297	0.008355614973262033	0.9631912536997345	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	up_minus_down	reg_success_z_down	0.9970422171539208
reg_SMA_preSMA:up_minus_down~reg_success_z_up	33	0.010235593855214258	0.9549170520504997	0.01270053475935829	0.9440754309557142	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	up_minus_down	reg_success_z_up	0.9979372219601731
reg_SMA_preSMA:up_minus_down~temperature_raw_down	33	-0.012465394230810473	0.9451092617624826	0.018565266430812643	0.9183234768541815	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	up_minus_down	temperature_raw_down	0.9979372219601731
reg_SMA_preSMA:up_minus_down~temperature_raw_up	33	-0.09677607974021442	0.5921240409531436	-0.14852213144650114	0.40943604910330755	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	up_minus_down	temperature_raw_up	0.9482735785846167
reg_SMA_preSMA:up_minus_down~temperature_z_subject_down	33	-0.035380355716941515	0.845025897691618	-0.031116671233621145	0.8635155898534302	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	up_minus_down	temperature_z_subject_down	0.9955278339313592
reg_SMA_preSMA:up_minus_down~temperature_z_subject_up	33	-0.14653696875632136	0.4157943483812252	-0.14940010243248036	0.4066416219328688	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	up_minus_down	temperature_z_subject_up	0.9316486942219878
reg_SMA_preSMA:up_minus_down~passive_mean_rating_z	33	0.032088208202118176	0.8592958500440614	0.03108288770053476	0.8636623913768098	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	up_minus_down	passive_mean_rating_z	0.9955278339313592
reg_SMA_preSMA:up_minus_down~passive_mean_rating_raw	33	-0.2608595935198554	0.14257522371633305	-0.14171122994652408	0.43147971323820344	control_SMA_preSMA	control	reg_SMA_preSMA	reg_SMA_preSMA	up_minus_down	passive_mean_rating_raw	0.7847103086284506
