subject	mean_fd_mean	median_fd_mean	max_fd_mean	max_fd_max	mean_pct_fd_gt_0p5	max_pct_fd_gt_0p5	n_motion_bad_or_severe_runs	n_reg_motion_bad_or_severe_runs	mean_reg_fd_mean	max_reg_fd_mean	max_reg_pct_fd_gt_0p5	high_motion_derived	high_motion_subject_candidate	exclude_high_motion_subject
sub-01	0.16402591983431603	0.1380519715617009	0.2956433723760698	3.282670755666233	4.588394062078272	12.01923076923077	1	0	0.16846431533592	0.1988766591101391	7.894736842105263	False	False	False
sub-02	0.15730146780506835	0.1175816251885565	0.2682837772608473	2.1989668048847504	3.2894736842105265	10.526315789473683	1	1	0.1921692213815246	0.2682837772608473	10.526315789473683	True	True	True
sub-03	0.19355202027580376	0.1802827064455669	0.2676992522100181	2.604987056837148	4.5248538011695905	12.980769230769232	1	0	0.20128951797590255	0.2652091141122344	9.473684210526317	False	False	False
sub-04	0.31846226632985514	0.2834626891650417	0.478327725528658	4.953751309570592	13.927125506072874	22.63157894736842	5	1	0.3649523474437833	0.478327725528658	22.63157894736842	True	True	True
sub-05	0.11422834970391732	0.1151747974661275	0.1317818906588913	0.6290132944921478	0.05341880341880342	0.4807692307692308	0	0	0.12142439690662585	0.1276739963471242	0.0	False	False	False
sub-06	0.2720201912724547	0.2567250521874555	0.3425834903609344	4.773384826144162	6.401189271255061	13.942307692307692	3	1	0.26460342249559676	0.3003195488325171	6.315789473684211	True	True	True
sub-07	0.2079516795215492	0.2084950138346495	0.2828809814420906	2.521222326753991	7.805892937471883	14.423076923076922	2	0	0.20893580848631035	0.2130936118112001	8.947368421052632	False	False	False
sub-08	0.08820004351288076	0.0859917302183162	0.1071068588526065	0.6202943773201579	0.16025641025641024	0.9615384615384616	0	0	0.08023174917552414	0.0859917302183162	0.0	False	False	False
sub-09	0.14790690308454604	0.1384779681473913	0.2434311824606909	2.726945794151475	3.6600314889788574	8.173076923076923	0	0	0.1512521399858841	0.1722051685248528	6.842105263157896	False	False	False
sub-10	0.3377703098909355	0.3267976681712803	0.4177688883716662	4.64360478441404	12.917510121457488	20.673076923076923	5	2	0.36944775449881606	0.4177688883716662	16.842105263157894	True	True	True
sub-11	0.14533864471621108	0.1334368584867082	0.2244273731553016	1.1372842753342736	1.9433198380566803	6.730769230769231	0	0	0.13357580696770885	0.1337147554487095	1.0526315789473684	False	False	False
sub-12	0.19412811455807655	0.1884542510406452	0.3159631120427906	3.7083000541636513	4.733468286099866	12.01923076923077	1	0	0.1862652244265533	0.2695951522920758	8.947368421052632	False	False	False
sub-13	0.16328634035423745	0.1601491042056357	0.2099051319362739	2.4570879335092863	2.1952316689158793	5.769230769230769	0	0	0.14853693098940485	0.1577702037003148	0.5263157894736842	False	False	False
sub-14	0.10049383001040445	0.0944876270767915	0.1344852938182111	0.8124908113471143	0.6230319388214125	2.631578947368421	0	0	0.10621614259552464	0.1179446581142578	2.631578947368421	False	False	False
sub-15	0.07703855064375863	0.0768463523137297	0.093391031074678	0.6530139211658743	0.05341880341880342	0.4807692307692308	0	0	0.0790922964794194	0.0813382406451091	0.0	False	False	False
sub-16	0.1355501631402691	0.1381218467485633	0.1553197203676651	0.6313689522639213	0.3205128205128205	0.9615384615384616	0	0	0.14192871963154358	0.1457355925145239	0.0	False	False	False
sub-17	0.09712206955775511	0.0966468881295577	0.1225548522807726	0.6253150990646994	0.2772154745838956	1.0526315789473684	0	0	0.09102350400616699	0.1078755373000173	1.0526315789473684	False	False	False
sub-18	0.11592800479462524	0.1052990080908457	0.1793099480953183	1.8637617109746167	1.3225371120107965	3.1578947368421053	0	0	0.13866597982777626	0.1793099480953183	3.1578947368421053	False	False	False
sub-19	0.21473178549074232	0.2056276009924043	0.2899733374423591	3.9591176416778366	7.088394062078273	11.578947368421051	2	1	0.2542087227053538	0.2899733374423591	11.578947368421051	True	True	True
sub-20	0.1550479133177568	0.1576795663243104	0.2005931896039104	1.236319916380244	2.629892037786775	5.263157894736842	0	0	0.18053708910140387	0.2005931896039104	5.263157894736842	False	False	False
sub-21	0.09272945129958032	0.0906371851352158	0.1121359708022557	0.6166867763069108	0.05341880341880342	0.4807692307692308	0	0	0.07962793855266159	0.082316005825311	0.0	False	False	False
sub-22	0.13323892720945574	0.1246437562580159	0.2243134331283376	1.5056872980907332	1.9916779127305446	6.25	0	0	0.11653682104939825	0.1246437562580159	1.0526315789473684	False	False	False
sub-23	0.18230293144555745	0.1739393021044962	0.234478829613893	3.953742238772052	1.6228070175438598	4.326923076923077	0	0	0.17328038353088485	0.1899990675087305	2.1052631578947367	False	False	False
sub-24	0.12104267603599789	0.1181523233102367	0.1436136022167928	0.5289271500049495	0.16025641025641024	0.4807692307692308	0	0	0.13142543851974836	0.1436136022167928	0.0	False	False	False
sub-25	0.14981957858944034	0.13878195813570632	0.2606234024316941	1.7703688148964851	3.3445091093117405	12.63157894736842	1	1	0.1917639438531309	0.2606234024316941	12.63157894736842	True	True	True
sub-26	0.126953508219426	0.1137652045124278	0.1824402916410093	1.121840106754228	0.9081196581196581	3.8461538461538463	0	0	0.11674627158343276	0.1197273386544377	0.0	False	False	False
sub-27	0.17916036380153486	0.1746756143251552	0.2420365002455772	2.56174080949192	3.8304093567251454	8.653846153846153	0	0	0.1846637115652929	0.2152135725300343	7.368421052631578	False	False	False
sub-28	0.20358722021305908	0.2032121380548872	0.2543239540812712	1.7189751833208864	3.1438371569950516	7.6923076923076925	0	0	0.1998215301187761	0.2196458688636781	4.2105263157894735	False	False	False
sub-29	0.266822859022289	0.2506292370887862	0.3513412128718396	3.584848449324993	6.7020917678812415	14.903846153846152	3	1	0.25775681372978076	0.299184017868133	13.157894736842104	True	True	True
sub-30	0.1212814133956427	0.110975716822161	0.1709922604614309	2.8757249485726053	1.4141925326135851	3.3653846153846154	0	0	0.11791441261152774	0.1282320670259683	2.631578947368421	False	False	False
sub-31	0.12318869592676956	0.1157048477178108	0.1475769860178244	0.6709233341917631	0.16025641025641024	0.9615384615384616	0	0	0.1140327825577944	0.1157048477178108	0.0	False	False	False
sub-32	0.11037917180701648	0.1103402700585267	0.1380782661862255	0.4293625383007476	0.0	0.0	0	0	0.1036178511156634	0.1103402700585267	0.0	False	False	False
sub-33	0.12298978440221986	0.1198680103692302	0.1623178134741372	0.8863494752686198	0.704565901934323	2.8846153846153846	0	0	0.11761219239832935	0.1238387388380148	1.0526315789473684	False	False	False
