confound_strategy	confounds_include_cosine	confounds_n_acompcor	confounds_spike_mode	confounds_fd_spike_threshold	confounds_include_nonsteady	confounds_fd_spikes_used_n	confounds_fmriprep_spikes_available_n	confounds_fmriprep_spikes_used_n	confounds_nonsteady_used_n	confounds_n_cols	confounds_rank	estimated_dof_after_confounds	estimated_dof_after_confounds_basic_task	pre_glm_flag	pre_glm_decision	subject	run
standard	False	5	fd05	0.5	True	23	41	0	0	54	54	154	150	OK	READY	sub-19	5
standard	False	5	fd05	0.5	True	11	25	0	0	42	42	166	162	OK	READY	sub-19	6
standard	False	5	fd05	0.5	True	17	57	0	0	48	48	142	138	OK	READY	sub-19	7
standard	False	5	fd05	0.5	True	10	33	0	0	41	41	167	163	OK	READY	sub-19	8
standard	False	5	fd05	0.5	True	9	54	0	0	40	40	168	164	OK	READY	sub-19	9
standard	False	5	fd05	0.5	True	9	52	0	0	40	40	168	164	OK	READY	sub-20	1
standard	False	5	fd05	0.5	True	6	69	0	0	37	37	171	167	OK	READY	sub-20	2
standard	False	5	fd05	0.5	True	3	80	0	0	34	34	156	152	OK	READY	sub-20	3
standard	False	5	fd05	0.5	True	3	38	0	0	34	34	174	170	OK	READY	sub-20	4
standard	False	5	fd05	0.5	True	3	74	0	0	34	34	174	170	OK	READY	sub-20	5
standard	False	5	fd05	0.5	True	7	31	0	0	38	38	170	166	OK	READY	sub-20	6
standard	False	5	fd05	0.5	True	10	57	0	0	41	41	149	145	OK	READY	sub-20	7
standard	False	5	fd05	0.5	True	3	47	0	0	34	34	174	170	OK	READY	sub-20	8
standard	False	5	fd05	0.5	True	4	25	0	0	35	35	173	169	OK	READY	sub-20	9
standard	False	5	fd05	0.5	True	0	72	0	0	31	31	177	173	OK	READY	sub-21	1
standard	False	5	fd05	0.5	True	0	115	0	0	31	31	177	173	OK	READY	sub-21	2
standard	False	5	fd05	0.5	True	0	131	0	0	31	31	159	155	OK	READY	sub-21	3
standard	False	5	fd05	0.5	True	0	38	0	0	31	31	177	173	OK	READY	sub-21	4
standard	False	5	fd05	0.5	True	0	65	0	0	31	31	177	173	OK	READY	sub-21	5
standard	False	5	fd05	0.5	True	0	86	0	0	31	31	177	173	OK	READY	sub-21	6
standard	False	5	fd05	0.5	True	0	47	0	0	31	31	159	155	OK	READY	sub-21	7
standard	False	5	fd05	0.5	True	0	75	0	0	31	31	177	173	OK	READY	sub-21	8
standard	False	5	fd05	0.5	True	1	89	0	0	32	32	176	172	OK	READY	sub-21	9
standard	False	5	fd05	0.5	True	6	35	0	0	37	37	171	167	OK	READY	sub-22	1
standard	False	5	fd05	0.5	True	2	36	0	0	33	33	175	171	OK	READY	sub-22	2
standard	False	5	fd05	0.5	True	2	9	0	0	33	33	157	153	OK	READY	sub-22	3
standard	False	5	fd05	0.5	True	1	64	0	0	32	32	176	172	OK	READY	sub-22	4
standard	False	5	fd05	0.5	True	4	65	0	0	35	35	173	169	OK	READY	sub-22	5
standard	False	5	fd05	0.5	True	5	52	0	0	36	36	172	168	OK	READY	sub-22	6
standard	False	5	fd05	0.5	True	1	80	0	0	32	32	158	154	OK	READY	sub-22	7
standard	False	5	fd05	0.5	True	3	29	0	0	34	34	174	170	OK	READY	sub-22	8
standard	False	5	fd05	0.5	True	13	23	0	0	44	44	164	160	OK	READY	sub-22	9
standard	False	5	fd05	0.5	True	9	32	0	0	40	40	168	164	OK	READY	sub-23	1
standard	False	5	fd05	0.5	True	3	34	0	0	34	34	174	170	OK	READY	sub-23	2
standard	False	5	fd05	0.5	True	4	43	0	0	35	35	155	151	OK	READY	sub-23	3
standard	False	5	fd05	0.5	True	2	36	0	0	33	33	175	171	OK	READY	sub-23	4
standard	False	5	fd05	0.5	True	7	51	0	0	38	38	170	166	OK	READY	sub-23	5
standard	False	5	fd05	0.5	True	2	69	0	0	33	33	175	171	OK	READY	sub-23	6
standard	False	5	fd05	0.5	True	0	58	0	0	31	31	159	155	OK	READY	sub-23	7
standard	False	5	fd05	0.5	True	1	64	0	0	32	32	176	172	OK	READY	sub-23	8
standard	False	5	fd05	0.5	True	2	54	0	0	33	33	175	171	OK	READY	sub-23	9
standard	False	5	fd05	0.5	True	0	61	0	0	31	31	177	173	OK	READY	sub-24	1
standard	False	5	fd05	0.5	True	0	75	0	0	31	31	177	173	OK	READY	sub-24	2
standard	False	5	fd05	0.5	True	0	48	0	0	31	31	159	155	OK	READY	sub-24	3
standard	False	5	fd05	0.5	True	0	68	0	0	31	31	177	173	OK	READY	sub-24	4
standard	False	5	fd05	0.5	True	0	65	0	0	31	31	177	173	OK	READY	sub-24	5
standard	False	5	fd05	0.5	True	1	107	0	0	32	32	176	172	OK	READY	sub-24	6
standard	False	5	fd05	0.5	True	0	47	0	0	31	31	159	155	OK	READY	sub-24	7
standard	False	5	fd05	0.5	True	1	54	0	0	32	32	176	172	OK	READY	sub-24	8
standard	False	5	fd05	0.5	True	1	115	0	0	32	32	176	172	OK	READY	sub-24	9
standard	False	5	fd05	0.5	True	0	161	0	0	31	31	177	173	OK	READY	sub-25	2
standard	False	5	fd05	0.5	True	4	72	0	0	35	35	155	151	OK	READY	sub-25	3
standard	False	5	fd05	0.5	True	1	109	0	1	33	33	175	171	OK	READY	sub-25	4
standard	False	5	fd05	0.5	True	4	119	0	0	35	35	173	169	OK	READY	sub-25	5
standard	False	5	fd05	0.5	True	6	120	0	0	37	37	171	167	OK	READY	sub-25	6
standard	False	5	fd05	0.5	True	24	47	0	0	55	55	135	131	OK	READY	sub-25	7
standard	False	5	fd05	0.5	True	2	101	0	0	33	33	175	171	OK	READY	sub-25	8
standard	False	5	fd05	0.5	True	12	52	0	0	43	43	165	161	OK	READY	sub-25	9
standard	False	5	fd05	0.5	True	0	13	0	0	31	31	177	173	OK	READY	sub-26	1
standard	False	5	fd05	0.5	True	3	73	0	0	34	34	174	170	OK	READY	sub-26	2
standard	False	5	fd05	0.5	True	0	28	0	0	31	31	159	155	OK	READY	sub-26	3
standard	False	5	fd05	0.5	True	8	70	0	0	39	39	169	165	OK	READY	sub-26	4
standard	False	5	fd05	0.5	True	6	64	0	0	37	37	171	167	OK	READY	sub-26	5
standard	False	5	fd05	0.5	True	0	78	0	0	31	31	177	173	OK	READY	sub-26	6
standard	False	5	fd05	0.5	True	0	94	0	0	31	31	159	155	OK	READY	sub-26	7
standard	False	5	fd05	0.5	True	0	100	0	0	31	31	177	173	OK	READY	sub-26	8
standard	False	5	fd05	0.5	True	0	57	0	0	31	31	177	173	OK	READY	sub-26	9
standard	False	5	fd05	0.5	True	2	131	0	0	33	33	175	171	OK	READY	sub-27	1
standard	False	5	fd05	0.5	True	8	78	0	0	39	39	169	165	OK	READY	sub-27	2
standard	False	5	fd05	0.5	True	4	111	0	0	35	35	155	151	OK	READY	sub-27	3
standard	False	5	fd05	0.5	True	8	70	0	0	39	39	169	165	OK	READY	sub-27	4
standard	False	5	fd05	0.5	True	18	48	0	0	49	49	159	155	OK	READY	sub-27	5
standard	False	5	fd05	0.5	True	6	43	0	0	37	37	171	167	OK	READY	sub-27	6
standard	False	5	fd05	0.5	True	14	36	0	0	45	45	145	141	OK	READY	sub-27	7
standard	False	5	fd05	0.5	True	2	104	0	0	33	33	175	171	OK	READY	sub-27	8
standard	False	5	fd05	0.5	True	8	84	0	0	39	39	169	165	OK	READY	sub-27	9
standard	False	5	fd05	0.5	True	3	145	0	0	34	34	174	170	OK	READY	sub-28	1
standard	False	5	fd05	0.5	True	0	103	0	0	31	31	177	173	OK	READY	sub-28	2
standard	False	5	fd05	0.5	True	1	22	0	0	32	32	158	154	OK	READY	sub-28	3
standard	False	5	fd05	0.5	True	11	162	0	0	42	42	166	162	OK	READY	sub-28	4
standard	False	5	fd05	0.5	True	7	50	0	0	38	38	170	166	OK	READY	sub-28	5
standard	False	5	fd05	0.5	True	16	58	0	0	47	47	161	157	OK	READY	sub-28	6
standard	False	5	fd05	0.5	True	8	47	0	0	39	39	151	147	OK	READY	sub-28	7
standard	False	5	fd05	0.5	True	3	96	0	0	34	34	174	170	OK	READY	sub-28	8
standard	False	5	fd05	0.5	True	9	86	0	0	40	40	168	164	OK	READY	sub-28	9
standard	False	5	fd05	0.5	True	10	34	0	0	41	41	167	163	OK	READY	sub-29	1
standard	False	5	fd05	0.5	True	31	55	0	0	62	62	146	142	OK	READY	sub-29	2
standard	False	5	fd05	0.5	True	25	62	0	0	56	56	134	130	OK	READY	sub-29	3
standard	False	5	fd05	0.5	True	25	68	0	0	56	56	152	148	OK	READY	sub-29	4
standard	False	5	fd05	0.5	True	10	62	0	0	41	41	167	163	OK	READY	sub-29	5
standard	False	5	fd05	0.5	True	16	63	0	0	47	47	161	157	OK	READY	sub-29	6
standard	False	5	fd05	0.5	True	1	66	0	0	32	32	158	154	OK	READY	sub-29	7
standard	False	5	fd05	0.5	True	5	71	0	0	36	36	172	168	OK	READY	sub-29	8
standard	False	5	fd05	0.5	True	0	77	0	0	31	31	177	173	OK	READY	sub-29	9
standard	False	5	fd05	0.5	True	0	175	0	0	31	31	177	173	OK	READY	sub-30	1
standard	False	5	fd05	0.5	True	0	92	0	0	31	31	177	173	OK	READY	sub-30	2
standard	False	5	fd05	0.5	True	0	152	0	0	31	31	159	155	OK	READY	sub-30	3
standard	False	5	fd05	0.5	True	1	100	0	0	32	32	176	172	OK	READY	sub-30	4
standard	False	5	fd05	0.5	True	5	54	0	0	36	36	172	168	OK	READY	sub-30	5
standard	False	5	fd05	0.5	True	7	61	0	0	38	38	170	166	OK	READY	sub-30	6
standard	False	5	fd05	0.5	True	5	86	0	0	36	36	154	150	OK	READY	sub-30	7
standard	False	5	fd05	0.5	True	1	101	0	0	32	32	176	172	OK	READY	sub-30	8
standard	False	5	fd05	0.5	True	7	66	0	0	38	38	170	166	OK	READY	sub-30	9
standard	False	5	fd05	0.5	True	1	43	0	0	32	32	176	172	OK	READY	sub-31	1
standard	False	5	fd05	0.5	True	2	123	0	0	33	33	175	171	OK	READY	sub-31	2
standard	False	5	fd05	0.5	True	0	19	0	0	31	31	159	155	OK	READY	sub-31	3
standard	False	5	fd05	0.5	True	0	115	0	0	31	31	177	173	OK	READY	sub-31	4
standard	False	5	fd05	0.5	True	0	127	0	0	31	31	177	173	OK	READY	sub-31	5
standard	False	5	fd05	0.5	True	0	52	0	0	31	31	177	173	OK	READY	sub-31	6
standard	False	5	fd05	0.5	True	0	10	0	2	33	33	157	153	OK	READY	sub-31	7
standard	False	5	fd05	0.5	True	0	117	0	0	31	31	177	173	OK	READY	sub-31	8
standard	False	5	fd05	0.5	True	0	30	0	0	31	31	177	173	OK	READY	sub-31	9
standard	False	5	fd05	0.5	True	0	156	0	0	31	31	177	173	OK	READY	sub-32	1
standard	False	5	fd05	0.5	True	0	147	0	0	31	31	177	173	OK	READY	sub-32	2
standard	False	5	fd05	0.5	True	0	46	0	0	31	31	159	155	OK	READY	sub-32	3
standard	False	5	fd05	0.5	True	0	109	0	0	31	31	177	173	OK	READY	sub-32	4
standard	False	5	fd05	0.5	True	0	127	0	0	31	31	177	173	OK	READY	sub-32	5
standard	False	5	fd05	0.5	True	0	131	0	0	31	31	177	173	OK	READY	sub-32	6
standard	False	5	fd05	0.5	True	0	137	0	0	31	31	159	155	OK	READY	sub-32	7
standard	False	5	fd05	0.5	True	0	43	0	0	31	31	177	173	OK	READY	sub-32	8
standard	False	5	fd05	0.5	True	0	103	0	0	31	31	177	173	OK	READY	sub-32	9
standard	False	5	fd05	0.5	True	0	145	0	0	31	31	177	173	OK	READY	sub-33	1
standard	False	5	fd05	0.5	True	0	72	0	0	31	31	177	173	OK	READY	sub-33	2
standard	False	5	fd05	0.5	True	0	104	0	0	31	31	159	155	OK	READY	sub-33	3
standard	False	5	fd05	0.5	True	1	153	0	0	32	32	176	172	OK	READY	sub-33	4
standard	False	5	fd05	0.5	True	6	115	0	0	37	37	171	167	OK	READY	sub-33	5
standard	False	5	fd05	0.5	True	1	109	0	0	32	32	176	172	OK	READY	sub-33	6
standard	False	5	fd05	0.5	True	2	95	0	0	33	33	157	153	OK	READY	sub-33	7
