model	term	beta	se	t_or_z	p	n	r2	formula	q_fdr_terms	contrast	estimate	z
crossfit_observed_raw	down_reference_slope	0.7788236207455803	0.17382469845492485	4.4805118470983	7.446424622914449e-06	660			4.4678547737486696e-05	down_reference_slope	0.7788236207455803	4.4805118470983
crossfit_observed_raw	up_slope	0.6976146668356551	0.1897261618814604	3.6769555654191746	0.00023603413604500467	660			0.0008497228897620168	up_slope	0.6976146668356551	3.6769555654191746
crossfit_observed_raw	up_minus_down_slope	-0.08120895390992525	0.0933026810610886	-0.8703817830996179	0.3840917986471386	660			0.49383231254632104	up_minus_down_slope	-0.08120895390992525	-0.8703817830996179
crossfit_bounded_logit_observed	down_reference_slope	6.775381837777571	1.4961796264612839	4.528454817823237	5.941658249408732e-06	660			4.4678547737486696e-05	down_reference_slope	6.775381837777571	4.528454817823237
crossfit_bounded_logit_observed	up_slope	5.556440923229344	1.6963118637997927	3.275601050612674	0.0010543738702892824	660			0.0031631216108678473	up_slope	5.556440923229344	3.275601050612674
crossfit_bounded_logit_observed	up_minus_down_slope	-1.2189409145482268	0.8368232939615792	-1.4566288048432263	0.1452188719894325	660			0.21782830798414876	up_minus_down_slope	-1.2189409145482268	-1.4566288048432263
crossfit_fractional_logit_observed	down_reference_slope	5.52252630178958	0.9597729099209025	5.753992683795072	8.715993038421743e-09	660			1.5688787469159138e-07	down_reference_slope	5.52252630178958	5.753992683795072
crossfit_fractional_logit_observed	up_slope	4.053317325686515	0.9708633914861844	4.174961545806926	2.980363929605545e-05	660			0.00013411637683224953	up_slope	4.053317325686515	4.174961545806926
crossfit_fractional_logit_observed	up_minus_down_slope	-1.469208976103065	0.5123592286980425	-2.867536864391954	0.004136806074670263	660			0.01063750133486639	up_minus_down_slope	-1.469208976103065	-2.867536864391954
crossfit_available_room_normalized	down_reference_slope	0.0017399923999448722	0.004988638652988847	0.3487910271677804	0.7272462001846596	649			0.770025388430816	down_reference_slope	0.0017399923999448722	0.3487910271677804
crossfit_available_room_normalized	up_slope	0.0010672583097723425	0.002303000459187931	0.46342079764442257	0.6430627740005834	649			0.7418071171326166	up_slope	0.0010672583097723425	0.46342079764442257
crossfit_available_room_normalized	up_minus_down_slope	-0.0006727340901725296	0.0036983193657963644	-0.1819026491855359	0.8556591254354116	649			0.8556591254354116	up_minus_down_slope	-0.0006727340901725296	-0.1819026491855359
