subject	status	n_passive	n_reg	fold_logs
sub-21	OK	77	20	"[{""fold"": 0, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 1, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 2, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 3, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 4, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}]"
sub-22	OK	77	20	"[{""fold"": 0, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 1, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 2, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 3, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 4, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}]"
sub-23	OK	77	20	"[{""fold"": 0, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 1, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 2, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 3, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 4, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}]"
sub-24	OK	77	20	"[{""fold"": 0, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 1, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 2, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 3, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 4, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}]"
sub-25	OK	77	20	"[{""fold"": 0, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 1, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 2, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 3, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 4, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}]"
sub-26	OK	77	20	"[{""fold"": 0, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 1, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 2, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 3, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 4, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}]"
sub-27	OK	77	20	"[{""fold"": 0, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 1, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 2, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 3, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 4, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}]"
sub-28	OK	77	20	"[{""fold"": 0, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 1, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 2, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 3, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 4, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}]"
sub-29	OK	77	20	"[{""fold"": 0, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 1, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 2, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 3, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 4, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}]"
sub-30	OK	77	20	"[{""fold"": 0, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 1, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 2, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 3, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 4, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}]"
sub-31	OK	77	20	"[{""fold"": 0, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 1, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 2, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 3, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 4, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}]"
sub-32	OK	77	20	"[{""fold"": 0, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 1, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 2, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 3, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 4, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}]"
sub-33	OK	77	20	"[{""fold"": 0, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 1, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 2, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 3, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 4, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}]"
