subject	status	n_passive	n_reg	fold_logs
sub-11	OK	77	20	"[{""fold"": 0, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 1, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 2, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 3, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 4, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}]"
sub-12	OK	77	20	"[{""fold"": 0, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 1, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 2, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 3, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 4, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}]"
sub-13	OK	77	20	"[{""fold"": 0, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 1, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 2, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 3, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 4, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}]"
sub-14	OK	77	20	"[{""fold"": 0, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 1, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 2, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 3, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 4, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}]"
sub-15	OK	77	20	"[{""fold"": 0, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 1, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 2, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 3, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 4, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}]"
sub-16	OK	77	20	"[{""fold"": 0, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 1, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 2, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 3, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 4, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}]"
sub-17	OK	77	20	"[{""fold"": 0, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 1, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 2, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 3, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 4, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}]"
sub-18	OK	77	20	"[{""fold"": 0, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 1, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 2, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 3, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 4, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}]"
sub-19	OK	77	20	"[{""fold"": 0, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 1, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 2, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 3, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 4, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}]"
sub-20	OK	77	20	"[{""fold"": 0, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 1, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 61}, {""fold"": 2, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 3, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}, {""fold"": 4, ""formula_z"": ""rating_z_y ~ temp_z + trial_c + run_c"", ""formula_raw"": ""rating_raw_y ~ temp_z + trial_c + run_c"", ""n_train"": 62}]"
