metric	n	pearson_r	pearson_p
forward_composite	33	-0.5848400007051204	0.0003509944600513
reverse_composite	33	0.2418879438801865	0.1750349548588438
synchronous_composite	33	0.0969897475880015	0.591302799074378
time_reversed_composite	33	0.0099301076629688	0.956261272317865
