comparison	n	forward_r	control_r	delta_r	bootstrap_ci_low	bootstrap_ci_high	bootstrap_p_two_sided	n_bootstrap_valid	bootstrap_q_fdr_three_comparisons
forward_minus_reverse_composite	33	-0.5848400007051204	0.2418879438801865	-0.826727944585307	-1.2206191819856684	-0.3238860803454897	0.0023995200959808	5000	0.0071985602879424
forward_minus_synchronous_composite	33	-0.5848400007051204	0.0969897475880015	-0.681829748293122	-1.1303823338484416	-0.1137572151160296	0.0203959208158368	5000	0.0207958408318336
forward_minus_time_reversed_composite	33	-0.5848400007051204	0.0099301076629688	-0.5947701083680893	-1.0191655267419557	-0.0918953818784675	0.0207958408318336	5000	0.0207958408318336
