panel	label	n	estimate	p	q	ci_low	ci_high
A_matched_standardized_metrics	forward_composite	33	-0.5848400007051204	0.0003509944600513			
A_matched_standardized_metrics	reverse_composite	33	0.2418879438801865	0.1750349548588438			
A_matched_standardized_metrics	synchronous_composite	33	0.0969897475880015	0.591302799074378			
A_matched_standardized_metrics	time_reversed_composite	33	0.0099301076629688	0.956261272317865			
B_shared_source_shuffle_null	Observed forward composite	33	-0.5848400007051204	0.0007998400319936		-0.3405461810881943	0.3317128151364209
C_direct_delta_r_tests	forward_minus_reverse_composite	33	-0.826727944585307	0.0023995200959808	0.0071985602879424	-1.2206191819856684	-0.3238860803454897
C_direct_delta_r_tests	forward_minus_synchronous_composite	33	-0.681829748293122	0.0203959208158368	0.0207958408318336	-1.1303823338484416	-0.1137572151160296
C_direct_delta_r_tests	forward_minus_time_reversed_composite	33	-0.5947701083680893	0.0207958408318336	0.0207958408318336	-1.0191655267419557	-0.0918953818784675
D_circular_source_shift_null	Observed forward composite	33	-0.5848400007051204	0.0013997200559888		-0.2658219889471379	0.4022229954127824
