iteration	circular_shift_r_with_success	n_subjects
1	-0.0506774092588747	33
2	-0.03067731921719932	33
3	-0.0308816135169918	33
4	-0.11008327897107219	33
5	0.015847158415044183	33
6	-0.10447706379562532	33
7	-0.18378714588143716	33
8	-0.2639076929434364	33
9	0.15993105545434597	33
10	0.3909724727297619	33
11	-0.07176149248203659	33
12	0.34107074719816266	33
13	0.4321675072061279	33
14	0.18906861499008087	33
15	0.05844087348785168	33
16	0.1756998685351771	33
17	0.31868643717180234	33
18	0.15176872053753537	33
19	0.09121039752696301	33
20	0.207693212576944	33
21	0.22196990912875014	33
22	0.15904584455766627	33
23	0.2500621121676229	33
24	-0.36107581252038773	33
25	0.3622004010914672	33
26	-0.2362558995144628	33
27	0.16283237800788516	33
28	0.037567382950261186	33
29	0.10280342153542038	33
30	-0.13836016312587973	33
31	0.12743966010319313	33
32	-0.03161032859520876	33
33	0.24561433982514969	33
34	-0.27104081053629325	33
35	0.10563606340181803	33
36	0.15886067363912001	33
37	-0.2772191614480176	33
38	-0.016450091360896157	33
39	0.05490134156765443	33
40	0.1159100564574045	33
41	0.1779285907312163	33
42	0.04365496029604635	33
43	0.2648289235777879	33
44	0.03609150730741926	33
45	0.20359273561025445	33
46	-0.10389204969221223	33
47	0.026474671793249565	33
48	0.10331623065514922	33
49	0.2752518734691784	33
50	-0.023657815333710218	33
51	0.1864872567160195	33
52	-0.045179529008167754	33
53	-0.06105329586502377	33
54	0.057118673481860144	33
55	-0.24941808120130793	33
56	0.10898514320828374	33
57	-0.23194700546707353	33
58	0.18807255485842023	33
59	0.08828673510758457	33
60	0.05204708224124613	33
61	0.16750779923617054	33
62	-0.13426639134256543	33
63	0.31638789686750285	33
64	-0.07772692342777301	33
65	0.034598412622499256	33
66	0.003986936700908661	33
67	0.10008325512970277	33
68	-0.19830172635587673	33
69	-0.18160072722209802	33
70	-0.0811272171610059	33
71	-0.06269447084370101	33
72	-0.08538584083904999	33
73	-0.0781074985151924	33
74	0.37096360959398805	33
75	-0.0095572119053627	33
76	-0.15959901317839983	33
77	-0.2462447118611949	33
78	0.20723979048654106	33
79	0.20189763094057173	33
80	-0.06618902903027644	33
81	0.21479432566477544	33
82	0.06476328669021471	33
83	0.2943357747711532	33
84	-0.06594218073693259	33
85	0.24466662548836407	33
86	0.3888944245721853	33
87	0.06300202690707897	33
88	0.11245634782734976	33
89	0.1259453777066309	33
90	-0.012320192480231312	33
91	0.29723900227627437	33
92	0.20551745467316573	33
93	0.27855979085101706	33
94	0.08360220729240189	33
95	-0.011625177836293219	33
96	0.0810089411437368	33
97	0.19480708332220678	33
98	0.06427606697744408	33
99	0.21353618678540798	33
100	-0.0847466404228664	33
101	0.19455522571126813	33
102	0.27106765765845264	33
103	0.23839983968690345	33
104	-0.08981336018708666	33
105	0.2980628851233187	33
106	-0.0757053726870449	33
107	0.0066094847291970835	33
108	0.3290321696713397	33
109	0.029071317390894927	33
110	0.0446988070678285	33
111	0.13819367001822191	33
112	-0.29251610500373915	33
113	-0.1836520490001993	33
114	0.009997603119525075	33
115	-0.010433485321906112	33
116	0.1371379151557943	33
117	0.2873005039956778	33
118	-0.17470123145379998	33
119	-0.3929829499895726	33
120	0.2157039582544551	33
121	-0.09098950588779367	33
122	-0.10350445377575299	33
123	0.17338674713971167	33
124	0.11148922968660689	33
125	0.19506420822979667	33
126	0.3319619883286529	33
127	0.005478098824545712	33
128	0.34949016338433453	33
129	0.062326381858395945	33
130	-0.017895689186920825	33
131	0.1604104118638023	33
132	-0.06300152192862064	33
133	0.0502438467268141	33
134	-0.028517065574852632	33
135	-0.27400257148759766	33
136	-0.22133653007788912	33
137	0.10281796760476511	33
138	0.32653419952915524	33
139	0.08192754203864833	33
140	0.5105113026188783	33
141	0.06698544327895367	33
142	0.24912085375087728	33
143	0.12676451279486275	33
144	-0.034576657276847125	33
145	0.28213042794817006	33
146	0.08508931705094767	33
147	0.03844665863805881	33
148	0.1837943847822262	33
149	0.03780024785689209	33
150	-0.09942444061392045	33
151	-0.0537204373969141	33
152	0.058397841010560024	33
153	0.28596390107180913	33
154	0.056078433382344486	33
155	-0.1078047227699499	33
156	0.07169101714563446	33
157	0.1889992719731966	33
158	-0.07974393850181016	33
159	0.1732556508928841	33
160	-0.06748535275057099	33
161	0.2623072421589611	33
162	-0.000364238329034222	33
163	0.2367688822882369	33
164	0.17858411660270987	33
165	-0.1975793027561736	33
166	0.007016046794331288	33
167	-0.16520339663378306	33
168	0.08871292763209127	33
169	0.16429037323172968	33
170	-0.059043950676133466	33
171	-0.19166494534086725	33
172	0.18394180378066907	33
173	0.06686917571827161	33
174	0.0003025366491052617	33
175	-0.19208643464889147	33
176	-0.19600316299512288	33
177	0.10933246961058515	33
178	0.25446652835745376	33
179	-0.1754348837574057	33
180	0.15999697798334972	33
181	-0.0439632903558098	33
182	0.13505306383090449	33
183	0.1026863406959959	33
184	0.1339552109006757	33
185	0.17741330581841153	33
186	-0.19858966460713073	33
187	-0.03806239477212136	33
188	-0.19002240816046165	33
189	0.5927834272339934	33
190	-0.2318027242457452	33
191	0.1076800390472814	33
192	-0.004374788183247958	33
193	0.2746220493197853	33
194	0.06081055672347698	33
195	0.2433859240432953	33
196	0.07241791945707998	33
197	-0.11039130027489179	33
198	0.27791282529023453	33
199	0.3498949224046346	33
200	-0.09501272930703043	33
201	0.24332481261733452	33
202	0.22807183977944015	33
203	-0.04965180148536477	33
204	0.3211291169691444	33
205	0.03422586494285632	33
206	0.07262446737744485	33
207	-0.276571793325863	33
208	0.1748584895289757	33
209	-0.07360047245004436	33
210	0.20294246411126343	33
211	-0.3332683817540984	33
212	-0.18160601290466583	33
213	-0.2346496298388105	33
214	-0.07906263886475061	33
215	0.19883753962848225	33
216	0.46403618985693174	33
217	0.10749559276379195	33
218	0.26660279993099284	33
219	0.009271737083270806	33
220	0.2725350681615684	33
221	-0.08998469707544195	33
222	-0.0936040078046042	33
223	0.18217465777844555	33
224	0.2944149612932026	33
225	0.10884615446087595	33
226	0.09842828348827556	33
227	-0.1749048788465634	33
228	0.35085812167268055	33
229	0.006021503163239095	33
230	-0.1439822782132473	33
231	0.15553923976980258	33
232	0.05810362039775833	33
233	0.3209169048282969	33
234	0.2804579924474505	33
235	-0.0076164492833386225	33
236	-0.03912198868128857	33
237	0.34941405614542453	33
238	0.2820435974897787	33
239	0.033488731930452265	33
240	-0.06146806723376816	33
241	-0.30750387744909985	33
242	0.09707773491259317	33
243	0.148355189808905	33
244	0.318884674644702	33
245	-0.014404647218250561	33
246	0.15412463955667133	33
247	0.04833586106593723	33
248	-0.17033761989423016	33
249	0.3398921979161764	33
250	0.0541546855074532	33
251	0.28399647485229523	33
252	0.42230094546857155	33
253	0.023791064840747847	33
254	-0.09441250298429538	33
255	0.25372889514468355	33
256	0.006683647903356769	33
257	-0.19308439373920314	33
258	0.23615778456795958	33
259	0.21034947503951212	33
260	0.24042425419333635	33
261	0.004585781500589234	33
262	0.39772681463612314	33
263	0.24318593086185372	33
264	0.09878912640981681	33
265	-0.18479190229119302	33
266	0.07036344087334917	33
267	-0.04869473001648156	33
268	-0.21590389809914873	33
269	-0.41689418992113336	33
270	0.05800860250068371	33
271	0.33431219620805974	33
272	0.020512270751621986	33
273	0.23416188774206584	33
274	-0.006742955742246981	33
275	0.018295617012557375	33
276	0.24072716763602806	33
277	0.1839340089382757	33
278	-0.033579423818638654	33
279	0.21350673782749183	33
280	-0.020898599243666372	33
281	0.22429177462875663	33
282	0.3155794540053776	33
283	-0.06891771954805549	33
284	0.03523453943222914	33
285	-0.21208193161807665	33
286	0.09345705035246592	33
287	-0.038083008951452724	33
288	-0.26184838501540136	33
289	0.23344663650002176	33
290	0.11714573841733894	33
291	0.40475992864453375	33
292	-0.14216682491075094	33
293	-0.005802528002904194	33
294	-0.21765093152682038	33
295	0.17906689817604146	33
296	-0.25738643597211275	33
297	0.4710352138084901	33
298	-0.08076700284597002	33
299	0.016848036451017328	33
300	0.192744092398781	33
301	-0.24259607349146883	33
302	-0.15301840635742373	33
303	0.12136677831447185	33
304	-0.13844203182530157	33
305	0.025208673420129737	33
306	-0.05507146242504493	33
307	0.25427269777970424	33
308	0.11986413550175383	33
309	0.16045171738663108	33
310	-0.06875777524458117	33
311	0.10395132158104237	33
312	-0.18142904579943034	33
313	-0.0026152788569737753	33
314	-0.1072213796778993	33
315	0.38312298790685023	33
316	0.11898160025122241	33
317	0.027021530723463964	33
318	0.08523230951556988	33
319	0.035177673953807144	33
320	0.10417552999519115	33
321	0.21881085928970548	33
322	0.1756227560522565	33
323	-0.011328506726219944	33
324	-0.017953494468576157	33
325	-0.015973399392177894	33
326	-0.1580044540450687	33
327	-0.137393600303125	33
328	0.3324492443016393	33
329	-0.09275492591228542	33
330	0.37943034048866414	33
331	-0.36032815759997794	33
332	-0.09142689507090866	33
333	-0.10012053708078257	33
334	0.2763666645564022	33
335	0.20543712328589903	33
336	0.17601804474361707	33
337	0.22729623294707746	33
338	0.1411534234147665	33
339	0.49800329538999905	33
340	-0.2614294635454245	33
341	-0.033521650810672224	33
342	-0.03354912845963129	33
