contrast	direct_col	paired_col	set_filter	measure_filter	n_subjects	direct_mean	paired_mean	mean_difference_direct_minus_paired	direct_positive_fraction	paired_positive_fraction	same_sign_fraction	pearson_r	pearson_p	paired_t	paired_p
up_minus_passive	up_minus_passive_FE	paired_up_minus_passive	main	all	66	0.5660135571977747	-0.3323636336895027	0.8983771908872774	0.21212121212121213	0.21212121212121213	0.8787878787878788	-0.6477953099243733	4.124627397191285e-09	0.9913398216679056	0.3251957765315125
down_minus_passive	down_minus_passive_FE	paired_down_minus_passive	main	all	66	-0.22806693872755812	-0.22888098324352327	0.0008140445159651144	0.21212121212121213	0.21212121212121213	0.8787878787878788	0.879082127875784	2.86530024302859e-22	0.026198390858276892	0.9791793665101493
regulation_mean_minus_passive	regulation_mean_minus_passive_FE	paired_regulation_mean_minus_passive	main	all	66	0.6214261142752829	-0.280622308466513	0.9020484227417959	0.21212121212121213	0.18181818181818182	0.9090909090909091	-0.6404358985798781	7.00176051773077e-09	1.00043697169501	0.3208089734819457
up_minus_down	up_minus_down_FE	paired_up_minus_down	main	all	66	1.2767096779911709	-0.10348265044597954	1.3801923284371502	0.3939393939393939	0.5454545454545454	0.7878787878787878	-0.40873888671666625	0.0006560805088206017	0.9934111222081107	0.3241934647700967
