contrast	direct_col	arithmetic_condition_difference	n_subjects	direct_mean	arithmetic_mean	mean_difference_direct_minus_arithmetic	pearson_r	pearson_p	paired_t	paired_p	same_sign_fraction
up_minus_passive	up_minus_passive_FE	up_minus_passive	66	0.5660135571977747	-0.3323636336895028	0.8983771908872774	-0.6477953099243731	4.124627397191285e-09	0.9913398216679056	0.3251957765315125	0.8787878787878788
down_minus_passive	down_minus_passive_FE	down_minus_passive	66	-0.22806693872755812	-0.22888098324352327	0.0008140445159651312	0.8790821278757841	2.86530024302859e-22	0.026198390858277437	0.9791793665101488	0.8787878787878788
regulation_mean_minus_passive	regulation_mean_minus_passive_FE	regulation_mean_minus_passive	66	0.6214261142752829	-0.280622308466513	0.9020484227417959	-0.6404358985798781	7.00176051773077e-09	1.00043697169501	0.3208089734819457	0.9090909090909091
up_minus_down	up_minus_down_FE	up_minus_down	66	1.2767096779911709	-0.10348265044597951	1.3801923284371502	-0.4087388867166662	0.0006560805088206066	0.9934111222081107	0.3241934647700967	0.7878787878787878
