mode	n_sim	observed_up_minus_down_slope_raw	observed_down_slope_raw	observed_up_slope_raw	null_mean	null_sd	null_p025	null_p500	null_p975	observed_percentile_rank	observed_within_central_95	observed_below_null_min	observed_above_null_max
clipped_0_200	2000	-0.194255771653296	-0.05048086299504028	-0.24473663464833628	-0.34373558184388125	0.045581354401085086	-0.4353611091228673	-0.34343864604788255	-0.2537056258807767	100.0	False	False	True
unclipped	2000	-0.194255771653296	-0.05048086299504028	-0.24473663464833628	-0.2024840650084772	0.055534091745771466	-0.3106166099140801	-0.2038292114266353	-0.09161646750698667	56.05	True	False	False
