model	term	beta	se	t_or_z	p	n	r2	formula	note	q_fdr
trim_rating_boundary_success_z	C(subject)[T.sub-17]	0.23864665100909313	0.07780076616026599	3.0674074663672597	0.0021592430154877777	538	0.28981393281514645	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with observed ratings <=10 or >=190.	0.003956601726703861
trim_rating_boundary_success_z	C(subject)[T.sub-18]	-0.00010006535634200005	0.01693003547631738	-0.005910522543321112	0.9952841127741077	538	0.28981393281514645	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with observed ratings <=10 or >=190.	0.9952841127741076
trim_rating_boundary_success_z	C(subject)[T.sub-19]	0.14765715128363785	0.01685017334284198	8.762945536483944	1.9021357452810556e-18	538	0.28981393281514645	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with observed ratings <=10 or >=190.	6.637239621831769e-18
trim_rating_boundary_success_z	C(subject)[T.sub-20]	0.4015598042098795	0.07249624242582448	5.539043001031963	3.0412896903224434e-08	538	0.28981393281514645	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with observed ratings <=10 or >=190.	7.917008082744138e-08
trim_rating_boundary_success_z	C(subject)[T.sub-21]	-0.09359184940202639	0.024559181307694616	-3.81087008680958	0.0001384785309395862	538	0.28981393281514645	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with observed ratings <=10 or >=190.	0.0002911599881293864
trim_rating_boundary_success_z	C(subject)[T.sub-22]	-0.04181836811936932	0.058806492121533556	-0.7111182219974046	0.4770109790605803	538	0.28981393281514645	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with observed ratings <=10 or >=190.	0.5376618595596919
trim_rating_boundary_success_z	C(subject)[T.sub-23]	0.3382620707900585	0.07981005188158712	4.238339191809228	2.2517938543859426e-05	538	0.28981393281514645	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with observed ratings <=10 or >=190.	4.9904620556661425e-05
trim_rating_boundary_success_z	C(subject)[T.sub-24]	-0.05311867443845805	0.07866708731587742	-0.6752337762953768	0.4995272505477155	538	0.28981393281514645	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with observed ratings <=10 or >=190.	0.5591977412274768
trim_rating_boundary_success_z	C(subject)[T.sub-25]	0.13985071355444892	0.008917689519365099	15.68239320855002	1.995902260516769e-55	538	0.28981393281514645	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with observed ratings <=10 or >=190.	9.627293256610297e-55
trim_rating_boundary_success_z	C(subject)[T.sub-26]	0.032435710095387885	0.08923567709727696	0.36348365531007626	0.7162436203947227	538	0.28981393281514645	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with observed ratings <=10 or >=190.	0.7553952009307685
trim_rating_boundary_success_z	C(subject)[T.sub-27]	-0.11731734016310007	0.06863164426146912	-1.7093767958720445	0.08738117629501764	538	0.28981393281514645	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with observed ratings <=10 or >=190.	0.11698377887659504
trim_rating_boundary_success_z	C(subject)[T.sub-28]	-0.14104060677618832	0.012627267165690716	-11.169527414404188	5.748591236063792e-29	538	0.28981393281514645	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with observed ratings <=10 or >=190.	2.3569224067861547e-28
trim_rating_boundary_success_z	C(subject)[T.sub-29]	-0.19586964603896215	0.09404141462541474	-2.0828019954734738	0.03726927562770591	538	0.28981393281514645	success_z ~ is_up_bin * expected_z_c + temp_z_c + trial_c_c + run_c_c + global_trial_z_c + up_first_c + C(subject)	Excludes trials with observed ratings <=10 or >=190.	0.05408992214994487
